group,item,user-1,rating-1,user-2,rating-2,user-3,rating-3,user-4,rating-4,user-5,rating-5,user-6,rating-6,user-7,rating-7,user-8,rating-8,user-9,rating-9
4,53,267,4.0,225,3.0,90,4.0,300,3.0,332,2.5,158,3.5,54,4.0,14,3.0,407,4.0
4,13,267,4.0,225,3.0,90,1.5,300,3.0,332,3.0,158,2.0,54,4.0,14,3.5,407,4.0
4,63,267,4.0,225,3.0,90,2.5,300,3.0,332,2.0,158,3.5,54,4.0,14,3.0,407,4.0
4,54,267,4.0,225,2.0,90,2.0,300,4.0,332,1.5,158,3.5,54,4.0,14,2.5,407,4.0
5,60,129,3.0,409,3.0,412,2.5,197,2.5,14,3.0,216,3.5,359,3.5,225,2.5,136,3.5
5,55,129,3.5,409,3.5,412,3.5,197,2.5,14,4.0,216,4.0,359,2.5,225,3.0,136,4.0
5,62,129,4.0,409,3.5,412,2.5,197,2.5,14,3.5,216,3.0,359,4.0,225,3.0,136,4.0
5,63,129,1.5,409,2.0,412,2.0,197,2.5,14,3.0,216,4.0,359,2.0,225,3.0,136,3.5
5,54,129,2.0,409,2.5,412,3.5,197,2.0,14,2.5,216,4.0,359,2.5,225,2.0,136,4.0
6,13,107,2.5,247,4.0,92,4.0,136,3.0,79,1.0,165,3.5,407,4.0,132,0.5,209,4.0
6,52,107,4.0,247,4.0,92,3.5,136,4.0,79,1.5,165,3.0,407,4.0,132,4.0,209,2.0
6,57,107,3.0,247,4.0,92,3.5,136,2.0,79,1.5,165,1.5,407,4.0,132,2.5,209,2.5
6,59,107,4.0,247,4.0,92,4.0,136,4.0,79,2.0,165,3.5,407,4.0,132,3.5,209,4.0
6,58,107,4.0,247,0.5,92,4.0,136,4.0,79,1.5,165,4.0,407,4.0,132,4.0,209,3.5
7,54,402,4.0,196,3.0,275,2.0,209,2.5,90,2.0,106,3.0,298,2.5,250,4.0,407,4.0
7,53,402,0.5,196,4.0,275,2.0,209,1.5,90,4.0,106,3.0,298,3.0,250,4.0,407,4.0
7,61,402,0.5,196,1.5,275,4.0,209,3.0,90,0.5,106,3.0,298,2.0,250,2.5,407,4.0
7,55,402,3.0,196,3.5,275,3.5,209,4.0,90,4.0,106,4.0,298,2.0,250,1.5,407,2.0
7,62,402,3.0,196,3.5,275,1.0,209,4.0,90,4.0,106,3.5,298,3.0,250,4.0,407,1.0
8,61,18,2.5,106,3.0,90,0.5,247,4.0,410,3.5,142,4.0,136,2.5,281,2.0,198,3.5
8,56,18,3.5,106,3.0,90,3.5,247,4.0,410,3.5,142,4.0,136,4.0,281,4.0,198,3.0
8,52,18,4.0,106,3.0,90,4.0,247,4.0,410,4.0,142,1.0,136,4.0,281,4.0,198,3.5
8,63,18,2.0,106,3.5,90,2.5,247,4.0,410,3.5,142,0.5,136,3.5,281,4.0,198,4.0
8,54,18,3.5,106,3.0,90,2.0,247,4.0,410,4.0,142,2.5,136,4.0,281,4.0,198,3.5
9,63,144,1.5,215,2.5,37,2.5,136,3.5,49,2.5,54,4.0,412,2.0,106,3.5,194,3.0
9,55,144,3.0,215,2.0,37,4.0,136,4.0,49,3.0,54,4.0,412,3.5,106,4.0,194,4.0
9,52,144,3.5,215,3.0,37,3.0,136,4.0,49,3.5,54,4.0,412,2.0,106,3.0,194,2.5
9,54,144,3.5,215,1.5,37,3.5,136,4.0,49,1.5,54,4.0,412,3.5,106,3.0,194,2.0
9,61,144,4.0,215,2.5,37,3.5,136,2.5,49,1.5,54,4.0,412,2.5,106,3.0,194,3.5
10,59,68,3.0,31,4.0,212,3.5,404,3.5,231,4.0,119,3.5,192,4.0,297,4.0,350,4.0
10,54,68,2.5,31,3.0,212,4.0,404,3.0,231,3.5,119,3.5,192,3.0,297,2.5,350,3.0
10,60,68,2.5,31,3.5,212,3.5,404,3.5,231,2.5,119,3.0,192,2.5,297,4.0,350,3.5
10,55,68,4.0,31,3.5,212,3.0,404,3.0,231,4.0,119,3.5,192,2.0,297,2.5,350,4.0
10,52,68,3.5,31,4.0,212,3.0,404,3.5,231,4.0,119,4.0,192,4.0,297,1.5,350,2.0
11,53,292,2.5,53,2.5,212,4.0,412,1.5,225,3.0,364,2.0,197,2.0,198,3.5,42,2.0
11,62,292,3.0,53,3.5,212,4.0,412,2.5,225,3.0,364,2.0,197,2.5,198,4.0,42,4.0
11,61,292,2.5,53,3.5,212,3.5,412,2.5,225,3.5,364,2.5,197,2.5,198,3.5,42,1.5
11,13,292,2.5,53,4.0,212,3.5,412,3.5,225,3.0,364,3.5,197,1.0,198,4.0,42,3.0
11,56,292,2.5,53,4.0,212,2.0,412,3.5,225,3.0,364,4.0,197,3.0,198,3.0,42,4.0
12,60,24,3.0,350,3.5,142,1.0,406,3.0,395,3.0,402,2.0,332,2.5,275,2.5,196,4.0
12,53,24,1.0,350,3.5,142,0.5,406,4.0,395,2.0,402,0.5,332,2.5,275,2.0,196,4.0
12,54,24,3.5,350,3.0,142,2.5,406,4.0,395,2.5,402,4.0,332,1.5,275,2.0,196,3.0
12,63,24,2.0,350,1.0,142,0.5,406,2.0,395,2.5,402,1.5,332,2.0,275,3.5,196,2.0
12,62,24,3.0,350,4.0,142,3.5,406,4.0,395,4.0,402,3.0,332,2.5,275,1.0,196,3.5
13,53,31,3.0,48,3.5,117,2.5,166,1.0,53,2.5,275,2.0,106,3.0,260,0.5,407,4.0
13,54,31,3.0,48,2.5,117,3.0,166,1.5,53,4.0,275,2.0,106,3.0,260,2.5,407,4.0
13,56,31,3.0,48,4.0,117,2.5,166,1.5,53,4.0,275,3.0,106,3.0,260,1.5,407,4.0
13,62,31,4.0,48,4.0,117,3.5,166,2.5,53,3.5,275,1.0,106,3.5,260,0.5,407,1.0
13,58,31,3.0,48,4.0,117,3.5,166,0.5,53,4.0,275,3.5,106,3.0,260,0.5,407,4.0
14,52,332,3.0,406,4.0,9,1.0,250,2.5,209,2.0,325,4.0,144,3.5,194,2.5,42,3.5
14,61,332,1.5,406,2.5,9,0.5,250,2.5,209,3.0,325,3.5,144,4.0,194,3.5,42,1.5
14,53,332,2.5,406,4.0,9,2.5,250,4.0,209,1.5,325,3.0,144,0.5,194,4.0,42,2.0
14,57,332,2.5,406,2.0,9,1.0,250,3.5,209,2.5,325,3.0,144,2.5,194,3.0,42,3.0
14,54,332,1.5,406,4.0,9,1.0,250,4.0,209,2.5,325,3.5,144,3.5,194,2.0,42,3.0
15,57,20,3.0,300,1.5,24,1.5,325,3.0,165,1.5,233,3.0,68,1.5,83,4.0,275,2.5
15,59,20,4.0,300,4.0,24,4.0,325,3.0,165,3.5,233,4.0,68,3.0,83,3.0,275,3.0
15,62,20,3.0,300,4.0,24,3.0,325,4.0,165,4.0,233,4.0,68,2.0,83,4.0,275,1.0
15,61,20,3.0,300,1.5,24,1.5,325,3.5,165,1.5,233,2.0,68,4.0,83,4.0,275,4.0
15,52,20,4.0,300,1.0,24,4.0,325,4.0,165,3.0,233,4.0,68,3.5,83,3.5,275,4.0
16,54,300,4.0,165,2.5,196,3.0,142,2.5,198,3.5,413,2.5,79,2.0,260,2.5,68,2.5
16,56,300,4.0,165,3.0,196,2.5,142,4.0,198,3.0,413,2.0,79,3.5,260,1.5,68,3.5
16,53,300,3.0,165,2.0,196,4.0,142,0.5,198,3.5,413,1.5,79,2.0,260,0.5,68,0.5
16,55,300,3.0,165,4.0,196,3.5,142,2.5,198,4.0,413,2.0,79,2.5,260,2.0,68,4.0
16,13,300,3.0,165,3.5,196,2.0,142,1.5,198,4.0,413,2.5,79,1.0,260,2.5,68,2.5
17,58,225,3.5,68,2.5,152,3.0,2,3.5,231,3.5,247,0.5,196,3.0,298,3.0,410,3.5
17,53,225,3.0,68,0.5,152,2.5,2,3.0,231,3.0,247,4.0,196,4.0,298,3.0,410,3.5
17,62,225,3.0,68,2.0,152,3.0,2,3.0,231,3.5,247,4.0,196,3.5,298,3.0,410,4.0
17,52,225,4.0,68,3.5,152,3.5,2,2.5,231,4.0,247,4.0,196,4.0,298,3.5,410,4.0
17,60,225,2.5,68,2.5,152,4.0,2,3.0,231,2.5,247,3.5,196,4.0,298,3.0,410,3.5
18,52,119,4.0,31,4.0,292,4.0,42,3.5,9,1.0,247,4.0,60,4.0,212,3.0,250,2.5
18,13,119,3.5,31,3.5,292,2.5,42,3.0,9,1.0,247,4.0,60,3.0,212,3.5,250,4.0
18,57,119,3.0,31,2.5,292,4.0,42,3.0,9,1.0,247,4.0,60,4.0,212,3.0,250,3.5
18,59,119,3.5,31,4.0,292,4.0,42,3.5,9,3.5,247,4.0,60,4.0,212,3.5,250,4.0
18,56,119,4.0,31,3.0,292,2.5,42,4.0,9,4.0,247,4.0,60,4.0,212,2.0,250,3.0
19,55,412,3.5,410,4.0,388,2.5,53,4.0,350,4.0,407,2.0,325,4.0,300,3.0,42,3.5
19,52,412,2.0,410,4.0,388,4.0,53,3.5,350,2.0,407,4.0,325,4.0,300,1.0,42,3.5
19,60,412,2.5,410,3.5,388,0.5,53,3.0,350,3.5,407,4.0,325,3.5,300,4.0,42,3.0
19,61,412,2.5,410,3.5,388,1.0,53,3.5,350,3.5,407,4.0,325,3.5,300,1.5,42,1.5
19,63,412,2.0,410,3.5,388,4.0,53,2.0,350,1.0,407,4.0,325,3.0,300,3.0,42,2.0
20,61,410,3.5,298,2.0,406,2.5,38,2.5,14,3.5,9,0.5,129,1.5,8,3.5,42,1.5
20,52,410,4.0,298,3.5,406,4.0,38,4.0,14,4.0,9,1.0,129,2.5,8,3.5,42,3.5
20,62,410,4.0,298,3.0,406,4.0,38,3.0,14,3.5,9,3.0,129,4.0,8,4.0,42,4.0
20,58,410,3.5,298,3.0,406,4.0,38,3.0,14,4.0,9,3.5,129,4.0,8,4.0,42,4.0
20,60,410,3.5,298,3.0,406,3.0,38,2.0,14,3.0,9,2.5,129,3.0,8,3.5,42,3.0
21,61,110,3.0,129,1.5,250,2.5,106,3.0,315,0.5,55,3.0,233,2.0,267,4.0,157,2.5
21,55,110,3.5,129,3.5,250,1.5,106,4.0,315,4.0,55,3.5,233,2.0,267,4.0,157,1.5
21,57,110,3.5,129,3.0,250,3.5,106,3.0,315,4.0,55,4.0,233,3.0,267,4.0,157,2.0
21,52,110,3.0,129,2.5,250,2.5,106,3.0,315,4.0,55,3.0,233,4.0,267,4.0,157,3.5
21,60,110,1.5,129,3.0,250,3.5,106,2.5,315,4.0,55,3.0,233,4.0,267,4.0,157,1.5
22,56,157,2.5,14,3.0,198,3.0,410,3.5,275,3.0,165,3.0,289,2.5,196,2.5,413,2.0
22,61,157,2.5,14,3.5,198,3.5,410,3.5,275,4.0,165,1.5,289,1.5,196,1.5,413,3.0
22,59,157,2.0,14,4.0,198,3.5,410,3.5,275,3.0,165,3.5,289,3.0,196,4.0,413,2.0
22,54,157,2.0,14,2.5,198,3.5,410,4.0,275,2.0,165,2.5,289,2.5,196,3.0,413,2.5
22,53,157,1.5,14,3.0,198,3.5,410,3.5,275,2.0,165,2.0,289,2.0,196,4.0,413,1.5
23,55,196,3.5,198,4.0,367,3.0,60,4.0,20,4.0,166,2.5,142,2.5,79,2.5,247,4.0
23,59,196,4.0,198,3.5,367,4.0,60,4.0,20,4.0,166,2.0,142,4.0,79,2.0,247,4.0
23,60,196,4.0,198,4.0,367,3.0,60,4.0,20,3.5,166,3.0,142,1.0,79,1.5,247,3.5
23,63,196,2.0,198,4.0,367,2.5,60,4.0,20,4.0,166,2.0,142,0.5,79,1.0,247,4.0
23,58,196,3.0,198,4.0,367,4.0,60,3.5,20,3.0,166,0.5,142,3.5,79,1.5,247,0.5
24,55,105,4.0,166,2.5,129,3.5,197,2.5,196,3.5,124,4.0,409,3.5,157,1.5,413,2.0
24,52,105,3.5,166,2.5,129,2.5,197,3.0,196,4.0,124,3.5,409,1.5,157,3.5,413,2.5
24,53,105,3.0,166,1.0,129,2.0,197,2.0,196,4.0,124,3.5,409,3.5,157,1.5,413,1.5
24,60,105,4.0,166,3.0,129,3.0,197,2.5,196,4.0,124,2.5,409,3.0,157,1.5,413,3.5
24,61,105,2.0,166,2.0,129,1.5,197,2.5,196,1.5,124,1.0,409,2.5,157,2.5,413,3.0
25,57,404,2.5,259,1.0,136,2.0,267,4.0,167,2.5,413,4.0,48,2.5,53,3.5,388,0.5
25,56,404,3.5,259,2.0,136,4.0,267,4.0,167,3.0,413,2.0,48,4.0,53,4.0,388,4.0
25,53,404,4.0,259,1.0,136,4.0,267,4.0,167,3.5,413,1.5,48,3.5,53,2.5,388,0.5
25,60,404,3.5,259,3.0,136,3.5,267,4.0,167,2.5,413,3.5,48,3.0,53,3.0,388,0.5
25,61,404,2.0,259,4.0,136,2.5,267,4.0,167,2.5,413,3.0,48,2.5,53,3.5,388,1.0
26,13,198,4.0,53,4.0,215,2.0,144,3.0,319,4.0,90,1.5,196,2.0,49,1.5,158,2.0
26,56,198,3.0,53,4.0,215,3.5,144,4.0,319,4.0,90,3.5,196,2.5,49,3.5,158,3.5
26,54,198,3.5,53,4.0,215,1.5,144,3.5,319,4.0,90,2.0,196,3.0,49,1.5,158,3.5
26,62,198,4.0,53,3.5,215,2.5,144,4.0,319,4.0,90,4.0,196,3.5,49,3.0,158,3.5
26,63,198,4.0,53,2.0,215,2.5,144,1.5,319,4.0,90,2.5,196,2.0,49,2.5,158,3.5
27,60,412,2.5,136,3.5,198,4.0,196,4.0,197,2.5,48,3.0,37,3.0,194,3.0,142,1.0
27,55,412,3.5,136,4.0,198,4.0,196,3.5,197,2.5,48,3.0,37,4.0,194,4.0,142,2.5
27,59,412,0.5,136,4.0,198,3.5,196,4.0,197,2.0,48,4.0,37,3.5,194,3.0,142,4.0
27,58,412,3.0,136,4.0,198,4.0,196,3.0,197,3.0,48,4.0,37,3.0,194,3.0,142,3.5
27,56,412,3.5,136,4.0,198,3.0,196,2.5,197,3.0,48,4.0,37,4.0,194,2.5,142,4.0
28,63,212,4.0,219,4.0,105,4.0,259,2.0,38,2.0,129,1.5,127,1.5,144,1.5,250,3.5
28,62,212,4.0,219,4.0,105,3.5,259,4.0,38,3.0,129,4.0,127,1.0,144,4.0,250,4.0
28,55,212,3.0,219,4.0,105,4.0,259,2.0,38,3.5,129,3.5,127,1.5,144,3.0,250,1.5
28,52,212,3.0,219,3.0,105,3.5,259,3.5,38,4.0,129,2.5,127,3.5,144,3.5,250,2.5
28,53,212,4.0,219,4.0,105,3.0,259,1.0,38,2.0,129,2.0,127,2.0,144,0.5,250,4.0
29,55,359,2.5,157,1.5,136,4.0,49,3.0,2,3.0,8,3.5,267,4.0,250,1.5,233,2.0
29,59,359,3.0,157,2.0,136,4.0,49,1.5,2,3.0,8,4.0,267,4.0,250,4.0,233,4.0
29,53,359,2.0,157,1.5,136,4.0,49,1.0,2,3.0,8,4.0,267,4.0,250,4.0,233,4.0
29,57,359,4.0,157,2.0,136,2.0,49,1.5,2,2.0,8,4.0,267,4.0,250,3.5,233,3.0
29,58,359,4.0,157,3.5,136,4.0,49,1.5,2,3.5,8,4.0,267,4.0,250,4.0,233,3.0
30,60,127,3.5,129,3.0,49,2.0,415,4.0,370,3.0,219,3.5,194,3.0,90,3.5,328,2.5
30,52,127,3.5,129,2.5,49,3.5,415,4.0,370,3.0,219,3.0,194,2.5,90,4.0,328,4.0
30,62,127,1.0,129,4.0,49,3.0,415,3.5,370,4.0,219,4.0,194,4.0,90,4.0,328,3.5
30,55,127,1.5,129,3.5,49,3.0,415,2.5,370,4.0,219,4.0,194,4.0,90,4.0,328,4.0
30,57,127,3.5,129,3.0,49,1.5,415,4.0,370,4.0,219,3.0,194,3.0,90,3.0,328,3.5
31,59,124,4.0,119,3.5,209,4.0,98,4.0,9,3.5,323,3.5,219,4.0,68,3.0,315,4.0
31,63,124,1.5,119,3.5,209,3.5,98,3.0,9,0.5,323,3.5,219,4.0,68,1.0,315,4.0
31,57,124,1.0,119,3.0,209,2.5,98,3.0,9,1.0,323,3.5,219,3.0,68,1.5,315,4.0
31,62,124,3.0,119,3.5,209,4.0,98,2.5,9,3.0,323,2.0,219,4.0,68,2.0,315,4.0
31,61,124,1.0,119,3.5,209,3.0,98,3.0,9,0.5,323,0.5,219,3.0,68,4.0,315,0.5
32,62,404,3.5,38,3.0,351,4.0,413,2.0,37,4.0,2,3.0,332,2.5,14,3.5,136,4.0
32,58,404,3.5,38,3.0,351,4.0,413,3.5,37,3.0,2,3.5,332,3.0,14,4.0,136,4.0
32,55,404,3.0,38,3.5,351,4.0,413,2.0,37,4.0,2,3.0,332,2.0,14,4.0,136,4.0
32,61,404,2.0,38,2.5,351,4.0,413,3.0,37,3.5,2,3.5,332,1.5,14,3.5,136,2.5
32,13,404,3.5,38,2.0,351,4.0,413,2.5,37,3.0,2,2.0,332,3.0,14,3.5,136,3.0
33,58,60,3.5,165,4.0,267,4.0,198,4.0,197,3.0,167,3.5,141,4.0,298,3.0,37,3.0
33,56,60,4.0,165,3.0,267,4.0,198,3.0,197,3.0,167,3.0,141,3.5,298,2.0,37,4.0
33,59,60,4.0,165,3.5,267,4.0,198,3.5,197,2.0,167,1.5,141,3.0,298,2.0,37,3.5
33,60,60,4.0,165,2.5,267,4.0,198,4.0,197,2.5,167,2.5,141,0.5,298,3.0,37,3.0
33,54,60,3.0,165,2.5,267,4.0,198,3.5,197,2.0,167,1.5,141,3.0,298,2.5,37,3.5
34,63,127,1.5,100,3.0,370,3.5,68,1.0,224,0.5,106,3.5,292,2.5,407,4.0,315,4.0
34,59,127,2.5,100,2.0,370,4.0,68,3.0,224,2.0,106,4.0,292,4.0,407,4.0,315,4.0
34,62,127,1.0,100,3.5,370,4.0,68,2.0,224,3.0,106,3.5,292,3.0,407,1.0,315,4.0
34,52,127,3.5,100,3.0,370,3.0,68,3.5,224,1.5,106,3.0,292,4.0,407,4.0,315,4.0
34,56,127,2.0,100,1.5,370,4.0,68,3.5,224,3.0,106,3.0,292,2.5,407,4.0,315,4.0
35,63,332,2.0,142,0.5,194,3.0,98,3.0,410,3.5,54,4.0,18,2.0,197,2.5,412,2.0
35,13,332,3.0,142,1.5,194,3.0,98,4.0,410,3.0,54,4.0,18,2.5,197,1.0,412,3.5
35,58,332,3.0,142,3.5,194,3.0,98,4.0,410,3.5,54,4.0,18,4.0,197,3.0,412,3.0
35,54,332,1.5,142,2.5,194,2.0,98,4.0,410,4.0,54,4.0,18,3.5,197,2.0,412,3.5
35,60,332,2.5,142,1.0,194,3.0,98,4.0,410,3.5,54,4.0,18,3.0,197,2.5,412,2.5
36,13,407,4.0,367,3.5,247,4.0,388,2.5,355,2.5,106,3.5,18,2.5,167,3.0,48,3.5
36,58,407,4.0,367,4.0,247,0.5,388,4.0,355,2.5,106,3.0,18,4.0,167,3.5,48,4.0
36,57,407,4.0,367,2.5,247,4.0,388,0.5,355,3.0,106,3.0,18,4.0,167,2.5,48,2.5
36,59,407,4.0,367,4.0,247,4.0,388,1.5,355,4.0,106,4.0,18,3.0,167,1.5,48,4.0
36,53,407,4.0,367,4.0,247,4.0,388,0.5,355,2.5,106,3.0,18,2.0,167,3.5,48,3.5
37,13,31,3.5,250,4.0,413,2.5,166,3.0,319,4.0,20,4.0,225,3.0,198,4.0,144,3.0
37,61,31,2.0,250,2.5,413,3.0,166,2.0,319,3.5,20,3.0,225,3.5,198,3.5,144,4.0
37,55,31,3.5,250,1.5,413,2.0,166,2.5,319,4.0,20,4.0,225,3.0,198,4.0,144,3.0
37,57,31,2.5,250,3.5,413,4.0,166,2.0,319,1.0,20,3.0,225,3.0,198,3.5,144,2.5
37,58,31,3.0,250,4.0,413,3.5,166,0.5,319,2.5,20,3.0,225,3.5,198,4.0,144,3.5
38,58,157,3.5,110,2.0,289,4.0,18,4.0,49,1.5,407,4.0,124,3.0,90,1.0,8,4.0
38,60,157,1.5,110,1.5,289,3.5,18,3.0,49,2.0,407,4.0,124,2.5,90,3.5,8,3.5
38,62,157,1.0,110,4.0,289,3.0,18,3.5,49,3.0,407,1.0,124,3.0,90,4.0,8,4.0
38,63,157,2.0,110,0.5,289,3.0,18,2.0,49,2.5,407,4.0,124,1.5,90,2.5,8,4.0
38,52,157,3.5,110,3.0,289,0.5,18,4.0,49,3.5,407,4.0,124,3.5,90,4.0,8,3.5
39,59,247,4.0,402,3.5,37,3.5,407,4.0,351,4.0,319,4.0,68,3.0,144,3.5,397,4.0
39,61,247,4.0,402,0.5,37,3.5,407,4.0,351,4.0,319,3.5,68,4.0,144,4.0,397,3.0
39,60,247,3.5,402,2.0,37,3.0,407,4.0,351,4.0,319,3.0,68,2.5,144,3.0,397,4.0
39,57,247,4.0,402,2.0,37,3.5,407,4.0,351,4.0,319,1.0,68,1.5,144,2.5,397,4.0
39,53,247,4.0,402,0.5,37,3.0,407,4.0,351,3.0,319,4.0,68,0.5,144,0.5,397,4.0
40,63,413,3.0,219,4.0,53,2.0,406,2.0,37,2.5,395,2.5,18,2.0,281,4.0,225,3.0
40,13,413,2.5,219,3.5,53,4.0,406,4.0,37,3.0,395,3.5,18,2.5,281,4.0,225,3.0
40,55,413,2.0,219,4.0,53,4.0,406,3.5,37,4.0,395,3.5,18,3.5,281,4.0,225,3.0
40,59,413,2.0,219,4.0,53,4.0,406,4.0,37,3.5,395,3.5,18,3.0,281,4.0,225,3.0
40,60,413,3.5,219,3.5,53,3.0,406,3.0,37,3.0,395,3.0,18,3.0,281,4.0,225,2.5
41,52,129,2.5,402,3.5,2,2.5,300,1.0,292,4.0,233,4.0,31,4.0,359,2.5,135,2.5
41,57,129,3.0,402,2.0,2,2.0,300,1.5,292,4.0,233,3.0,31,2.5,359,4.0,135,4.0
41,58,129,4.0,402,1.5,2,3.5,300,4.0,292,4.0,233,3.0,31,3.0,359,4.0,135,4.0
41,59,129,4.0,402,3.5,2,3.0,300,4.0,292,4.0,233,4.0,31,4.0,359,3.0,135,4.0
41,60,129,3.0,402,2.0,2,3.0,300,4.0,292,3.0,233,4.0,31,3.5,359,3.5,135,2.0
42,52,129,2.5,48,3.0,14,4.0,388,4.0,166,2.5,275,4.0,100,3.0,250,2.5,412,2.0
42,58,129,4.0,48,4.0,14,4.0,388,4.0,166,0.5,275,3.5,100,3.5,250,4.0,412,3.0
42,61,129,1.5,48,2.5,14,3.5,388,1.0,166,2.0,275,4.0,100,2.5,250,2.5,412,2.5
42,59,129,4.0,48,4.0,14,4.0,388,1.5,166,2.0,275,3.0,100,2.0,250,4.0,412,0.5
42,53,129,2.0,48,3.5,14,3.0,388,0.5,166,1.0,275,2.0,100,2.5,250,4.0,412,1.5
43,52,250,2.5,410,4.0,2,2.5,165,3.0,119,4.0,48,3.0,20,4.0,225,4.0,289,0.5
43,55,250,1.5,410,4.0,2,3.0,165,4.0,119,3.5,48,3.0,20,4.0,225,3.0,289,3.5
43,54,250,4.0,410,4.0,2,3.5,165,2.5,119,3.5,48,2.5,20,4.0,225,2.0,289,2.5
43,61,250,2.5,410,3.5,2,3.5,165,1.5,119,3.5,48,2.5,20,3.0,225,3.5,289,1.5
43,60,250,3.5,410,3.5,2,3.0,165,2.5,119,3.0,48,3.0,20,3.5,225,2.5,289,3.5
44,53,8,4.0,119,3.0,127,2.0,101,3.5,367,4.0,292,2.5,319,4.0,209,1.5,2,3.0
44,62,8,4.0,119,3.5,127,1.0,101,3.0,367,4.0,292,3.0,319,4.0,209,4.0,2,3.0
44,55,8,3.5,119,3.5,127,1.5,101,3.0,367,3.0,292,3.0,319,4.0,209,4.0,2,3.0
44,63,8,4.0,119,3.5,127,1.5,101,2.5,367,2.5,292,2.5,319,4.0,209,3.5,2,2.0
44,59,8,4.0,119,3.5,127,2.5,101,1.5,367,4.0,292,4.0,319,4.0,209,4.0,2,3.0
45,63,413,3.0,106,3.5,323,3.5,157,2.0,196,2.0,48,3.0,212,4.0,2,2.0,281,4.0
45,53,413,1.5,106,3.0,323,3.5,157,1.5,196,4.0,48,3.5,212,4.0,2,3.0,281,4.0
45,58,413,3.5,106,3.0,323,3.5,157,3.5,196,3.0,48,4.0,212,4.0,2,3.5,281,3.5
45,13,413,2.5,106,3.5,323,3.5,157,3.0,196,2.0,48,3.5,212,3.5,2,2.0,281,4.0
45,60,413,3.5,106,2.5,323,2.0,157,1.5,196,4.0,48,3.0,212,3.5,2,3.0,281,4.0
46,63,49,2.5,267,4.0,198,4.0,343,3.0,132,3.0,215,2.5,409,2.0,106,3.5,402,1.5
46,58,49,1.5,267,4.0,198,4.0,343,3.0,132,4.0,215,3.5,409,3.0,106,3.0,402,1.5
46,56,49,3.5,267,4.0,198,3.0,343,4.0,132,4.0,215,3.5,409,3.5,106,3.0,402,3.5
46,52,49,3.5,267,4.0,198,3.5,343,3.0,132,4.0,215,3.0,409,1.5,106,3.0,402,3.5
46,55,49,3.0,267,4.0,198,4.0,343,3.0,132,4.0,215,2.0,409,3.5,106,4.0,402,3.0
47,57,259,1.0,31,2.5,157,2.0,219,3.0,209,2.5,98,3.0,351,4.0,49,1.5,406,2.0
47,55,259,2.0,31,3.5,157,1.5,219,4.0,209,4.0,98,3.0,351,4.0,49,3.0,406,3.5
47,13,259,1.0,31,3.5,157,3.0,219,3.5,209,4.0,98,4.0,351,4.0,49,1.5,406,4.0
