item,user-1,rating-1,user-2,rating-2,user-3,rating-3,user-4,rating-4
109,34,5.0,514,4.0,310,5.0,1070,
0,897,3.0,104,,75,4.0,604,3.0
42,1555,5.0,1141,4.0,1342,,1391,4.0
44,1520,3.0,1159,5.0,1495,3.0,554,
135,643,4.0,324,4.0,376,5.0,636,
16,1426,3.0,1432,5.0,252,,1102,4.0
43,818,4.0,467,2.0,1335,5.0,1673,
190,192,,977,5.0,1155,4.0,623,3.0
11,917,3.0,460,5.0,1518,3.0,1039,
0,416,,740,4.0,219,4.0,31,4.0
44,1361,5.0,932,5.0,757,4.0,1547,2.0
11,1732,4.0,604,4.0,445,5.0,367,
1,1506,5.0,1254,3.0,282,,619,4.0
219,834,5.0,295,,520,3.0,558,4.0
23,233,1.0,201,,1498,4.0,332,4.0
26,803,2.0,92,,828,4.0,1183,5.0
26,117,5.0,1464,,591,4.0,719,5.0
193,1731,5.0,227,5.0,1720,3.0,330,5.0
15,1344,5.0,288,4.0,773,1.0,104,3.0
8,864,4.0,1144,4.0,1720,3.0,168,
44,1058,4.0,1254,5.0,1101,,1647,4.0
26,241,3.0,1186,1.0,71,5.0,1581,
354,1026,5.0,1461,,188,4.0,751,5.0
54,1523,5.0,758,5.0,1623,,1754,5.0
438,97,5.0,637,,78,3.0,943,5.0
8,419,3.0,835,4.0,1511,,205,5.0
16,769,4.0,1495,,1305,1.0,1276,5.0
26,485,3.0,1015,,1612,4.0,1292,4.0
207,1425,,883,3.0,1577,4.0,859,5.0
257,352,5.0,261,,1438,2.0,1694,3.0
15,25,5.0,394,4.0,1149,,590,5.0
83,849,2.0,1587,4.0,1223,4.0,1260,3.0
23,263,5.0,988,1.0,620,5.0,1198,
68,1282,4.0,1254,4.0,1752,5.0,857,
15,1746,3.0,404,5.0,669,,573,5.0
59,945,,2,2.0,845,4.0,414,3.0
16,1302,5.0,280,3.0,796,4.0,573,4.0
51,1334,4.0,758,5.0,138,4.0,1725,
61,1149,4.0,1006,4.0,702,3.0,1263,
85,645,4.0,135,,893,4.0,1054,2.0
11,497,4.0,389,4.0,168,2.0,319,3.0
183,37,5.0,1096,4.0,521,5.0,797,4.0
208,865,5.0,338,3.0,1564,3.0,478,
127,1041,4.0,470,,924,4.0,143,3.0
15,1153,5.0,292,,245,5.0,1627,3.0
63,1524,,1479,4.0,969,5.0,303,4.0
10,128,4.0,180,,280,4.0,1277,4.0
71,352,5.0,339,5.0,1684,,810,2.0
38,726,5.0,632,4.0,793,5.0,1355,
23,150,,361,4.0,349,5.0,926,3.0
11,1130,4.0,1708,4.0,910,4.0,591,3.0
213,480,4.0,854,,1082,4.0,686,3.0
8,1168,5.0,1206,4.0,697,5.0,559,1.0
129,1008,,16,3.0,1134,5.0,1503,5.0
51,130,,1242,5.0,349,5.0,94,5.0
44,1072,3.0,1162,4.0,1706,5.0,1743,3.0
44,1027,,867,5.0,765,5.0,815,4.0
223,101,3.0,774,2.0,955,5.0,1358,
15,838,,136,5.0,959,5.0,271,3.0
81,688,,377,5.0,1242,4.0,460,5.0
153,1184,1.0,865,3.0,1654,1.0,1272,
81,1634,5.0,165,,136,4.0,924,5.0
161,1249,,1155,3.0,133,3.0,1030,4.0
161,1328,,1442,4.0,666,3.0,1611,3.0
8,724,5.0,920,5.0,444,4.0,382,
238,1221,,1418,4.0,1084,3.0,894,3.0
54,480,,1154,4.0,1333,5.0,1071,4.0
11,1584,,1057,3.0,1162,5.0,1100,4.0
146,337,3.0,1249,,229,5.0,1643,3.0
129,1317,5.0,153,,810,1.0,747,4.0
15,657,4.0,532,4.0,1318,4.0,1229,
81,256,5.0,646,4.0,888,4.0,1578,5.0
246,54,5.0,263,2.0,1658,,1276,4.0
16,401,2.0,1077,4.0,1703,5.0,1658,3.0
183,677,4.0,1093,4.0,520,5.0,808,
209,1683,4.0,933,,1734,3.0,942,4.0
44,1410,3.0,1205,3.0,1463,4.0,1080,
129,1061,5.0,1688,4.0,1531,5.0,845,5.0
129,464,2.0,160,5.0,1205,5.0,1421,
27,1651,3.0,1483,,156,2.0,207,3.0
129,323,4.0,1525,,422,5.0,472,5.0
15,530,4.0,1351,5.0,1354,4.0,77,4.0
51,1072,5.0,243,5.0,1414,,91,5.0
69,1168,3.0,1172,5.0,281,5.0,847,5.0
33,1402,4.0,1582,,1647,3.0,1503,4.0
275,948,,229,5.0,103,5.0,520,3.0
32,1632,,72,5.0,1162,5.0,1535,5.0
15,1523,5.0,55,4.0,907,,253,3.0
62,448,1.0,176,5.0,277,4.0,1373,
7,1651,4.0,1207,4.0,1479,4.0,616,
11,864,4.0,712,,697,3.0,939,4.0
177,1559,5.0,1641,5.0,1279,5.0,703,
15,985,5.0,1594,,1084,3.0,830,5.0
0,912,,1448,4.0,459,2.0,1629,3.0
1,485,4.0,969,2.0,889,5.0,619,4.0
43,224,,128,2.0,405,5.0,666,3.0
43,594,5.0,851,5.0,1588,5.0,292,
200,992,5.0,1041,,585,4.0,249,2.0
208,1024,5.0,1619,4.0,1756,3.0,733,
11,467,4.0,228,3.0,838,,374,4.0
246,1132,5.0,1133,,1470,4.0,862,4.0
44,1238,,375,4.0,941,3.0,31,5.0
129,1712,5.0,1110,5.0,1239,4.0,1527,
11,868,5.0,1274,4.0,1358,4.0,319,3.0
43,1558,4.0,1239,5.0,56,,334,1.0
128,1588,5.0,1718,5.0,57,,1517,5.0
16,368,3.0,947,2.0,1380,3.0,1706,
146,1367,3.0,1646,5.0,670,2.0,751,
208,1670,4.0,855,5.0,136,3.0,1276,
208,1024,5.0,599,4.0,1708,,1070,5.0
24,1634,3.0,1250,3.0,765,,78,2.0
15,985,5.0,858,,43,4.0,1565,4.0
81,1123,4.0,324,4.0,428,,335,5.0
106,455,4.0,633,,1100,4.0,143,2.0
83,600,5.0,1577,5.0,1277,,926,5.0
129,976,,504,5.0,188,3.0,1501,5.0
190,1637,,1591,2.0,1006,5.0,1551,3.0
15,165,,1624,5.0,920,4.0,409,5.0
127,162,5.0,1570,4.0,106,,1722,4.0
46,52,3.0,822,4.0,615,3.0,282,
44,466,4.0,1447,,9,4.0,153,4.0
43,1,5.0,1059,5.0,1535,4.0,1375,4.0
81,416,5.0,69,,1301,5.0,1646,5.0
282,1058,4.0,1557,,1098,4.0,445,4.0
223,977,4.0,1122,,1049,4.0,558,3.0
234,1523,4.0,948,5.0,346,,1612,5.0
270,705,4.0,530,4.0,280,5.0,28,
446,1040,,230,3.0,1241,5.0,107,2.0
15,688,5.0,642,,1622,5.0,1417,4.0
186,1253,4.0,792,4.0,1262,,1071,4.0
1,1027,5.0,677,4.0,1679,4.0,1487,
23,563,3.0,5,5.0,1112,,522,5.0
217,1041,4.0,455,4.0,1433,2.0,1132,
113,103,,585,5.0,732,4.0,494,3.0
222,953,,1690,1.0,890,4.0,1374,2.0
51,452,5.0,549,5.0,508,5.0,1085,
222,1176,2.0,1388,3.0,1646,4.0,1151,
40,736,,1191,3.0,715,5.0,1133,5.0
282,483,4.0,88,1.0,364,3.0,637,
85,160,,897,4.0,1737,3.0,1420,5.0
43,322,5.0,1240,3.0,1417,5.0,1038,
43,768,5.0,1617,,633,4.0,190,3.0
25,561,4.0,1508,,1752,5.0,1391,2.0
40,227,4.0,1435,5.0,188,5.0,1455,
11,1270,5.0,1206,1.0,280,5.0,329,4.0
49,1267,3.0,824,2.0,284,5.0,1357,
282,774,,1351,5.0,183,2.0,1034,5.0
107,976,3.0,34,5.0,1606,5.0,1367,
11,500,5.0,265,,202,5.0,268,4.0
44,864,5.0,1043,,1732,3.0,1307,4.0
1,1360,5.0,263,4.0,1064,,1609,5.0
85,962,5.0,136,4.0,1515,,397,5.0
11,1617,3.0,18,4.0,486,4.0,249,4.0
49,1300,4.0,1541,5.0,909,,765,4.0
108,1696,5.0,791,3.0,1272,,1630,5.0
38,1112,5.0,1209,5.0,1706,,1388,4.0
149,866,5.0,563,4.0,1189,4.0,297,4.0
122,741,5.0,682,5.0,1547,4.0,717,2.0
23,585,5.0,889,5.0,1133,5.0,1262,
181,1074,,326,5.0,423,4.0,615,4.0
105,1432,4.0,360,,587,3.0,1695,2.0
1,130,,1253,4.0,1111,4.0,364,4.0
193,865,5.0,883,4.0,341,4.0,1019,
69,1220,2.0,1095,5.0,1757,3.0,973,4.0
81,1600,5.0,150,5.0,1177,5.0,557,
110,917,3.0,1687,,888,5.0,795,3.0
16,611,4.0,525,5.0,1613,,1183,4.0
208,1378,,162,5.0,1591,3.0,490,1.0
274,643,4.0,1061,,1608,4.0,1116,5.0
205,755,4.0,599,4.0,924,3.0,1534,
68,294,5.0,406,4.0,967,4.0,968,
122,643,,504,4.0,395,5.0,1388,4.0
11,1554,5.0,1618,,1292,5.0,398,5.0
54,505,5.0,1721,3.0,1098,4.0,717,3.0
73,826,,1276,5.0,1581,2.0,974,4.0
113,1058,3.0,627,3.0,198,3.0,1710,
150,1349,4.0,1688,4.0,858,,207,2.0
149,146,3.0,571,4.0,267,,1612,4.0
208,1072,4.0,1633,,1241,5.0,331,5.0
198,1160,4.0,424,,876,4.0,925,1.0
127,545,,722,5.0,697,4.0,877,3.0
246,657,3.0,69,4.0,1435,4.0,943,
15,520,4.0,269,5.0,173,,830,5.0
21,1008,,1248,4.0,520,4.0,190,3.0
36,1714,4.0,118,3.0,1718,,1295,2.0
222,1713,,323,3.0,181,4.0,716,4.0
48,1298,,136,4.0,606,5.0,287,4.0
15,1153,5.0,755,4.0,1573,,632,5.0
143,641,1.0,598,4.0,1192,,1679,2.0
43,290,5.0,898,,244,3.0,709,3.0
54,1172,3.0,1463,4.0,647,4.0,826,
49,515,5.0,406,5.0,922,5.0,650,
200,310,5.0,1209,5.0,749,,845,4.0
73,932,5.0,599,3.0,744,,732,2.0
85,1651,4.0,309,5.0,1531,4.0,30,
129,933,4.0,1399,5.0,573,5.0,1373,
15,132,5.0,325,5.0,1598,4.0,175,5.0
49,1202,5.0,226,5.0,263,4.0,140,
139,1200,4.0,977,1.0,1470,,447,3.0
69,1651,3.0,965,1.0,221,4.0,414,
208,532,3.0,167,4.0,718,,191,5.0
190,512,,17,4.0,690,3.0,167,5.0
296,977,3.0,1290,4.0,1580,4.0,1325,
81,22,5.0,1547,2.0,1691,,1532,5.0
129,984,5.0,1240,5.0,136,5.0,873,5.0
183,259,,1591,3.0,1258,4.0,430,4.0
149,722,4.0,374,4.0,566,5.0,684,
11,1314,5.0,1703,4.0,792,4.0,1673,
86,99,2.0,54,2.0,606,,1551,2.0
15,1048,4.0,635,3.0,1612,3.0,285,4.0
105,306,4.0,1570,3.0,885,,460,4.0
49,640,4.0,933,,1557,5.0,1259,5.0
44,147,5.0,1302,4.0,1084,3.0,223,
8,1684,5.0,645,4.0,486,5.0,971,2.0
1,1250,4.0,1081,,796,4.0,174,4.0
107,913,1.0,1380,3.0,325,2.0,1390,
122,1632,,1654,4.0,423,5.0,475,4.0
37,180,5.0,489,5.0,314,,334,3.0
438,323,3.0,387,,1301,3.0,1433,4.0
24,19,2.0,1544,4.0,58,,638,2.0
223,274,4.0,1348,,502,1.0,967,4.0
23,1301,5.0,857,5.0,537,4.0,1532,
11,530,4.0,1187,5.0,747,5.0,1309,4.0
63,721,,983,3.0,254,3.0,1343,4.0
26,690,4.0,662,4.0,696,4.0,1499,
159,97,2.0,1057,3.0,327,,1659,4.0
23,679,4.0,1309,,398,3.0,863,5.0
355,162,,1334,5.0,104,5.0,571,5.0
44,1296,4.0,453,4.0,1591,3.0,923,
43,326,3.0,1274,4.0,411,,957,5.0
16,693,,1333,5.0,229,5.0,1304,2.0
85,1649,3.0,901,5.0,1644,5.0,1693,
85,962,5.0,20,5.0,711,4.0,456,2.0
51,1270,4.0,1134,,815,3.0,1599,4.0
81,499,,1013,5.0,967,5.0,1388,3.0
8,835,4.0,1334,5.0,296,,1417,5.0
15,1317,5.0,279,4.0,300,5.0,1421,5.0
238,1028,4.0,166,5.0,1371,,91,4.0
379,456,5.0,1466,,1739,4.0,107,4.0
379,530,4.0,947,5.0,1220,,1417,3.0
33,963,4.0,780,4.0,1181,4.0,1582,
43,642,,839,5.0,967,5.0,922,3.0
38,736,4.0,1379,,453,3.0,1658,4.0
26,326,,1398,5.0,1195,4.0,815,5.0
44,1751,4.0,1240,3.0,1515,2.0,479,
146,1344,3.0,1154,5.0,805,,62,4.0
15,1745,4.0,1297,4.0,787,,1565,4.0
23,146,5.0,1239,4.0,1421,5.0,335,
91,64,4.0,1284,3.0,1638,3.0,1723,
278,1602,4.0,306,2.0,1687,,475,3.0
30,722,3.0,424,3.0,861,,446,5.0
54,450,,438,4.0,555,4.0,206,5.0
129,1664,4.0,22,,1721,5.0,1071,5.0
8,1552,4.0,961,5.0,694,,1071,5.0
54,262,4.0,1063,,392,5.0,717,3.0
54,1056,5.0,1176,5.0,25,,1086,4.0
16,1381,3.0,566,4.0,221,5.0,750,
44,1028,,634,4.0,636,3.0,558,4.0
183,305,3.0,820,4.0,695,5.0,1243,
183,224,5.0,485,,1358,5.0,815,4.0
83,1701,5.0,842,4.0,589,,910,5.0
216,437,3.0,646,5.0,1001,3.0,1244,
48,977,5.0,967,5.0,1196,,591,4.0
85,340,4.0,1606,5.0,217,2.0,589,
61,1088,4.0,680,3.0,1673,,1421,4.0
33,277,3.0,537,4.0,202,,506,4.0
81,1507,,1318,4.0,726,3.0,1006,5.0
128,505,5.0,569,,141,5.0,78,3.0
27,340,,1432,5.0,747,3.0,1646,5.0
86,555,5.0,461,4.0,1118,5.0,735,
11,1056,,1175,5.0,431,4.0,591,3.0
40,1665,,1493,4.0,166,5.0,702,4.0
244,1697,5.0,532,3.0,1269,3.0,1209,
26,99,3.0,1380,4.0,1205,,1612,4.0
149,1682,4.0,1603,4.0,68,,735,4.0
49,1512,5.0,765,4.0,894,5.0,1711,4.0
62,899,,901,4.0,106,5.0,107,5.0
26,49,5.0,1029,,1014,4.0,521,5.0
85,1108,4.0,516,5.0,363,,622,1.0
314,562,,451,3.0,188,5.0,1694,4.0
83,82,4.0,1044,,664,3.0,894,2.0
274,1344,4.0,306,4.0,101,4.0,326,
85,387,4.0,804,1.0,1492,,149,5.0
54,1491,,532,4.0,679,4.0,1068,3.0
19,839,3.0,1084,4.0,364,4.0,254,
8,160,5.0,50,,1124,4.0,622,4.0
274,864,3.0,1203,4.0,251,4.0,1167,5.0
106,576,4.0,843,,1261,5.0,717,2.0
23,545,,932,5.0,344,5.0,218,5.0
43,1106,5.0,1750,,967,5.0,573,5.0
71,1698,5.0,802,,1747,4.0,645,5.0
73,64,2.0,20,5.0,425,,1004,5.0
35,1488,4.0,1120,,996,4.0,1086,5.0
33,549,3.0,376,,1722,5.0,1503,4.0
2,1699,4.0,1540,,390,3.0,537,4.0
282,483,4.0,664,4.0,170,2.0,1647,4.0
49,289,3.0,519,4.0,1545,,1755,4.0
22,913,3.0,1732,,276,4.0,6,2.0
68,176,4.0,597,4.0,1013,5.0,1354,4.0
15,684,,1565,4.0,1406,4.0,591,4.0
89,277,4.0,1544,4.0,280,,572,4.0
208,1520,3.0,772,4.0,693,,1228,5.0
134,820,4.0,1333,1.0,1399,3.0,1675,
105,721,3.0,1170,5.0,24,4.0,620,
48,530,3.0,1256,,1705,5.0,1339,5.0
101,401,,885,4.0,843,5.0,444,5.0
190,1028,2.0,692,5.0,1609,4.0,1230,
85,336,5.0,209,,616,2.0,280,5.0
51,1072,5.0,811,,1406,5.0,1583,5.0
268,434,3.0,982,5.0,920,,617,1.0
21,773,3.0,140,,972,4.0,237,4.0
15,1424,4.0,1392,,393,5.0,284,5.0
62,129,,1026,4.0,306,5.0,355,4.0
69,900,2.0,101,,1016,5.0,1561,5.0
208,1697,,965,5.0,998,3.0,648,5.0
38,1314,5.0,294,5.0,505,,1242,5.0
8,1154,4.0,517,4.0,1689,3.0,477,
44,692,5.0,1095,5.0,1112,5.0,235,
68,374,3.0,506,3.0,92,,1244,3.0
62,1173,3.0,1642,4.0,683,,651,3.0
11,860,4.0,1725,,717,5.0,47,5.0
492,51,3.0,358,5.0,1495,,461,5.0
44,18,4.0,5,,726,4.0,1564,4.0
8,596,4.0,1591,3.0,779,,1691,5.0
49,290,5.0,1603,5.0,453,3.0,1097,
23,193,5.0,1065,5.0,605,4.0,381,5.0
11,421,,1270,5.0,890,4.0,927,4.0
127,1665,,817,4.0,1619,5.0,965,4.0
16,1011,4.0,597,4.0,1226,,268,4.0
71,54,4.0,279,,1274,5.0,1564,5.0
81,657,5.0,1409,,475,5.0,843,5.0
23,1312,4.0,881,4.0,596,,1565,5.0
26,529,5.0,1441,4.0,129,5.0,551,
16,608,4.0,1282,,724,5.0,1611,3.0
190,853,4.0,901,3.0,1001,4.0,1435,
208,949,3.0,632,4.0,906,4.0,460,
23,677,4.0,1579,3.0,459,,572,4.0
127,64,5.0,1523,,1350,5.0,1415,5.0
81,517,3.0,613,5.0,1751,,61,5.0
282,371,,1525,5.0,806,2.0,1610,4.0
37,1285,4.0,424,3.0,1738,4.0,1343,
26,705,,1606,5.0,966,5.0,504,3.0
119,436,4.0,101,2.0,586,,1196,3.0
124,183,,72,4.0,1642,4.0,1259,4.0
8,1476,,8,4.0,92,5.0,29,5.0
208,387,,84,3.0,364,4.0,1694,5.0
37,900,5.0,471,,1339,5.0,1068,5.0
63,1664,4.0,1719,,875,2.0,494,4.0
183,1250,5.0,1096,4.0,284,,1086,5.0
571,1472,3.0,101,1.0,1334,,1084,2.0
8,1235,5.0,852,5.0,1511,,894,5.0
86,1745,3.0,881,4.0,581,,680,4.0
15,288,4.0,1714,5.0,1652,5.0,183,4.0
208,1752,,1657,5.0,91,4.0,479,3.0
16,1472,4.0,1601,,1107,2.0,1302,5.0
190,288,4.0,101,2.0,889,,175,5.0
81,1300,4.0,1605,,733,5.0,335,5.0
72,1521,,755,3.0,1463,4.0,1291,4.0
218,836,5.0,1147,,1533,3.0,1181,1.0
146,1601,,280,4.0,1004,4.0,111,2.0
81,485,5.0,650,,459,4.0,44,5.0
43,1703,5.0,1132,4.0,333,4.0,1070,5.0
161,617,2.0,1084,2.0,716,,383,2.0
26,1380,4.0,937,4.0,9,4.0,123,5.0
51,353,5.0,146,5.0,133,,621,3.0
15,1654,5.0,246,3.0,1351,5.0,455,4.0
109,1649,5.0,1539,5.0,616,3.0,283,
1,1184,4.0,1684,4.0,1722,4.0,1435,
393,1232,3.0,1205,3.0,1559,4.0,1548,
8,325,5.0,1606,5.0,873,,1307,5.0
49,1301,5.0,1061,2.0,799,3.0,1567,
63,1354,,1692,2.0,1550,4.0,783,5.0
16,149,5.0,1750,4.0,1181,5.0,1071,2.0
0,1729,,227,3.0,452,4.0,1615,4.0
209,1683,4.0,102,3.0,634,4.0,1627,
282,1603,4.0,309,,345,5.0,603,4.0
71,257,5.0,1314,4.0,1062,5.0,110,
193,1122,3.0,1715,,121,4.0,1098,5.0
85,711,4.0,1224,4.0,397,5.0,77,
8,1285,3.0,200,4.0,1098,5.0,174,
42,1397,,1478,3.0,1607,5.0,303,3.0
44,1032,4.0,920,4.0,1421,5.0,111,
129,224,,1123,4.0,442,3.0,1613,5.0
248,1096,3.0,1436,3.0,1644,,623,3.0
32,39,,1260,3.0,604,4.0,1357,5.0
25,1058,3.0,53,,796,3.0,1054,5.0
202,64,4.0,451,3.0,1662,,831,4.0
0,1632,,1172,3.0,1054,5.0,287,2.0
193,322,4.0,1269,4.0,1435,,910,5.0
15,610,,1430,4.0,270,3.0,959,5.0
49,434,5.0,1013,5.0,186,5.0,909,
129,1121,5.0,162,4.0,1444,,580,5.0
164,1334,4.0,698,,122,3.0,1227,3.0
26,305,,67,5.0,1740,2.0,686,4.0
11,64,5.0,752,,1735,1.0,985,5.0
68,1520,4.0,1344,5.0,434,5.0,1718,5.0
51,498,5.0,1012,5.0,505,5.0,586,
277,306,4.0,1619,2.0,1019,,909,5.0
8,740,4.0,1333,5.0,1484,2.0,765,
0,25,5.0,522,,252,2.0,1406,2.0
405,868,2.0,166,5.0,1694,3.0,799,
81,1377,4.0,1619,,1100,4.0,1724,5.0
203,582,,136,4.0,43,2.0,444,4.0
81,906,4.0,860,5.0,556,1.0,335,5.0
208,1013,4.0,1685,4.0,1079,4.0,744,5.0
533,580,3.0,660,,555,3.0,1387,5.0
8,212,5.0,567,2.0,71,3.0,1673,
193,626,4.0,1141,,1353,5.0,892,5.0
200,912,2.0,881,5.0,1123,5.0,1114,
69,403,,517,4.0,1195,3.0,1006,5.0
208,464,4.0,434,4.0,646,4.0,186,5.0
238,1622,,1095,5.0,281,3.0,159,4.0
119,1682,3.0,548,,1077,4.0,233,3.0
26,1426,4.0,755,5.0,1604,,572,5.0
11,1732,4.0,134,5.0,1240,5.0,1754,
16,1136,5.0,289,,73,5.0,186,4.0
85,752,,1093,4.0,168,2.0,571,5.0
198,64,3.0,147,,949,4.0,1157,4.0
49,803,,1050,3.0,987,5.0,1324,5.0
10,417,1.0,695,1.0,585,4.0,1402,4.0
15,913,4.0,1649,5.0,519,5.0,1722,
49,162,4.0,1331,,1255,4.0,1294,5.0
190,52,4.0,874,4.0,1611,4.0,379,
26,1329,5.0,1243,,1085,3.0,111,3.0
23,1524,3.0,11,3.0,781,,1551,5.0
334,97,4.0,405,4.0,519,5.0,362,
140,1329,4.0,486,3.0,343,,1514,2.0
40,642,,325,4.0,456,3.0,616,3.0
8,745,4.0,1305,,186,4.0,815,5.0
37,657,5.0,1618,5.0,602,5.0,733,
49,1648,5.0,386,3.0,1286,,443,2.0
129,995,5.0,675,5.0,869,5.0,72,
8,1032,4.0,1192,5.0,1130,5.0,237,
63,451,3.0,1699,4.0,840,3.0,202,
190,1032,4.0,411,2.0,1324,,636,5.0
11,20,5.0,230,4.0,364,5.0,1503,4.0
129,897,4.0,1730,5.0,872,4.0,1439,5.0
119,513,5.0,17,4.0,1369,,106,4.0
113,1748,,980,4.0,1158,4.0,1549,2.0
181,647,2.0,376,3.0,9,,315,4.0
86,1522,,408,3.0,264,4.0,1242,4.0
1,1696,3.0,411,4.0,1644,4.0,991,
16,1184,3.0,285,,253,4.0,93,4.0
50,726,3.0,679,5.0,331,,623,2.0
11,736,5.0,663,,792,4.0,922,4.0
322,194,4.0,229,3.0,985,4.0,1085,
11,546,5.0,1491,,297,5.0,1068,3.0
462,851,5.0,788,4.0,389,,351,4.0
149,1348,4.0,37,4.0,1189,4.0,1381,
23,156,,604,4.0,655,4.0,1631,1.0
202,417,5.0,54,3.0,822,4.0,1722,
255,1025,3.0,708,5.0,1307,2.0,366,
1,160,1.0,1658,3.0,301,,1183,5.0
86,1536,,218,3.0,860,4.0,109,2.0
11,74,1.0,75,,559,5.0,1135,4.0
109,513,5.0,1015,,828,4.0,1612,5.0
43,1015,5.0,281,4.0,1085,5.0,270,4.0
44,499,3.0,644,4.0,666,4.0,909,5.0
81,802,,1095,5.0,1050,5.0,1295,5.0
25,1136,4.0,1025,1.0,1057,2.0,1437,4.0
85,1155,1.0,293,3.0,552,,863,5.0
109,1428,5.0,1561,3.0,1098,,286,4.0
230,1090,,274,3.0,280,5.0,636,2.0
15,200,4.0,1706,,317,4.0,495,4.0
149,1074,,643,4.0,1110,5.0,894,4.0
85,1377,4.0,1154,,453,4.0,207,5.0
0,624,3.0,1000,,109,3.0,1006,5.0
51,816,,1664,5.0,138,4.0,476,5.0
26,632,4.0,729,,254,4.0,286,3.0
209,1136,3.0,1544,3.0,908,,735,4.0
180,1696,4.0,1651,4.0,197,2.0,637,
36,1012,4.0,453,3.0,664,,1594,3.0
44,611,4.0,532,3.0,25,5.0,89,
113,848,4.0,785,,1058,3.0,311,5.0
48,1699,5.0,1669,3.0,166,,1631,1.0
375,1716,,1241,4.0,363,4.0,619,5.0
8,704,3.0,434,5.0,488,5.0,991,
40,467,3.0,1301,,1420,4.0,1581,3.0
83,560,,514,3.0,842,4.0,106,5.0
177,1010,4.0,587,1.0,300,,1311,3.0
15,561,4.0,467,4.0,373,,1179,5.0
23,1282,5.0,1259,3.0,573,4.0,111,
42,1268,,937,4.0,588,5.0,908,4.0
127,1088,,1748,3.0,1333,5.0,876,5.0
15,528,3.0,466,,820,5.0,124,3.0
15,851,5.0,233,,1644,5.0,1437,5.0
128,1559,,1610,4.0,1259,5.0,894,5.0
51,598,5.0,1544,5.0,1050,,476,5.0
26,1429,5.0,1610,,1723,4.0,1181,3.0
15,914,4.0,805,1.0,1110,5.0,1610,
153,775,3.0,1450,,1724,4.0,414,2.0
181,68,2.0,294,2.0,1070,3.0,1567,
15,1328,5.0,1585,,802,5.0,485,5.0
113,820,4.0,996,4.0,21,,200,3.0
15,1186,5.0,419,3.0,1045,,958,5.0
208,819,,822,4.0,791,4.0,1676,2.0
119,1090,3.0,1079,5.0,121,4.0,478,
129,1250,,1746,3.0,824,5.0,1388,4.0
209,1136,3.0,657,4.0,900,2.0,331,
15,1136,5.0,338,,452,4.0,246,3.0
26,20,5.0,662,4.0,280,,1177,5.0
219,49,4.0,1638,4.0,1487,,1055,5.0
129,1681,5.0,145,3.0,1638,5.0,990,5.0
43,576,4.0,883,,807,5.0,505,3.0
15,258,5.0,194,5.0,1640,4.0,893,
51,501,3.0,107,4.0,572,3.0,749,
81,1586,5.0,1718,4.0,1164,5.0,1247,
129,386,5.0,1715,5.0,631,,1613,5.0
122,1072,3.0,50,4.0,1518,5.0,1631,
