item,user-1,rating-1,user-2,rating-2,user-3,rating-3,user-4,rating-4,user-5,rating-5,user-6,rating-6,user-7,rating-7,user-8,rating-8,user-9,rating-9,user-10,rating-10
183,705,,738,5.0,1698,5.0,723,4.0,55,,1001,4.0,281,5.0,858,,1755,,1612,4.0
222,530,3.0,1092,,868,2.0,1399,4.0,1257,4.0,123,4.0,747,,1243,,1358,4.0,1214,
149,707,4.0,1012,4.0,1254,3.0,647,4.0,408,,970,4.0,1692,,828,4.0,93,,1214,
54,1712,5.0,1410,,2,3.0,1364,3.0,1207,,647,4.0,1657,,889,4.0,905,3.0,1145,
208,1649,4.0,1377,4.0,946,,147,,1109,,325,3.0,150,,1240,3.0,107,3.0,1612,4.0
26,1200,,1408,4.0,64,4.0,535,4.0,1367,3.0,423,3.0,728,,538,4.0,909,,846,5.0
23,657,5.0,1560,,856,,281,4.0,233,1.0,282,,396,,1565,5.0,750,4.0,1694,4.0
44,17,5.0,1409,5.0,1057,,690,4.0,1523,,644,4.0,308,,58,5.0,525,4.0,845,5.0
16,1683,5.0,691,4.0,1043,,563,3.0,1012,4.0,763,,653,,717,,703,5.0,799,4.0
26,531,4.0,900,3.0,1014,4.0,184,4.0,1451,2.0,60,,1436,,444,5.0,1438,,591,4.0
197,1440,3.0,1123,,1235,5.0,1381,4.0,518,,8,4.0,840,3.0,1610,,940,,572,3.0
23,496,,1571,,709,,1334,4.0,1609,3.0,1098,3.0,779,5.0,219,5.0,1164,4.0,252,
54,880,,1267,,980,,148,,773,5.0,1334,4.0,1016,5.0,1688,1.0,969,5.0,1421,5.0
8,1072,5.0,1042,,1474,4.0,1011,5.0,1428,5.0,4,3.0,1081,3.0,107,,1198,,1471,
129,882,,995,5.0,1012,4.0,1639,,231,3.0,1691,,267,,220,5.0,734,5.0,159,5.0
81,496,,1728,,65,5.0,1650,5.0,290,5.0,1540,5.0,1365,,135,,1598,4.0,1646,5.0
11,1328,,1216,,1078,4.0,471,,921,5.0,1355,,1627,5.0,876,3.0,1676,1.0,1692,5.0
16,32,5.0,1730,,227,4.0,1459,,342,,1559,1.0,443,,795,4.0,1454,1.0,303,1.0
26,1042,,1428,5.0,292,,1463,5.0,24,,344,,1593,4.0,1356,4.0,1245,5.0,607,5.0
44,32,,1042,4.0,212,4.0,1125,,885,4.0,824,4.0,1292,,445,5.0,254,4.0,15,
61,1072,3.0,321,3.0,755,3.0,437,4.0,390,4.0,40,,1017,3.0,572,4.0,860,,591,4.0
129,16,3.0,1748,4.0,500,5.0,1044,5.0,1048,5.0,376,,1418,5.0,491,,751,,1007,5.0
25,865,5.0,1266,5.0,1378,5.0,1714,5.0,1250,4.0,54,,519,,411,3.0,253,,1166,
62,753,5.0,324,3.0,197,1.0,1094,,393,,1433,5.0,717,2.0,205,,957,,990,5.0
81,112,,501,,567,4.0,1561,5.0,570,5.0,1019,2.0,1741,,638,5.0,399,,271,3.0
15,418,5.0,322,5.0,1235,4.0,36,4.0,453,3.0,1175,2.0,507,4.0,171,,926,5.0,1119,5.0
129,1314,5.0,821,,757,,1270,3.0,182,,54,5.0,201,,1449,5.0,1530,5.0,1599,5.0
1,656,4.0,1104,,992,4.0,1378,4.0,626,4.0,500,5.0,823,,1677,,750,,479,4.0
43,162,4.0,1635,3.0,1507,,585,5.0,698,,1594,4.0,571,5.0,124,,60,5.0,1486,
113,385,,18,3.0,835,5.0,1013,5.0,1158,4.0,1527,,600,4.0,761,,1676,2.0,61,
43,1264,,1232,,465,3.0,37,,713,4.0,1017,5.0,1385,3.0,234,,1290,5.0,1565,5.0
16,0,5.0,417,2.0,706,4.0,146,3.0,1058,3.0,1702,,73,5.0,1533,,1614,,862,
11,1248,,1217,5.0,820,5.0,501,,329,4.0,1114,,1674,,684,4.0,1325,1.0,62,3.0
15,339,5.0,595,,1653,5.0,950,,822,,519,5.0,1034,3.0,27,,894,5.0,1615,4.0
129,1553,,1025,5.0,1475,5.0,1140,,1415,5.0,568,,664,5.0,1306,,1610,5.0,1403,4.0
119,1269,5.0,1639,5.0,88,5.0,537,4.0,1403,,795,4.0,1053,,301,,813,,1421,3.0
16,1460,4.0,1143,4.0,89,3.0,1579,,331,5.0,1547,3.0,1227,,1099,4.0,1407,,1439,
8,1105,,339,5.0,1028,5.0,228,4.0,1574,5.0,778,5.0,571,4.0,316,3.0,591,,303,4.0
8,768,,755,4.0,1588,5.0,182,4.0,1047,5.0,920,5.0,1337,,1081,3.0,1583,,687,5.0
127,1168,4.0,1506,,274,5.0,962,5.0,515,,387,,1110,4.0,1468,5.0,398,4.0,94,
15,1056,4.0,145,,241,4.0,485,5.0,694,,279,4.0,359,5.0,606,,671,,1743,5.0
1,624,4.0,1554,3.0,1619,5.0,118,,8,4.0,1592,,1225,3.0,186,3.0,1035,,1564,4.0
85,497,,1170,4.0,915,5.0,1334,4.0,568,2.0,779,,1387,,604,4.0,509,,1711,3.0
23,370,5.0,754,,1333,5.0,535,,1336,,681,5.0,939,4.0,1197,,765,5.0,959,5.0
1,1441,3.0,513,5.0,850,,1077,4.0,1495,,1561,4.0,620,,732,4.0,830,,1199,3.0
15,1728,5.0,688,5.0,962,5.0,468,5.0,1525,4.0,1542,3.0,1516,,332,3.0,1709,3.0,686,5.0
25,1250,4.0,1154,5.0,1586,3.0,979,,131,,276,3.0,1114,,683,,605,2.0,254,2.0
11,1314,5.0,1602,,306,3.0,1267,3.0,1158,4.0,315,5.0,911,3.0,1743,,127,,1423,2.0
11,1168,5.0,1559,4.0,313,,890,4.0,924,2.0,285,,590,,206,4.0,1470,5.0,1599,5.0
49,241,,260,,1669,5.0,1670,4.0,390,5.0,70,3.0,663,,1259,5.0,1453,,1182,3.0
16,16,5.0,1441,,932,5.0,564,4.0,1590,,711,5.0,840,4.0,1147,,1292,4.0,687,
8,417,,913,4.0,721,,947,5.0,1685,4.0,822,4.0,88,,378,5.0,860,4.0,142,
122,1394,,482,3.0,403,4.0,724,,6,2.0,1303,4.0,344,,169,,521,5.0,429,5.0
43,321,3.0,833,5.0,1618,,1699,,851,5.0,1397,5.0,918,5.0,1350,5.0,1481,,1449,
16,1617,,98,5.0,946,,52,3.0,452,3.0,837,5.0,1077,4.0,392,4.0,1469,,223,3.0
49,1522,,1414,4.0,695,,1047,4.0,537,5.0,1465,,922,5.0,1067,,1628,2.0,524,4.0
44,1441,3.0,129,4.0,19,,245,,1621,3.0,1081,,1082,4.0,621,4.0,286,3.0,287,
37,1136,5.0,436,5.0,294,4.0,167,4.0,344,,554,,1034,5.0,75,,235,,765,4.0
16,98,5.0,342,,1721,2.0,585,4.0,1577,5.0,1258,4.0,490,1.0,346,,1356,,990,
129,689,,451,2.0,1029,,85,4.0,791,,648,5.0,473,,1721,5.0,633,5.0,1020,5.0
43,1425,5.0,785,5.0,341,2.0,1542,,616,3.0,488,,1433,5.0,187,,332,4.0,189,
26,1601,4.0,1202,,482,,214,5.0,9,4.0,1241,5.0,379,4.0,973,5.0,815,5.0,655,
11,1170,,948,,996,4.0,536,,1004,,428,5.0,766,3.0,558,3.0,415,2.0,303,4.0
43,722,4.0,2,,435,,996,5.0,1385,3.0,1002,3.0,844,5.0,1533,5.0,1261,,189,
44,160,,1330,,916,3.0,1670,4.0,824,4.0,218,5.0,1386,,1578,,1374,4.0,639,5.0
129,1344,5.0,1330,,1301,5.0,905,,809,5.0,266,5.0,316,,654,4.0,238,,1054,5.0
16,352,4.0,880,,258,4.0,82,5.0,1204,,1272,,1132,5.0,845,4.0,271,4.0,399,4.0
26,817,,1730,5.0,1012,3.0,1381,5.0,1034,5.0,924,5.0,301,,1037,,1278,,990,4.0
16,434,5.0,724,5.0,1527,,423,2.0,1576,,153,,1162,3.0,1389,,1743,4.0,511,4.0
23,1552,1.0,308,5.0,1717,4.0,327,,1736,,537,4.0,1130,5.0,1083,,1180,4.0,1677,
26,1265,5.0,913,,370,5.0,1570,5.0,500,1.0,1017,4.0,1593,4.0,1468,,781,,687,
129,451,2.0,453,4.0,262,,697,4.0,954,5.0,636,5.0,1389,,413,,445,,1007,5.0
181,1536,2.0,19,,563,,852,,280,3.0,504,,1099,3.0,619,1.0,1086,4.0,1295,3.0
129,802,5.0,658,,1491,,1475,5.0,484,5.0,1078,5.0,199,5.0,711,4.0,1434,,1005,
15,1489,,883,5.0,483,4.0,404,5.0,261,,470,,1720,3.0,969,4.0,395,,1711,3.0
23,466,,1251,,214,4.0,998,5.0,1688,5.0,892,,1325,,927,5.0,175,5.0,1455,4.0
149,1554,4.0,1205,4.0,566,5.0,1224,5.0,1337,,411,5.0,1548,,221,5.0,478,,895,
8,593,,675,4.0,100,5.0,54,5.0,281,5.0,763,5.0,1084,4.0,1437,,1245,,141,
16,1024,3.0,1168,4.0,803,3.0,1224,4.0,1736,,1673,,1004,,1228,4.0,668,,799,4.0
8,545,,643,5.0,389,4.0,245,,1253,5.0,1430,4.0,283,5.0,811,5.0,1421,,989,
49,262,5.0,438,5.0,1623,5.0,1671,5.0,73,,75,,779,5.0,476,5.0,1006,5.0,1502,
16,1024,3.0,1696,4.0,226,,98,5.0,324,3.0,1303,3.0,1464,,1272,,171,3.0,283,4.0
81,1056,5.0,864,5.0,18,4.0,611,,1315,,1657,,1580,5.0,1405,5.0,1550,4.0,1278,5.0
23,353,,1042,4.0,549,4.0,438,5.0,1111,5.0,1224,,664,5.0,1480,4.0,253,,861,
49,864,4.0,963,,473,4.0,1513,4.0,1658,4.0,1338,4.0,923,,1515,,1293,,878,3.0
208,1011,,598,5.0,950,,1111,,761,5.0,298,4.0,862,4.0,270,5.0,79,,47,4.0
375,1313,3.0,1605,,281,5.0,1611,4.0,189,,78,3.0,1278,5.0,959,,95,,1327,4.0
81,929,5.0,1523,5.0,4,5.0,1188,5.0,741,,698,,1612,5.0,942,,1039,4.0,415,4.0
23,1616,4.0,1713,5.0,738,5.0,851,5.0,277,5.0,1383,,394,4.0,826,5.0,541,,1294,5.0
16,1377,4.0,1155,,1114,,138,4.0,1323,4.0,251,3.0,1115,,508,5.0,1071,2.0,815,3.0
44,1024,5.0,225,5.0,403,,1255,,1242,3.0,556,,1006,4.0,926,5.0,159,5.0,1375,3.0
16,449,4.0,148,,341,,1061,2.0,968,4.0,697,5.0,650,5.0,362,,795,4.0,411,
15,688,5.0,891,3.0,251,3.0,1036,5.0,1100,4.0,733,2.0,1069,5.0,110,,622,3.0,1391,5.0
42,1637,4.0,1509,,1606,4.0,1239,,520,3.0,1577,4.0,937,4.0,1129,,697,4.0,78,2.0
11,1297,4.0,580,,788,4.0,565,5.0,294,4.0,1161,,585,2.0,985,5.0,907,4.0,911,3.0
26,1745,,1074,3.0,114,4.0,1730,5.0,931,,1732,2.0,1337,5.0,1610,,283,,892,5.0
44,1745,,594,5.0,20,4.0,1096,4.0,1449,4.0,1099,3.0,1036,3.0,269,,1294,4.0,798,
23,897,5.0,1281,,1170,5.0,1362,5.0,323,,1267,5.0,596,,1685,5.0,1534,4.0,1311,
16,1552,4.0,1697,,1026,4.0,946,,1154,4.0,1186,4.0,664,,538,,890,4.0,1502,5.0
23,1728,5.0,1361,,1186,4.0,1203,4.0,419,4.0,83,,403,,916,,1588,3.0,405,3.0
23,1345,4.0,1009,,706,5.0,918,,1351,5.0,555,5.0,299,,76,4.0,924,5.0,30,
44,929,4.0,1154,3.0,1651,,1333,5.0,1271,,887,5.0,1260,4.0,765,5.0,462,5.0,79,
183,1504,5.0,977,5.0,1267,,1398,,1624,,585,3.0,379,,1020,4.0,1676,1.0,927,4.0
43,338,4.0,1076,4.0,1462,,1017,5.0,890,5.0,459,,1612,4.0,1724,5.0,1533,5.0,1165,
129,1282,5.0,786,5.0,358,,1478,,73,,618,5.0,970,5.0,955,,1630,4.0,303,5.0
76,1056,,1552,3.0,18,,370,,836,3.0,521,5.0,1530,5.0,782,3.0,1711,5.0,1583,
11,1713,5.0,1730,,1043,,1449,,762,5.0,730,,619,4.0,987,5.0,1164,4.0,639,5.0
23,912,3.0,1680,,866,5.0,22,4.0,1638,4.0,647,4.0,1066,,1452,,797,3.0,1135,
23,1616,4.0,1027,5.0,677,4.0,1109,,773,5.0,582,,12,5.0,142,5.0,1007,4.0,1055,
193,736,,1056,,448,,51,5.0,774,5.0,311,5.0,8,4.0,1018,4.0,1051,5.0,1247,
105,498,2.0,34,1.0,1286,,695,2.0,1399,3.0,1481,,1738,,1595,,285,1.0,414,4.0
85,1378,,1715,,339,1.0,1044,3.0,694,4.0,982,,23,,215,4.0,711,4.0,1082,4.0
16,1364,3.0,85,2.0,1575,,1095,,1751,2.0,1385,,1323,4.0,1021,3.0,190,5.0,15,
15,800,,1441,5.0,17,,82,4.0,1635,,997,,406,5.0,104,3.0,1674,3.0,285,4.0
11,1024,5.0,593,,690,4.0,1748,5.0,1353,5.0,57,,953,,378,3.0,778,5.0,76,3.0
49,113,,102,5.0,1670,4.0,919,4.0,983,4.0,1096,,1594,,476,5.0,1454,3.0,1231,
23,1424,4.0,227,3.0,1686,3.0,200,,968,5.0,424,,600,4.0,1290,,378,4.0,1167,
8,208,4.0,1745,4.0,1426,,834,4.0,1414,,1719,,1306,5.0,1307,5.0,475,4.0,941,
11,1745,3.0,357,3.0,1461,,533,5.0,328,,970,3.0,154,5.0,1259,5.0,1263,,1439,
16,128,2.0,961,3.0,68,5.0,180,,54,4.0,1062,,489,4.0,1529,5.0,729,4.0,1195,
49,1201,,1156,1.0,856,,617,4.0,842,4.0,1690,5.0,155,,1597,5.0,287,,767,5.0
129,193,,1395,,884,5.0,373,,486,5.0,1017,4.0,1611,5.0,604,5.0,156,,188,3.0
193,480,4.0,465,,1154,3.0,723,5.0,1716,,219,,1596,5.0,1662,3.0,1071,5.0,719,
225,688,,1009,,3,,947,4.0,486,5.0,166,4.0,936,4.0,1240,5.0,1529,,1387,3.0
105,1425,,1265,5.0,1106,5.0,612,,1653,4.0,246,1.0,166,4.0,1135,,1071,4.0,543,1.0
15,658,,3,5.0,726,3.0,823,,24,5.0,1673,5.0,1321,,314,5.0,1036,5.0,877,
183,1381,,1062,4.0,1417,5.0,1561,4.0,411,4.0,795,5.0,251,,476,,1116,,1679,4.0
61,209,3.0,758,4.0,1270,4.0,328,,984,,1434,,1210,3.0,747,4.0,1068,3.0,79,
49,1248,,640,4.0,17,,353,5.0,1044,,470,4.0,1334,5.0,776,,284,5.0,527,4.0
44,243,5.0,19,,1381,4.0,311,4.0,1447,,1143,,1241,3.0,1194,5.0,1453,5.0,1615,2.0
11,1651,4.0,611,2.0,1382,,150,3.0,519,4.0,873,,556,,460,5.0,1182,4.0,1263,
8,736,,1232,5.0,353,3.0,55,,459,5.0,1643,4.0,1116,,1102,4.0,1359,,15,2.0
64,1444,,1604,,954,3.0,475,2.0,716,3.0,956,3.0,750,4.0,1279,3.0,687,,479,1.0
62,1409,,1364,5.0,693,4.0,997,3.0,248,,1160,3.0,1595,4.0,491,5.0,652,,973,
23,996,5.0,1221,,213,,486,5.0,566,5.0,568,5.0,1417,5.0,379,,781,,895,5.0
8,784,,183,,1609,4.0,266,4.0,875,,733,,670,2.0,1150,4.0,1518,2.0,319,5.0
16,225,,434,5.0,435,5.0,1188,4.0,901,4.0,1672,,136,3.0,1002,,203,3.0,1340,
8,1280,5.0,1218,1.0,1044,4.0,100,5.0,438,3.0,838,,1401,,1129,4.0,1226,,1678,
149,1072,4.0,960,,1748,5.0,310,3.0,342,4.0,1415,4.0,1383,,1098,5.0,1611,3.0,590,
44,1235,5.0,228,3.0,1286,,1735,1.0,1432,,1611,4.0,1339,3.0,299,,1070,5.0,879,4.0
219,1696,5.0,1394,5.0,596,5.0,1733,4.0,693,,310,5.0,1036,,1628,,765,4.0,655,
15,228,4.0,100,4.0,1049,5.0,1547,4.0,1340,,813,4.0,13,3.0,959,5.0,911,,15,
44,1472,,273,3.0,835,3.0,276,4.0,198,4.0,694,4.0,697,4.0,1402,,1085,,1661,3.0
11,657,4.0,197,,585,2.0,137,,1098,4.0,506,5.0,1418,4.0,1739,4.0,1308,,1502,
15,1264,4.0,98,5.0,787,,1684,4.0,1191,,1335,,1513,4.0,1737,,1148,4.0,943,5.0
49,1184,5.0,1568,,2,3.0,500,3.0,1189,,1670,4.0,153,,602,4.0,379,,1228,4.0
81,1009,5.0,1299,,486,,1207,5.0,296,5.0,1034,,331,5.0,1515,,319,4.0,15,5.0
129,16,3.0,513,4.0,1526,,1623,4.0,392,5.0,328,,1018,5.0,876,4.0,189,,862,
109,1680,4.0,1554,4.0,482,,211,5.0,837,,1399,4.0,71,5.0,538,,1100,,332,4.0
15,256,,787,,1476,4.0,406,5.0,216,,168,5.0,125,3.0,1454,,558,5.0,1375,4.0
1,146,2.0,435,4.0,1075,5.0,900,2.0,1160,,971,,1707,,1052,4.0,1070,3.0,1311,
49,353,5.0,370,,1267,3.0,1603,5.0,1670,4.0,630,,936,5.0,873,4.0,1305,,15,
40,1329,4.0,787,,1379,4.0,1127,,1063,,186,3.0,187,4.0,251,4.0,492,2.0,1231,
44,304,,560,4.0,868,3.0,951,,119,,218,5.0,1547,2.0,812,2.0,686,4.0,1487,
8,401,3.0,1172,4.0,645,4.0,1542,3.0,999,4.0,1260,4.0,110,,782,,1598,,654,
127,848,,1221,,294,5.0,598,4.0,678,,630,,1463,4.0,907,4.0,571,4.0,462,3.0
44,610,2.0,498,4.0,642,5.0,1157,,328,,745,,1371,4.0,428,4.0,382,3.0,383,5.0
377,64,3.0,368,,738,5.0,468,5.0,1652,,343,,1321,,1389,2.0,798,2.0,175,4.0
15,688,5.0,705,,1314,3.0,291,,564,,20,5.0,1142,5.0,1752,5.0,121,5.0,26,
127,1248,,737,,1429,2.0,313,,795,5.0,1196,4.0,877,3.0,1006,5.0,1182,5.0,367,
193,800,,512,,1041,5.0,1170,,50,,1555,4.0,1685,5.0,1077,5.0,1659,3.0,1294,4.0
23,209,4.0,546,,690,4.0,1381,,1365,4.0,583,,1336,,1129,5.0,1643,4.0,1086,5.0
149,1474,,965,3.0,1432,,808,3.0,666,4.0,1610,3.0,462,4.0,1726,,1711,3.0,831,5.0
15,1424,4.0,928,,946,,675,5.0,788,4.0,630,,871,4.0,1005,4.0,622,3.0,559,
246,1008,,1523,4.0,1124,,310,4.0,567,4.0,600,,1355,3.0,1564,4.0,397,4.0,1615,
83,1441,4.0,866,2.0,1395,5.0,1670,3.0,567,4.0,1034,,1116,,476,,1661,3.0,799,
15,816,,337,4.0,1732,3.0,1399,3.0,1721,,27,,891,3.0,1628,,158,4.0,1647,4.0
16,1249,5.0,241,,866,3.0,722,4.0,691,4.0,150,4.0,679,,107,4.0,1724,,620,
8,1314,4.0,1060,5.0,596,4.0,199,5.0,1083,,1132,,396,,605,5.0,1374,,686,5.0
43,1235,5.0,339,5.0,803,5.0,388,,1412,,980,5.0,1573,4.0,439,,714,,1724,5.0
49,704,,468,,20,5.0,6,3.0,759,3.0,729,,666,4.0,940,5.0,1149,4.0,782,
49,1138,4.0,1522,,1604,4.0,453,3.0,1398,5.0,1399,5.0,1053,,1454,3.0,1327,4.0,399,
44,576,5.0,690,4.0,20,4.0,245,,614,,967,5.0,1415,2.0,1676,,1709,,1421,5.0
15,720,,1618,2.0,1251,5.0,307,1.0,183,4.0,1130,5.0,1739,,1276,5.0,477,,974,5.0
219,993,,1201,,947,5.0,52,4.0,183,4.0,154,1.0,858,5.0,715,,430,,462,4.0
246,128,1.0,176,4.0,994,,131,4.0,163,5.0,1207,,1480,3.0,793,,203,,1503,3.0
16,880,,1010,4.0,819,2.0,1156,3.0,276,4.0,999,2.0,665,,90,4.0,287,2.0,1599,2.0
40,528,4.0,50,5.0,852,,294,5.0,1623,5.0,472,5.0,249,,731,4.0,587,,1071,
81,1010,,516,2.0,1157,5.0,693,5.0,1606,5.0,120,,25,5.0,713,4.0,491,5.0,861,
61,419,4.0,979,,387,4.0,1541,4.0,1480,,472,4.0,1371,,555,4.0,924,4.0,941,4.0
62,992,5.0,289,,1426,4.0,515,,451,,227,4.0,20,5.0,294,3.0,1389,5.0,1391,5.0
11,1489,,194,5.0,982,5.0,935,5.0,856,5.0,1577,5.0,825,,729,3.0,1180,,702,
49,1024,5.0,1716,2.0,1140,,1061,2.0,1334,5.0,791,5.0,88,5.0,1561,5.0,414,5.0,1694,5.0
8,848,,97,4.0,146,5.0,84,,116,4.0,517,4.0,328,,313,5.0,1661,4.0,175,
15,689,5.0,1492,5.0,408,,1176,,1593,,1210,3.0,1627,3.0,364,4.0,1341,5.0,431,
208,133,4.0,1077,5.0,806,3.0,426,,1098,4.0,828,5.0,877,3.0,1294,5.0,1711,3.0,303,
44,802,,1107,5.0,533,,1606,5.0,854,2.0,231,4.0,248,,1001,3.0,1578,,815,4.0
44,785,3.0,98,,4,,502,4.0,634,4.0,1642,4.0,442,,1371,4.0,155,,990,3.0
16,480,4.0,1430,,1670,4.0,1046,,1270,3.0,1368,5.0,1273,,1465,,1597,3.0,607,1.0
43,657,,1523,4.0,693,,949,5.0,1223,3.0,1357,5.0,765,,1629,,1694,5.0,1055,4.0
85,976,5.0,466,,1090,4.0,307,1.0,293,3.0,598,,1145,,1721,4.0,1054,2.0,831,5.0
11,1072,4.0,1713,5.0,1377,3.0,913,3.0,1522,,100,4.0,1367,,445,5.0,1311,,1391,3.0
61,1505,4.0,486,2.0,72,3.0,1435,4.0,1323,,1052,3.0,156,,285,5.0,1342,,1487,
183,129,,711,4.0,1433,4.0,138,4.0,186,4.0,459,,572,5.0,829,4.0,1053,,47,
11,1041,3.0,1714,3.0,995,,1555,,260,,486,4.0,872,4.0,1513,5.0,811,4.0,1630,2.0
49,801,4.0,1,,404,5.0,1236,,1669,5.0,966,,1255,4.0,136,4.0,1577,5.0,1341,
43,1344,4.0,1425,5.0,1713,5.0,259,,371,5.0,1416,,649,,1658,5.0,700,,125,5.0
81,1424,5.0,992,4.0,770,,402,5.0,1170,5.0,882,,1173,5.0,741,,6,4.0,1305,
11,514,4.0,1636,4.0,1220,4.0,741,,22,5.0,1593,,1114,,1627,5.0,269,3.0,1326,
193,483,5.0,419,4.0,1397,3.0,1369,,1241,4.0,201,,397,5.0,702,,1679,3.0,1247,
49,1089,,374,5.0,1575,,263,4.0,776,,730,4.0,411,4.0,1644,5.0,1693,,1071,4.0
16,721,,1714,4.0,914,3.0,1091,,389,4.0,182,4.0,761,,445,3.0,526,4.0,814,
44,449,4.0,1174,,294,5.0,1673,3.0,1082,4.0,410,5.0,1533,4.0,862,,734,4.0,254,4.0
26,1264,4.0,306,4.0,1650,,724,5.0,118,4.0,1001,,555,2.0,1036,,686,4.0,591,4.0
16,673,,1266,5.0,581,,1014,5.0,806,1.0,967,5.0,456,3.0,1385,,542,3.0,447,5.0
11,1296,,400,2.0,1187,5.0,1124,4.0,1529,,571,5.0,1036,4.0,829,4.0,734,5.0,863,
81,898,,998,5.0,1528,3.0,1512,,57,,1034,,1277,5.0,286,4.0,799,5.0,1567,5.0
183,97,4.0,674,4.0,1234,,1475,4.0,1123,4.0,645,,519,3.0,935,,88,5.0,427,
51,144,5.0,1569,,147,,1731,5.0,356,,693,,87,5.0,425,4.0,1036,4.0,1119,5.0
15,34,2.0,1748,,1606,,1510,4.0,295,,279,4.0,1688,1.0,392,5.0,1562,,686,5.0
16,1456,,1205,4.0,710,4.0,1720,,936,5.0,218,2.0,1402,4.0,1437,5.0,1741,2.0,543,
49,240,5.0,897,4.0,1203,4.0,996,,1204,,490,,890,,1372,4.0,1583,5.0,159,5.0
11,1232,,962,4.0,291,,1684,5.0,1509,,375,4.0,1639,,249,4.0,445,5.0,1406,3.0
149,1184,,656,4.0,1329,4.0,227,4.0,968,4.0,218,3.0,92,,46,,319,4.0,1007,
85,163,5.0,948,,1269,,1206,2.0,1142,5.0,231,5.0,780,5.0,943,,927,4.0,959,
15,1153,5.0,545,,788,4.0,24,5.0,1225,5.0,522,5.0,1643,3.0,411,5.0,1503,,207,4.0
69,1488,,1410,1.0,1282,4.0,691,4.0,517,4.0,1542,,442,,1371,,508,5.0,1503,3.0
33,51,4.0,68,,806,2.0,1078,,262,4.0,1687,,1752,4.0,1132,4.0,831,3.0,639,3.0
