item,user-1,rating-1,user-2,rating-2,user-3,rating-3
246,883,,1523,4.0,101,2.0
110,853,2.0,488,,186,2.0
1,976,3.0,1541,4.0,1100,2.0
210,1008,,1026,5.0,1610,4.0
132,357,3.0,1558,,1259,2.0
183,1590,,1096,4.0,799,4.0
81,311,4.0,1497,4.0,1118,
51,1010,3.0,843,5.0,750,5.0
49,1320,3.0,1578,1.0,14,
135,1144,4.0,1580,,1356,2.0
171,1333,4.0,1093,4.0,1545,
354,1169,4.0,1265,3.0,520,
15,610,,132,5.0,101,4.0
107,1537,4.0,282,,1227,2.0
24,1,,602,1.0,1068,3.0
42,1652,,520,3.0,859,3.0
16,752,3.0,363,,1454,1.0
185,1225,3.0,1594,3.0,874,4.0
231,1396,5.0,709,5.0,415,
462,163,,1480,3.0,1561,4.0
190,904,4.0,1261,,286,4.0
293,1584,,1093,5.0,600,4.0
248,1125,5.0,1740,,717,3.0
127,583,3.0,713,4.0,1069,
134,405,5.0,565,,330,4.0
11,1489,,1381,4.0,101,5.0
273,16,4.0,1626,,1071,1.0
109,227,5.0,917,5.0,744,
103,1682,3.0,324,4.0,238,
23,1591,,249,4.0,411,5.0
59,1745,3.0,146,5.0,663,
49,819,,138,4.0,1228,4.0
321,1699,4.0,58,4.0,671,
358,420,5.0,629,,1102,4.0
222,640,,1379,4.0,107,5.0
92,546,,1588,4.0,776,2.0
411,203,,1598,3.0,1182,1.0
129,947,5.0,1414,5.0,955,
1,1401,,1450,2.0,607,4.0
199,500,5.0,811,,1116,3.0
129,1169,5.0,645,,1006,5.0
11,1168,5.0,467,4.0,613,5.0
228,164,,326,4.0,1351,5.0
11,1313,,1249,4.0,1591,3.0
276,1491,,926,4.0,1599,1.0
208,1684,,998,3.0,1694,5.0
334,1339,,125,3.0,607,5.0
210,66,,738,5.0,269,3.0
16,1314,3.0,1416,5.0,1484,4.0
281,1270,2.0,813,,1390,3.0
543,146,4.0,902,,473,4.0
248,834,5.0,1194,,1455,5.0
52,1329,3.0,274,,954,2.0
193,855,5.0,108,,877,3.0
219,1025,1.0,280,,1583,2.0
193,178,,276,5.0,1031,3.0
106,1314,1.0,979,,1480,3.0
85,34,3.0,495,,719,4.0
81,1669,5.0,533,,1663,4.0
15,1251,5.0,804,5.0,855,5.0
356,977,3.0,1035,,1611,4.0
379,420,5.0,101,3.0,393,
86,1301,4.0,1429,3.0,397,5.0
208,1368,4.0,1193,,859,5.0
109,1609,3.0,349,,575,4.0
225,131,4.0,1108,5.0,793,3.0
129,123,,556,5.0,191,4.0
37,101,4.0,806,3.0,873,4.0
223,519,4.0,455,4.0,734,4.0
275,456,,1228,3.0,365,3.0
26,1379,5.0,1466,3.0,1294,5.0
26,944,,981,3.0,761,4.0
0,1492,4.0,1639,5.0,31,4.0
199,1680,4.0,326,4.0,796,
598,729,,1294,5.0,1535,5.0
85,1697,5.0,633,3.0,1055,
180,576,3.0,759,3.0,1721,
40,1206,3.0,553,,1741,5.0
112,1093,4.0,378,4.0,332,
193,1159,2.0,967,4.0,301,
281,1651,4.0,500,3.0,1479,
124,177,5.0,1399,2.0,136,4.0
43,1658,5.0,1004,5.0,429,
336,1570,3.0,1174,5.0,1078,
76,2,5.0,1475,5.0,1517,
63,967,5.0,329,3.0,173,
83,322,5.0,374,,138,4.0
287,269,,525,5.0,494,4.0
183,276,5.0,519,3.0,715,
40,675,4.0,1475,,996,4.0
70,453,3.0,1318,,1479,5.0
266,666,,284,4.0,109,5.0
140,346,2.0,476,2.0,1549,
8,1504,4.0,583,,351,3.0
54,1490,2.0,213,,1675,4.0
105,935,4.0,311,5.0,1277,
349,708,,1605,1.0,1227,2.0
16,979,4.0,636,3.0,477,
281,562,,1591,3.0,761,2.0
129,576,5.0,1267,3.0,585,4.0
44,1603,4.0,1259,5.0,475,5.0
149,704,,647,4.0,1581,4.0
559,1392,,280,2.0,125,2.0
147,1177,4.0,1165,,1614,3.0
98,1296,2.0,657,4.0,1523,5.0
43,241,,826,4.0,188,5.0
86,962,4.0,696,4.0,1723,
218,945,,1001,3.0,602,1.0
253,963,4.0,1591,3.0,41,
185,677,4.0,391,,875,4.0
8,625,3.0,699,1.0,845,
129,913,5.0,1522,5.0,934,
127,849,4.0,1254,5.0,27,
61,1637,4.0,319,4.0,1055,
83,1460,3.0,982,4.0,1737,
0,1077,,141,3.0,686,3.0
43,1472,5.0,852,5.0,102,5.0
226,1136,5.0,1098,4.0,926,
22,822,4.0,392,1.0,1723,
63,357,4.0,1209,,461,4.0
105,36,,1276,3.0,815,3.0
354,227,3.0,1140,,473,5.0
129,1445,4.0,892,,1597,5.0
15,880,5.0,840,5.0,1215,
26,1046,,822,4.0,460,3.0
85,1335,2.0,183,,281,5.0
119,467,,1453,4.0,1470,4.0
61,1408,3.0,1363,3.0,1080,
124,1377,4.0,1228,3.0,1549,
161,817,2.0,706,,1158,4.0
83,195,,1078,1.0,444,4.0
44,1664,4.0,1141,,215,4.0
222,423,3.0,1276,4.0,1644,
377,483,3.0,5,,639,5.0
73,324,,1294,4.0,31,3.0
33,387,4.0,293,4.0,445,
1,867,3.0,410,,1101,2.0
109,996,4.0,7,,585,3.0
81,1314,4.0,25,5.0,315,5.0
81,852,,294,5.0,507,5.0
167,18,2.0,374,1.0,1343,
44,81,4.0,1608,4.0,1225,3.0
129,1155,3.0,1095,5.0,441,
119,80,,962,5.0,1241,5.0
16,724,5.0,357,3.0,1464,
109,64,4.0,1554,4.0,1221,
26,17,5.0,405,5.0,334,
277,544,,1753,2.0,383,3.0
8,353,3.0,186,4.0,621,
15,1251,5.0,394,4.0,29,4.0
774,1184,1.0,977,2.0,866,
219,912,4.0,84,,1006,5.0
19,357,3.0,1435,,1020,4.0
180,608,,1313,4.0,1196,3.0
280,1395,4.0,662,5.0,1596,
258,1178,,669,4.0,1374,3.0
8,96,,1314,4.0,277,5.0
270,1250,3.0,729,,974,5.0
238,417,4.0,1606,5.0,524,
439,822,5.0,493,,1711,4.0
234,984,5.0,1356,4.0,751,
62,1653,,681,5.0,924,3.0
535,1218,2.0,1090,,83,3.0
8,1186,3.0,472,,605,5.0
22,385,,1203,5.0,1158,4.0
15,656,5.0,947,3.0,1159,2.0
190,1032,4.0,858,4.0,443,
83,1314,4.0,372,,475,4.0
238,968,4.0,1706,,330,4.0
97,864,,1110,5.0,943,5.0
108,1472,,1576,3.0,268,5.0
119,1257,,681,4.0,63,5.0
108,688,,865,3.0,359,5.0
354,230,,1738,4.0,1742,5.0
190,198,3.0,7,,1295,4.0
45,1376,,1701,3.0,286,4.0
44,210,,1244,4.0,573,5.0
147,1472,,1203,1.0,1292,2.0
278,117,4.0,744,4.0,399,
33,417,2.0,356,4.0,1269,4.0
81,519,3.0,1644,4.0,829,
462,753,4.0,931,5.0,1356,
183,181,,1096,4.0,1102,3.0
49,738,5.0,235,4.0,1709,
12,1024,3.0,740,,874,5.0
109,240,,277,5.0,860,3.0
234,321,4.0,1126,,1132,5.0
73,258,,964,4.0,487,5.0
85,1222,3.0,75,5.0,1132,
49,1572,,1481,5.0,1277,3.0
85,1336,5.0,602,2.0,607,5.0
193,901,,856,5.0,922,4.0
83,1120,,357,3.0,599,4.0
183,1698,5.0,1611,4.0,556,
246,553,,603,5.0,959,3.0
40,1220,,1241,3.0,332,4.0
277,1344,4.0,732,2.0,767,
190,928,,1600,3.0,1377,4.0
314,1696,4.0,725,,1102,3.0
180,1248,,1350,4.0,319,3.0
277,1696,3.0,1603,5.0,111,
190,864,4.0,1669,5.0,511,
0,1044,,1005,3.0,1694,4.0
8,322,2.0,279,,926,5.0
225,66,,500,4.0,1607,5.0
92,883,3.0,1333,4.0,887,
314,34,3.0,828,5.0,333,
177,587,1.0,475,2.0,813,
26,17,5.0,397,4.0,1661,
1,293,4.0,90,5.0,1599,5.0
275,1025,4.0,166,4.0,54,3.0
223,457,,1100,4.0,78,3.0
0,1122,2.0,1461,,539,4.0
51,858,5.0,524,4.0,349,5.0
81,97,5.0,694,,1625,3.0
210,260,,1093,2.0,1239,5.0
169,887,5.0,1646,,1711,2.0
430,928,,1418,3.0,143,3.0
11,512,4.0,98,,851,4.0
62,657,5.0,1048,4.0,1164,
21,594,3.0,836,,166,4.0
93,402,,179,1.0,1577,4.0
270,353,,1058,4.0,731,3.0
23,736,5.0,936,5.0,600,4.0
129,1314,5.0,206,,415,5.0
51,1250,4.0,1637,5.0,713,4.0
0,1478,4.0,151,2.0,743,
352,740,5.0,1254,4.0,1598,
915,288,5.0,368,,740,4.0
221,82,4.0,1356,5.0,1469,
61,179,,1019,4.0,123,5.0
146,1557,4.0,726,,311,4.0
24,1544,4.0,585,2.0,1229,
33,883,2.0,692,1.0,1004,
132,1122,1.0,458,,364,4.0
113,417,3.0,1605,,311,5.0
197,256,,1589,3.0,1535,3.0
181,976,2.0,1250,3.0,210,
162,145,3.0,993,,615,3.0
15,1307,4.0,734,5.0,702,5.0
268,1250,3.0,1684,,1564,2.0
0,547,3.0,294,4.0,1535,
90,506,,1084,2.0,733,5.0
10,214,,840,4.0,478,4.0
218,1303,3.0,520,4.0,638,
393,1027,2.0,1284,,1000,1.0
208,1174,,906,4.0,1596,5.0
61,1377,4.0,183,3.0,525,
127,937,5.0,794,,925,5.0
11,186,5.0,762,5.0,46,4.0
61,1747,5.0,1651,4.0,969,
113,632,4.0,1753,5.0,509,
129,1174,,986,5.0,943,5.0
251,1745,4.0,965,4.0,935,
16,454,5.0,424,2.0,1082,
181,592,5.0,1409,,1381,3.0
183,598,,102,4.0,1580,2.0
96,834,3.0,54,3.0,1719,
43,689,,101,3.0,188,5.0
49,400,,1276,5.0,350,5.0
336,417,1.0,228,2.0,1687,
257,657,2.0,661,,1642,1.0
43,227,5.0,1191,,1210,3.0
10,1024,4.0,471,,479,3.0
42,1317,4.0,1414,,1367,3.0
297,772,3.0,1365,5.0,1095,
109,961,5.0,690,5.0,309,4.0
794,166,5.0,470,,842,3.0
62,0,,483,5.0,1341,4.0
44,627,4.0,1733,,1420,5.0
661,412,,1086,5.0,558,3.0
379,153,4.0,1387,,1310,3.0
163,820,3.0,166,5.0,1163,
181,1603,4.0,936,4.0,825,
15,1699,5.0,969,4.0,1657,
1,166,5.0,88,3.0,1006,3.0
287,613,1.0,489,5.0,1692,
11,1232,,212,4.0,92,3.0
113,1122,3.0,1476,3.0,1546,
68,1653,3.0,879,5.0,1503,3.0
266,1108,,71,5.0,1627,2.0
113,353,4.0,242,1.0,587,
1,1027,5.0,807,,783,4.0
113,690,3.0,1635,4.0,653,
43,1520,4.0,1747,5.0,1134,
377,1664,3.0,1410,,378,4.0
257,1205,3.0,759,4.0,236,
33,1522,,263,1.0,111,4.0
559,1408,,1673,3.0,447,4.0
113,803,2.0,1285,,325,4.0
110,971,5.0,1020,2.0,1214,
6,578,,713,4.0,607,5.0
238,372,5.0,1029,5.0,1035,
15,1317,5.0,278,4.0,415,3.0
480,756,,599,3.0,603,4.0
208,290,4.0,1031,,1209,5.0
266,1538,,483,4.0,284,4.0
83,341,3.0,744,4.0,1565,5.0
256,292,3.0,108,,397,4.0
208,560,4.0,483,3.0,1050,4.0
542,64,,1388,4.0,1486,4.0
457,992,,1603,5.0,1559,4.0
111,1091,5.0,423,3.0,28,
140,645,4.0,1004,1.0,47,
358,1638,3.0,296,,1503,3.0
0,961,4.0,726,3.0,1402,
8,913,4.0,1642,4.0,974,5.0
122,20,,1642,4.0,1019,2.0
44,1392,,234,4.0,126,4.0
355,390,3.0,167,4.0,173,
145,1745,4.0,1717,,198,3.0
81,338,4.0,595,,974,5.0
64,68,5.0,596,,489,1.0
26,664,,137,5.0,1070,5.0
49,922,5.0,1723,,559,5.0
49,1045,,295,4.0,1534,5.0
44,1476,,1451,1.0,1071,4.0
255,856,4.0,1579,,1213,4.0
1,1747,5.0,406,5.0,1526,
7,323,4.0,1381,5.0,136,
277,865,5.0,1059,,1098,4.0
82,1588,4.0,1723,1.0,830,
390,1203,3.0,410,3.0,556,
16,594,,122,3.0,461,4.0
33,389,,461,4.0,46,5.0
201,792,2.0,1182,3.0,734,
113,1539,3.0,651,3.0,399,
377,548,4.0,917,5.0,671,
42,752,,103,4.0,1246,4.0
257,1568,4.0,1106,,143,4.0
216,211,,1621,3.0,379,3.0
86,709,,840,2.0,1183,5.0
146,0,,292,3.0,1064,4.0
177,853,3.0,202,,1181,1.0
218,1013,3.0,1468,,1213,4.0
292,580,,1737,4.0,444,3.0
38,1300,4.0,1749,,986,4.0
54,1699,4.0,1128,5.0,430,4.0
21,594,3.0,1094,3.0,536,
0,455,4.0,446,,334,3.0
69,7,,1194,4.0,1707,4.0
113,1745,,229,3.0,950,3.0
43,67,4.0,1747,5.0,1350,5.0
219,1733,4.0,1241,,159,3.0
15,1411,3.0,805,1.0,782,
465,480,5.0,995,,316,4.0
471,1301,4.0,1222,,1052,4.0
278,1040,,1157,2.0,252,4.0
11,753,,1586,4.0,483,4.0
23,34,4.0,1075,5.0,340,4.0
255,1015,,1020,4.0,1645,4.0
114,1488,4.0,791,,444,3.0
731,837,2.0,1542,,1672,1.0
202,184,5.0,28,3.0,1071,
105,96,,1538,2.0,331,3.0
547,512,,1585,5.0,632,4.0
76,290,5.0,405,5.0,618,5.0
73,1699,2.0,666,,138,5.0
26,555,2.0,510,,239,4.0
23,1616,4.0,1257,,847,4.0
157,166,5.0,486,2.0,1719,
532,1270,4.0,182,,1711,4.0
205,1680,,1606,5.0,107,4.0
232,64,4.0,897,5.0,958,
61,1621,1.0,1702,3.0,1354,
117,4,3.0,332,4.0,1438,
149,774,,1176,4.0,781,4.0
54,97,5.0,633,4.0,377,
119,885,3.0,637,,1407,5.0
234,388,5.0,379,,891,5.0
106,1298,,1017,5.0,620,3.0
183,997,3.0,316,4.0,238,
149,1248,3.0,1330,4.0,998,4.0
63,953,,1068,4.0,894,3.0
27,1610,4.0,475,3.0,1470,4.0
0,293,2.0,119,,862,4.0
39,1441,4.0,722,2.0,109,5.0
7,1552,5.0,74,,637,5.0
81,615,4.0,1291,5.0,863,4.0
1,640,,1077,4.0,103,4.0
164,434,4.0,1609,3.0,541,
145,1531,4.0,1629,5.0,1102,
11,144,5.0,151,,1005,4.0
40,18,5.0,488,5.0,1421,4.0
102,484,,311,4.0,683,5.0
44,109,4.0,557,,175,4.0
26,6,4.0,1564,3.0,173,
36,1283,,1428,4.0,932,4.0
161,1042,,924,2.0,1182,3.0
230,244,2.0,612,,844,4.0
44,1047,5.0,903,5.0,1693,
193,1696,4.0,807,,697,3.0
481,34,1.0,1030,,251,2.0
180,1522,,532,5.0,1052,4.0
19,976,2.0,936,,846,4.0
49,417,3.0,1243,3.0,654,
119,612,,1588,4.0,409,4.0
210,504,4.0,1228,,1565,5.0
258,473,4.0,378,2.0,412,
81,258,5.0,812,,750,5.0
49,673,3.0,587,,1565,4.0
444,1463,,1417,5.0,574,4.0
127,1170,4.0,164,,1565,5.0
4,353,,1297,4.0,1684,4.0
16,1541,3.0,1173,,1479,3.0
16,227,4.0,1718,,1021,3.0
119,211,4.0,9,4.0,875,4.0
183,592,,988,5.0,943,5.0
8,276,5.0,997,5.0,63,2.0
110,228,1.0,1638,3.0,1353,
392,1222,3.0,632,5.0,476,
113,619,5.0,974,3.0,1438,
11,656,,1079,4.0,1615,5.0
87,1093,2.0,794,3.0,1422,
248,512,4.0,438,,461,4.0
185,194,,1259,5.0,1551,2.0
105,1720,,1145,1.0,281,4.0
274,532,4.0,1590,,520,3.0
127,976,5.0,327,4.0,1752,
54,64,3.0,321,4.0,1103,4.0
11,755,,903,5.0,183,5.0
69,1240,,1611,4.0,1180,3.0
108,195,,124,4.0,1277,5.0
129,624,4.0,826,5.0,1709,5.0
68,977,4.0,261,4.0,1590,
32,1200,5.0,369,,790,4.0
223,1606,5.0,1390,,639,3.0
31,38,5.0,521,3.0,795,3.0
44,561,5.0,1666,,1246,4.0
1,1122,2.0,626,4.0,295,
274,824,2.0,636,,78,4.0
379,480,,420,5.0,316,5.0
96,675,,1606,3.0,1564,3.0
26,1456,4.0,802,,115,5.0
333,865,4.0,378,4.0,941,
16,1603,5.0,1577,5.0,972,5.0
174,1383,,1098,4.0,1070,4.0
76,1203,5.0,1259,4.0,141,
81,1203,4.0,261,,1662,5.0
157,1537,4.0,397,5.0,1166,
208,1307,4.0,943,4.0,335,
209,419,,771,3.0,1077,4.0
183,1047,4.0,889,5.0,1066,
76,1377,4.0,1220,,555,1.0
26,1701,3.0,679,,874,3.0
275,52,4.0,311,3.0,954,
85,451,3.0,1686,1.0,441,
171,1041,3.0,277,3.0,908,
516,357,3.0,1196,3.0,190,
203,146,1.0,615,4.0,855,
11,401,4.0,391,5.0,1051,4.0
127,1155,3.0,540,4.0,1532,
166,97,5.0,1193,4.0,1499,
161,1013,4.0,1465,,701,3.0
430,897,3.0,866,,489,3.0
62,209,3.0,901,4.0,527,
532,146,3.0,262,5.0,1608,3.0
27,1252,3.0,1079,,762,4.0
274,209,,244,1.0,1237,5.0
169,1635,4.0,1364,5.0,1643,
180,1560,,937,4.0,829,5.0
44,1685,5.0,1593,3.0,1372,
44,180,,1719,3.0,1599,4.0
277,1745,,433,1.0,1093,4.0
11,1384,,489,3.0,571,5.0
358,1557,,1065,4.0,74,4.0
106,323,3.0,985,3.0,639,
113,228,2.0,200,3.0,1754,
193,144,4.0,1619,3.0,1304,
108,818,,1027,4.0,1131,5.0
54,1616,,357,5.0,1565,4.0
40,19,4.0,183,4.0,327,
201,865,5.0,1220,,892,3.0
474,1654,3.0,74,3.0,1119,
8,935,5.0,1128,5.0,1451,
8,1254,5.0,1176,5.0,554,5.0
129,314,5.0,891,,799,5.0
174,1616,4.0,1162,5.0,895,
51,289,5.0,775,,1006,5.0
72,1509,,249,4.0,781,4.0
314,644,4.0,212,4.0,552,
15,1072,4.0,1425,4.0,1032,
86,149,,822,3.0,1031,4.0
96,721,3.0,1241,4.0,1130,
0,566,4.0,956,,670,3.0
210,1344,4.0,1297,,664,3.0
81,1106,,314,5.0,605,4.0
146,1281,,292,3.0,1398,3.0
10,978,2.0,115,4.0,916,
23,132,5.0,1257,,1036,3.0
15,1237,5.0,1110,5.0,1671,5.0
23,1136,5.0,529,5.0,159,
83,1702,4.0,699,,1518,5.0
149,698,,1258,4.0,923,3.0
149,452,4.0,1750,,1606,5.0
33,642,,571,4.0,636,5.0
61,881,,955,5.0,558,5.0
210,177,4.0,99,,471,3.0
274,1074,,697,4.0,125,3.0
215,51,3.0,1254,4.0,279,
7,1427,,1221,4.0,1278,5.0
207,1184,4.0,1651,3.0,1215,
185,787,,124,3.0,686,4.0
127,1344,3.0,34,5.0,1333,5.0
32,1014,3.0,682,5.0,1067,
278,694,,1334,3.0,254,2.0
43,816,5.0,1735,3.0,1464,
35,1303,4.0,136,,1259,5.0
15,1220,,998,4.0,766,5.0
228,1704,,873,5.0,795,5.0
183,1093,4.0,761,,922,4.0
222,1044,,229,4.0,841,1.0
105,97,1.0,1041,4.0,805,
278,1543,3.0,25,4.0,905,
687,1637,,1334,4.0,726,4.0
0,1184,2.0,564,4.0,827,
390,243,,598,3.0,845,4.0
38,704,,1425,5.0,1052,5.0
44,357,,316,4.0,1086,5.0
23,370,5.0,12,5.0,526,
1,176,4.0,1096,5.0,1514,
69,931,,983,5.0,104,4.0
26,49,5.0,1666,,1284,4.0
49,1569,,1070,5.0,974,5.0
93,643,,967,4.0,922,5.0
37,277,4.0,60,,1694,4.0
23,228,3.0,823,3.0,891,5.0
51,294,5.0,1036,4.0,415,5.0
214,1090,4.0,586,,748,4.0
197,688,,1476,4.0,1611,2.0
422,1142,4.0,1559,2.0,1599,
232,54,4.0,186,3.0,543,
234,130,4.0,1343,,623,5.0
466,999,1.0,1720,,1017,3.0
16,599,3.0,1338,3.0,378,3.0
307,1235,4.0,667,,924,2.0
16,199,,1303,3.0,604,3.0
70,724,3.0,1080,,537,4.0
54,576,4.0,915,5.0,811,5.0
146,337,3.0,420,,1333,4.0
11,1638,4.0,950,4.0,600,4.0
68,1635,4.0,69,,1019,3.0
62,263,2.0,953,3.0,537,
16,4,4.0,1463,,315,4.0
8,819,,9,4.0,1565,4.0
16,753,,427,5.0,283,4.0
33,567,,397,5.0,1694,4.0
381,648,,521,5.0,1642,4.0
375,125,1.0,30,5.0,1471,
762,1041,1.0,658,,1071,1.0
69,357,4.0,378,2.0,1164,
152,598,5.0,1326,2.0,494,
190,755,4.0,947,3.0,937,3.0
145,228,4.0,1333,4.0,7,
401,1203,4.0,1613,,815,3.0
170,405,4.0,1529,,106,2.0
213,1313,,1083,5.0,125,3.0
61,273,,310,5.0,797,3.0
35,321,4.0,884,,167,4.0
711,692,,1158,3.0,202,2.0
19,1105,2.0,1205,4.0,934,
149,177,,218,3.0,1374,2.0
