item,user-1,rating-1,user-2,rating-2,user-3,rating-3,user-4,rating-4,user-5,rating-5,user-6,rating-6,user-7,rating-7,user-8,rating-8
1,55,,711,5.0,281,4.0,1033,,954,4.0,827,,188,3.0,511,5.0
11,51,,228,3.0,136,4.0,824,2.0,1754,,364,5.0,62,3.0,511,5.0
149,704,,1747,5.0,1348,4.0,276,4.0,949,4.0,889,,158,,1102,3.0
44,1,3.0,97,4.0,785,3.0,66,,691,3.0,484,5.0,693,,237,4.0
15,401,,531,3.0,1078,,840,5.0,572,3.0,924,5.0,1469,,1694,4.0
49,369,3.0,945,,321,4.0,930,,515,5.0,52,5.0,904,,159,5.0
8,1664,3.0,754,,1685,4.0,695,,745,4.0,443,4.0,29,5.0,831,5.0
8,290,5.0,643,5.0,696,5.0,1688,,1065,5.0,1338,4.0,1006,5.0,751,
16,834,5.0,1603,5.0,614,,1047,4.0,1721,2.0,108,,303,1.0,1343,
23,657,5.0,451,4.0,54,,215,4.0,600,4.0,907,3.0,894,4.0,1119,
52,1345,3.0,1433,3.0,459,2.0,107,5.0,1227,,461,2.0,143,,1455,
23,592,,1090,,1444,,279,5.0,519,5.0,1388,5.0,525,5.0,126,5.0
8,1105,,1010,,1122,3.0,1155,4.0,1237,5.0,1062,5.0,810,,571,4.0
83,1346,,1400,4.0,729,,1610,4.0,795,4.0,1228,,1644,4.0,1599,3.0
23,48,,977,5.0,1318,4.0,1018,4.0,1261,,1485,,1086,5.0,207,5.0
149,80,5.0,1041,3.0,833,,1571,,1048,4.0,1193,4.0,666,4.0,1389,3.0
8,497,4.0,259,5.0,708,,324,4.0,215,4.0,648,,1545,,1006,5.0
26,513,3.0,321,3.0,1235,3.0,1111,4.0,601,,1500,5.0,748,4.0,127,
149,1651,5.0,342,4.0,1415,4.0,281,3.0,426,,1339,,1052,4.0,685,
62,1201,5.0,1058,4.0,1298,,35,,1477,,197,1.0,285,4.0,1006,5.0
129,1168,5.0,692,5.0,1206,,1723,,1709,5.0,334,5.0,1470,4.0,1582,
16,434,5.0,708,2.0,820,5.0,1653,3.0,1702,,1752,,523,3.0,668,
1,1009,,853,5.0,362,3.0,636,3.0,221,4.0,1069,,143,4.0,991,
113,1282,4.0,482,,1746,,19,,1688,4.0,1278,3.0,1615,3.0,639,5.0
8,208,4.0,275,,1027,5.0,917,,21,,392,4.0,1643,4.0,303,4.0
11,512,4.0,1553,,1381,4.0,1609,5.0,332,3.0,1660,,143,5.0,431,4.0
23,310,5.0,822,4.0,954,3.0,1195,,763,4.0,1741,,862,4.0,1150,
23,592,,1712,5.0,322,4.0,547,5.0,202,,507,5.0,1020,5.0,1181,2.0
23,928,,752,,1186,4.0,675,4.0,277,5.0,1643,4.0,1036,3.0,1055,
76,52,4.0,937,3.0,1177,,26,4.0,284,,348,3.0,142,,991,4.0
23,657,5.0,898,,1016,5.0,1498,4.0,602,4.0,11,3.0,1662,4.0,1262,
43,305,3.0,465,3.0,979,,1524,4.0,1593,5.0,715,1.0,1004,5.0,1342,
54,1696,5.0,1635,3.0,87,5.0,551,4.0,919,,377,,92,,31,5.0
1,450,,451,4.0,245,3.0,661,,329,2.0,924,3.0,44,,1454,1.0
26,900,3.0,197,4.0,629,,1270,5.0,1463,5.0,503,,1609,3.0,254,4.0
193,832,4.0,1344,4.0,980,,997,4.0,1173,,1020,3.0,877,3.0,1167,
40,707,4.0,1604,5.0,260,,1045,,152,5.0,1194,3.0,1434,4.0,191,5.0
44,352,5.0,1232,4.0,1184,,1491,4.0,227,5.0,137,3.0,748,4.0,1037,
49,33,,258,4.0,438,5.0,1641,,138,4.0,490,,365,4.0,175,5.0
377,178,,147,,1027,5.0,790,,1193,4.0,1497,4.0,62,3.0,1054,2.0
43,1536,5.0,561,3.0,49,5.0,755,4.0,1301,,295,,1625,,140,4.0
44,225,5.0,833,4.0,1107,5.0,1060,,789,4.0,539,,1117,3.0,543,
85,1184,3.0,243,5.0,455,3.0,1736,,969,5.0,1468,,925,,717,5.0
40,514,5.0,1381,,198,,518,5.0,218,4.0,987,5.0,427,,591,4.0
23,1408,,353,,690,4.0,498,4.0,728,,1417,5.0,1036,3.0,734,4.0
197,864,4.0,371,,276,,1476,4.0,967,5.0,444,,623,5.0,783,4.0
40,1520,,531,3.0,1699,3.0,22,5.0,1447,4.0,184,,489,,922,4.0
375,1490,,468,4.0,1028,4.0,1157,4.0,710,,1225,,922,3.0,1307,3.0
43,1649,5.0,305,3.0,181,,1637,5.0,472,,492,,444,4.0,972,5.0
354,549,,1544,3.0,1354,,411,5.0,988,5.0,1132,5.0,1470,5.0,879,
15,1488,4.0,1265,,631,3.0,1400,5.0,1385,,1754,,1354,4.0,479,5.0
16,1552,4.0,37,5.0,1032,3.0,616,4.0,1385,,346,,1437,5.0,429,5.0
129,1410,4.0,1715,5.0,694,,744,5.0,826,5.0,1610,5.0,1755,,1327,
193,816,,146,4.0,1060,5.0,1396,,311,5.0,360,5.0,1528,3.0,319,5.0
23,1601,5.0,273,5.0,1749,,197,2.0,554,5.0,683,,814,,623,5.0
8,625,3.0,434,5.0,453,5.0,342,,1591,3.0,1627,4.0,765,,797,
23,322,4.0,258,1.0,675,4.0,1396,,996,5.0,38,,1719,5.0,1391,
11,1072,4.0,880,5.0,405,5.0,550,2.0,375,4.0,1656,,794,,1643,
26,224,,1057,4.0,723,,182,4.0,618,2.0,1739,,1102,5.0,1583,5.0
16,1472,4.0,1106,,405,4.0,694,4.0,886,3.0,585,4.0,1609,5.0,1035,
8,1698,5.0,1204,,246,,663,,297,5.0,650,5.0,316,3.0,1630,3.0
8,864,4.0,339,5.0,758,4.0,278,,519,,1339,4.0,350,,239,5.0
42,52,5.0,1108,,1220,4.0,1303,4.0,842,3.0,1643,4.0,349,,319,1.0
246,1732,5.0,1479,5.0,999,2.0,650,,843,5.0,1500,,1260,,845,4.0
40,784,,353,5.0,580,4.0,278,,680,3.0,1064,4.0,1515,,543,4.0
16,1634,4.0,403,,602,2.0,1562,,1035,,188,5.0,877,3.0,1518,2.0
16,464,3.0,530,4.0,884,,868,5.0,613,5.0,166,4.0,1128,4.0,253,4.0
81,1056,5.0,675,,312,,40,,72,4.0,1720,4.0,1625,3.0,603,4.0
49,18,4.0,1669,5.0,773,,839,5.0,937,5.0,570,,1404,,397,5.0
208,417,5.0,1412,,69,,744,5.0,315,5.0,332,4.0,878,,1599,5.0
85,1138,,1044,3.0,1093,4.0,472,3.0,762,,1242,2.0,1450,4.0,607,5.0
129,417,,919,,1095,5.0,1240,5.0,1273,,1241,5.0,266,5.0,1419,5.0
128,1682,5.0,1699,5.0,1507,5.0,661,,758,4.0,1351,5.0,1288,,1513,5.0
11,101,5.0,470,3.0,1510,,1306,3.0,1419,,364,5.0,1245,,446,5.0
16,641,4.0,865,5.0,515,4.0,676,,293,4.0,1015,,748,,476,4.0
119,1664,4.0,1189,4.0,679,,648,4.0,952,,905,4.0,1673,,717,5.0
40,1360,4.0,469,,598,5.0,454,3.0,168,4.0,12,,1404,,477,4.0
113,850,,1204,,148,4.0,965,3.0,1029,5.0,325,4.0,411,4.0,1628,
26,1313,,466,,82,,228,3.0,294,5.0,123,5.0,285,4.0,159,5.0
1,1698,4.0,1315,,195,5.0,324,,1479,2.0,377,,1658,3.0,207,3.0
36,453,3.0,54,4.0,631,,1031,4.0,264,,1694,4.0,1183,5.0,847,
44,1456,,467,,1750,3.0,102,5.0,167,5.0,1241,3.0,1514,3.0,1452,
44,545,,1521,,1282,5.0,1620,,1701,5.0,1158,4.0,158,4.0,1055,5.0
129,402,3.0,806,5.0,583,5.0,327,,1514,,1307,5.0,717,5.0,991,
129,1184,,36,5.0,228,,1686,3.0,1224,5.0,955,,973,5.0,606,5.0
23,1685,5.0,1301,5.0,1145,,985,5.0,1226,3.0,75,,830,,943,5.0
8,115,5.0,820,5.0,1094,3.0,150,4.0,1671,4.0,824,4.0,333,,766,4.0
113,689,,614,4.0,1144,4.0,1625,,713,4.0,1310,4.0,846,,943,4.0
49,1603,5.0,131,,133,5.0,549,4.0,1415,,1563,5.0,653,4.0,1487,
129,1488,5.0,178,,390,5.0,346,,1084,5.0,349,5.0,847,,159,5.0
23,497,,1601,5.0,849,3.0,338,4.0,1158,,1688,5.0,1723,5.0,12,5.0
43,912,5.0,738,5.0,964,5.0,181,,377,5.0,1434,4.0,1067,,414,
44,880,,1554,4.0,613,4.0,293,,1670,4.0,1750,3.0,1274,,286,3.0
23,576,4.0,321,4.0,834,3.0,1253,2.0,1641,4.0,1049,5.0,137,,1515,5.0
23,114,4.0,997,5.0,664,5.0,56,,1481,,697,4.0,75,,878,4.0
23,1073,5.0,1058,5.0,178,4.0,1362,5.0,1268,4.0,629,,1670,3.0,728,
37,722,3.0,819,,1507,5.0,1192,,1356,3.0,1309,,1565,5.0,79,3.0
129,161,,1010,5.0,338,,914,3.0,786,5.0,405,5.0,837,,1674,5.0
11,912,3.0,1392,,54,3.0,775,,55,,792,4.0,445,5.0,1102,3.0
44,1425,5.0,802,,278,3.0,679,2.0,1704,,1466,3.0,507,,623,5.0
222,594,,707,3.0,1316,,68,,69,3.0,999,4.0,475,3.0,1757,4.0
16,1506,4.0,1013,3.0,1254,3.0,521,4.0,203,3.0,1403,3.0,1244,1.0,397,5.0
69,625,1.0,1507,,1364,4.0,725,,135,3.0,697,4.0,1533,4.0,430,
113,1313,4.0,211,5.0,902,,56,,1497,,378,5.0,1020,3.0,1564,4.0
51,864,5.0,977,5.0,20,5.0,918,4.0,748,,492,5.0,92,5.0,828,4.0
26,19,,484,3.0,1463,5.0,1289,,922,4.0,362,4.0,1564,3.0,750,
16,1025,4.0,819,2.0,1475,,613,5.0,454,5.0,232,,1420,4.0,813,4.0
49,1234,,1523,4.0,1220,2.0,1558,4.0,502,2.0,536,,1581,3.0,30,5.0
44,768,3.0,17,5.0,597,,1734,4.0,855,,1067,5.0,443,,1070,5.0
8,177,,1234,,1333,5.0,280,5.0,1752,5.0,652,,78,4.0,1662,4.0
49,1698,4.0,39,5.0,1448,5.0,1225,4.0,330,5.0,187,,46,,335,
51,758,5.0,998,,54,,87,5.0,1095,5.0,648,5.0,136,4.0,1066,3.0
43,18,3.0,643,4.0,1397,5.0,267,5.0,1707,,700,,1055,4.0,607,4.0
33,912,,2,3.0,1507,,455,4.0,967,4.0,1272,3.0,744,,780,4.0
11,1187,5.0,83,3.0,131,,900,3.0,756,5.0,1225,3.0,782,,1615,5.0
377,177,3.0,1057,4.0,131,,1108,,245,4.0,1013,4.0,334,4.0,847,
11,321,4.0,1588,4.0,1606,5.0,1751,4.0,106,5.0,1387,,1708,4.0,447,5.0
23,1712,5.0,1236,,932,5.0,837,4.0,24,,300,5.0,895,5.0,1359,
8,674,,1715,2.0,724,5.0,148,,1606,5.0,679,3.0,56,,1561,5.0
54,1632,,480,,97,5.0,740,3.0,1654,4.0,232,,1273,5.0,1421,5.0
209,1696,,912,2.0,1377,4.0,1409,,1745,3.0,597,3.0,1146,4.0,589,4.0
11,401,4.0,1538,,1206,1.0,1450,4.0,60,,572,5.0,1356,,415,2.0
40,209,3.0,99,3.0,1651,5.0,1749,,853,,757,5.0,1670,4.0,265,4.0
51,1441,5.0,722,4.0,936,5.0,1514,,1612,,1085,,750,5.0,1294,5.0
16,1713,3.0,83,3.0,502,4.0,1369,,329,2.0,666,4.0,189,,366,
81,274,,1636,,485,5.0,853,5.0,454,5.0,1129,,1067,5.0,1182,5.0
23,32,,851,5.0,1205,5.0,711,5.0,312,,185,3.0,1177,5.0,845,5.0
1,1392,,832,3.0,1377,4.0,1459,,166,5.0,826,5.0,1231,,1679,4.0
81,544,5.0,384,,65,5.0,372,,965,3.0,1033,4.0,27,4.0,862,5.0
36,530,3.0,51,4.0,60,,780,,1389,3.0,639,5.0,1263,,1391,4.0
238,657,4.0,36,,39,,1689,4.0,1705,,316,3.0,79,3.0,1615,4.0
11,626,3.0,1717,4.0,246,5.0,888,4.0,827,,363,,1518,3.0,895,
8,48,,130,,1732,2.0,854,,504,3.0,299,3.0,1739,5.0,734,4.0
49,0,,1072,5.0,1217,,515,5.0,1701,5.0,1032,5.0,1021,,1455,4.0
149,1584,,562,,1122,3.0,613,5.0,325,4.0,790,,843,5.0,1021,5.0
54,560,3.0,336,,1441,4.0,1219,,419,4.0,294,5.0,1626,5.0,1612,
23,322,4.0,1651,5.0,1654,5.0,6,4.0,1416,,1720,3.0,446,,863,5.0
23,1699,4.0,484,5.0,1238,4.0,986,2.0,1066,,1659,,1084,4.0,638,5.0
222,1584,,625,4.0,1665,,577,1.0,1171,4.0,487,,605,4.0,1358,4.0
11,901,4.0,661,,249,4.0,410,5.0,1034,3.0,924,2.0,1661,4.0,655,
44,1553,,785,3.0,913,3.0,1058,4.0,153,4.0,186,4.0,989,,943,5.0
51,1058,5.0,1747,4.0,1252,5.0,744,,760,,507,5.0,1452,,1358,4.0
23,1376,,1600,4.0,1568,,257,,932,5.0,1542,4.0,986,2.0,604,4.0
51,1377,5.0,1746,,453,4.0,663,,1644,5.0,573,5.0,877,5.0,1087,
15,802,5.0,162,5.0,770,4.0,1044,4.0,1753,,1084,3.0,860,5.0,398,5.0
16,1472,4.0,32,5.0,625,,530,4.0,691,4.0,917,,792,4.0,859,5.0
15,228,4.0,1114,2.0,1147,5.0,236,,686,5.0,959,5.0,335,,559,
8,1474,4.0,1399,4.0,1576,,1752,5.0,217,5.0,826,,270,3.0,1615,5.0
16,1251,4.0,436,3.0,1349,3.0,888,3.0,1272,,297,,622,3.0,959,
83,1296,,647,,1210,5.0,1052,4.0,1741,,1598,3.0,815,3.0,415,4.0
44,513,5.0,1217,3.0,1698,3.0,1682,4.0,1219,,937,4.0,1609,5.0,715,
129,292,,1078,5.0,1610,5.0,235,,188,3.0,908,5.0,669,3.0,1293,
11,1366,4.0,791,5.0,664,4.0,1337,,426,5.0,1244,,717,5.0,590,
145,1024,3.0,1632,,97,4.0,936,4.0,683,,460,4.0,1436,3.0,398,
180,372,3.0,230,,1606,4.0,1239,5.0,762,,1306,,1258,3.0,686,3.0
1,560,4.0,112,,833,4.0,1411,3.0,887,4.0,120,,555,1.0,126,
49,913,4.0,1746,4.0,117,,1350,,1270,4.0,439,,1581,3.0,1565,4.0
8,256,5.0,563,5.0,500,5.0,1588,5.0,1350,,870,5.0,1238,,1114,2.0
49,1137,,1506,4.0,1110,5.0,1542,4.0,1305,,937,5.0,523,,1534,5.0
8,961,5.0,1463,,1032,4.0,9,4.0,396,,140,4.0,748,,1694,5.0
109,278,,377,5.0,666,,795,4.0,1611,5.0,1020,4.0,190,,1455,5.0
81,416,5.0,193,4.0,162,,83,,741,,437,5.0,968,4.0,765,5.0
23,257,,259,5.0,83,,1287,5.0,1080,,1177,5.0,1356,3.0,29,4.0
8,981,,277,5.0,517,4.0,1096,,1433,3.0,105,5.0,1150,4.0,94,4.0
44,1680,2.0,1748,5.0,469,,1734,4.0,934,,1466,3.0,909,5.0,110,
44,1557,5.0,53,,854,2.0,759,3.0,1338,,923,,877,5.0,783,4.0
183,1121,3.0,290,4.0,598,,471,,1399,4.0,664,4.0,1309,4.0,1102,3.0
81,1729,,1377,4.0,1748,5.0,1430,,841,5.0,475,5.0,76,5.0,1068,2.0
43,96,,1169,5.0,322,5.0,901,,341,2.0,1558,4.0,102,5.0,685,
183,1619,5.0,20,5.0,1686,4.0,1545,,763,,731,4.0,1420,,351,5.0
16,498,3.0,54,4.0,1287,,1706,,250,,811,2.0,684,5.0,1644,5.0
208,980,,1525,,1353,4.0,1241,5.0,906,4.0,1674,4.0,1437,,1199,5.0
16,1216,,677,4.0,613,5.0,937,4.0,1210,3.0,1754,,1691,4.0,812,
129,1200,5.0,320,,1616,,1714,4.0,360,5.0,856,,681,4.0,109,5.0
15,432,4.0,609,,788,4.0,1048,4.0,250,,1306,5.0,1503,,1743,5.0
16,1603,5.0,1171,,1060,5.0,1558,,806,1.0,1654,5.0,745,,1437,5.0
11,145,5.0,259,4.0,1747,5.0,501,,856,5.0,840,4.0,890,4.0,1342,
8,466,,1267,,740,4.0,1669,4.0,278,,1529,5.0,270,3.0,1695,4.0
43,400,,961,5.0,1138,5.0,276,,1668,5.0,1670,4.0,121,4.0,95,
8,705,,145,3.0,214,5.0,1494,,1671,4.0,535,4.0,1291,4.0,1484,2.0
25,1155,5.0,707,4.0,501,,1285,,106,2.0,1659,,875,3.0,1036,4.0
193,1328,,176,4.0,129,,1635,5.0,484,,1637,4.0,1274,4.0,1564,4.0
23,1542,4.0,1398,,375,,1611,4.0,1292,5.0,1084,4.0,1437,,47,5.0
38,1186,4.0,306,5.0,965,5.0,501,3.0,1415,4.0,1099,,572,3.0,719,
208,1377,4.0,1299,,243,5.0,601,,908,4.0,972,5.0,446,5.0,1551,
23,242,5.0,563,3.0,1075,5.0,580,4.0,55,,1272,,873,3.0,1198,
23,132,5.0,1300,3.0,535,,1432,5.0,456,3.0,842,3.0,667,,1756,
26,848,,1122,2.0,1442,5.0,952,3.0,1660,4.0,572,5.0,1245,5.0,207,5.0
42,531,,1203,3.0,133,4.0,1607,5.0,120,,459,4.0,558,,351,3.0
183,352,3.0,48,,213,,22,,731,4.0,43,5.0,332,3.0,430,4.0
8,256,5.0,673,,870,5.0,1303,4.0,812,,1678,,159,3.0,1343,5.0
43,706,,420,,247,4.0,167,5.0,906,5.0,203,5.0,558,5.0,302,4.0
15,1474,5.0,1155,4.0,389,,360,4.0,1448,,137,,955,5.0,1197,3.0
8,450,,1730,,179,3.0,853,5.0,598,5.0,762,4.0,1389,,559,1.0
222,1152,,598,4.0,665,,1546,5.0,237,5.0,541,4.0,1694,3.0,415,4.0
23,803,,308,5.0,1129,5.0,1578,1.0,1466,,1356,3.0,621,4.0,782,
43,113,4.0,835,,117,5.0,1175,3.0,346,,1675,4.0,1468,5.0,1006,5.0
85,755,4.0,660,,871,,1577,5.0,619,5.0,573,4.0,62,5.0,399,
23,1299,4.0,708,5.0,1303,4.0,1096,2.0,1067,,1020,5.0,269,5.0,1326,3.0
129,1090,5.0,995,5.0,1364,4.0,180,3.0,853,,901,,262,,1455,5.0
49,1059,3.0,358,,486,4.0,279,,443,2.0,284,5.0,62,5.0,1695,5.0
51,947,5.0,999,5.0,136,4.0,891,5.0,1019,,1565,5.0,1454,,271,4.0
16,1409,3.0,1,4.0,514,,1138,4.0,1318,4.0,1292,4.0,845,4.0,1695,
83,177,4.0,456,4.0,41,4.0,1659,,955,4.0,556,,364,4.0,750,
44,1730,4.0,632,4.0,9,4.0,763,,316,4.0,813,,1102,,847,5.0
81,272,,1026,5.0,1171,,965,3.0,630,5.0,12,4.0,398,4.0,1295,5.0
15,592,,1297,4.0,226,5.0,726,3.0,118,,1415,,1054,4.0,863,4.0
81,1168,5.0,580,4.0,1096,5.0,75,,1020,,317,,1165,5.0,13,5.0
23,913,5.0,817,4.0,449,,1475,4.0,759,5.0,538,5.0,1579,3.0,1326,3.0
