item,user-1,rating-1,user-2,rating-2,user-3,rating-3,user-4,rating-4,user-5,rating-5,user-6,rating-6,user-7,rating-7,user-8,rating-8,user-9,rating-9
81,2,3.0,1251,,1155,,87,4.0,1448,5.0,1674,3.0,524,,429,5.0,606,
40,784,,353,5.0,902,,87,5.0,632,3.0,1532,,253,4.0,1214,,735,4.0
1,274,,758,5.0,1544,4.0,601,,90,5.0,603,4.0,107,4.0,1596,4.0,655,
180,1552,3.0,1264,,1188,,117,5.0,277,3.0,1590,,230,,1096,5.0,233,4.0
11,833,3.0,2,,181,,1288,,1577,5.0,649,,793,4.0,1658,4.0,1406,3.0
8,1153,,513,4.0,883,5.0,803,3.0,1032,4.0,1241,4.0,1387,,862,5.0,1199,5.0
54,1265,,580,4.0,277,5.0,101,4.0,759,4.0,1228,,252,,1133,,1583,5.0
44,1091,4.0,1210,4.0,346,4.0,410,5.0,1419,,923,,1341,,301,,382,3.0
16,483,4.0,899,,1638,2.0,1384,,490,1.0,603,4.0,124,,348,,558,3.0
43,1584,,995,5.0,1717,1.0,1287,5.0,119,,1656,4.0,1757,,1278,3.0,927,
15,1107,,1700,,805,1.0,1045,,614,3.0,1542,3.0,968,4.0,312,,1101,5.0
23,305,,321,4.0,386,4.0,808,,1163,,1259,3.0,348,4.0,1453,1.0,1439,
16,913,,1346,2.0,498,3.0,662,4.0,412,,878,,126,5.0,382,,1263,2.0
15,1600,4.0,51,,1604,4.0,564,,1608,,8,,393,5.0,398,5.0,670,5.0
81,243,4.0,1415,,1704,5.0,1066,,970,5.0,555,5.0,203,5.0,1518,2.0,1503,
1,1040,3.0,1025,4.0,34,,1476,,1317,5.0,1031,,109,5.0,717,2.0,1038,
37,82,,1490,3.0,470,,1720,3.0,1578,5.0,381,,1263,4.0,959,,1503,3.0
146,1664,3.0,963,,101,3.0,806,2.0,726,,344,,1721,5.0,505,,1259,1.0
23,1315,,420,3.0,1349,5.0,281,4.0,1354,4.0,1596,5.0,750,4.0,1599,5.0,255,
16,1459,,1556,5.0,389,4.0,1592,3.0,345,,842,4.0,427,5.0,1067,,668,
54,1488,5.0,560,3.0,465,3.0,1299,,1334,4.0,1735,,617,,316,,415,5.0
169,1249,,257,,1634,,996,4.0,309,5.0,906,5.0,1564,4.0,462,,1006,5.0
177,592,5.0,834,5.0,514,,724,,1257,5.0,1242,5.0,1642,2.0,1357,2.0,47,
23,1217,,1265,5.0,1028,,1653,,1335,4.0,220,5.0,349,5.0,1437,,670,5.0
81,209,,1715,,531,,435,5.0,1095,5.0,1466,3.0,906,4.0,1660,,1550,4.0
38,834,3.0,1493,,1206,,326,3.0,887,,1066,4.0,874,4.0,413,,1455,5.0
48,1730,5.0,850,,1731,,36,4.0,150,4.0,1383,5.0,1399,4.0,1337,,959,
15,1440,,1603,5.0,789,5.0,919,,1255,,936,5.0,122,4.0,330,5.0,827,
33,1473,,258,4.0,52,5.0,1190,,1271,,522,3.0,1486,,1711,4.0,1503,4.0
16,592,3.0,352,4.0,788,,1575,,537,,1403,3.0,732,3.0,188,5.0,1741,2.0
15,1216,,453,3.0,24,5.0,1624,5.0,1290,,140,,1102,4.0,1439,,591,4.0
44,772,5.0,277,,840,4.0,1736,,1738,,588,4.0,444,3.0,1597,,334,3.0
16,848,,1169,4.0,1361,4.0,52,3.0,1160,,1290,,238,3.0,126,5.0,719,
183,912,2.0,1125,5.0,1703,,616,5.0,554,,1162,5.0,62,,1118,,910,4.0
44,1217,3.0,166,5.0,153,4.0,1401,,858,4.0,621,4.0,1629,,142,,846,
40,160,5.0,627,2.0,1252,,1348,,1463,4.0,840,4.0,169,,1161,,925,3.0
278,384,,609,3.0,97,4.0,980,,1529,,988,5.0,636,4.0,269,4.0,191,5.0
49,624,3.0,913,4.0,226,5.0,946,,227,5.0,1700,,57,,1369,,271,5.0
23,1728,5.0,1616,4.0,1138,,1539,,563,3.0,1495,,616,5.0,687,,223,5.0
379,897,5.0,1318,,743,,952,5.0,905,4.0,1563,,987,4.0,1534,3.0,207,
208,1473,5.0,674,5.0,1557,4.0,1334,3.0,443,,604,5.0,636,5.0,940,,1502,
129,801,,1571,5.0,1029,,1206,,10,5.0,844,5.0,188,3.0,1119,,1615,5.0
49,1456,,65,3.0,1138,4.0,1366,,840,3.0,153,,1148,,332,2.0,221,4.0
127,337,,1121,4.0,1105,,962,5.0,530,5.0,567,4.0,1593,4.0,1195,,110,
8,1136,5.0,977,5.0,102,5.0,1270,4.0,6,5.0,600,,1322,,1195,5.0,1565,4.0
62,355,4.0,836,,1158,,246,,230,5.0,1654,4.0,1448,5.0,1066,3.0,319,
44,17,5.0,1169,4.0,1618,2.0,1282,5.0,100,,628,,876,3.0,460,,1598,
19,817,3.0,532,4.0,804,3.0,485,,1591,3.0,1337,,1210,,1596,5.0,588,
54,1058,,1667,,307,1.0,936,5.0,1480,2.0,828,4.0,1757,,941,,1327,4.0
193,1376,,1729,,883,4.0,167,5.0,711,5.0,1019,,45,4.0,46,,319,5.0
15,1729,,3,5.0,883,5.0,628,,502,3.0,1319,,824,5.0,1436,4.0,669,
193,387,,1731,5.0,1028,5.0,1479,3.0,615,,871,,424,4.0,526,,1679,3.0
15,193,,690,4.0,660,4.0,1016,4.0,937,4.0,427,,1324,,268,5.0,431,
26,576,4.0,1345,,1602,5.0,1747,4.0,117,5.0,870,4.0,872,,1401,,428,
26,1505,,180,,218,,411,5.0,1483,5.0,669,,397,4.0,111,3.0,1583,5.0
37,1382,5.0,1159,,1720,3.0,1467,,1694,4.0,670,,334,3.0,1071,4.0,1007,
49,1154,3.0,1203,4.0,1077,5.0,806,5.0,439,,456,4.0,346,,524,4.0,1486,
149,464,,144,,32,5.0,1489,,913,3.0,1699,3.0,723,4.0,806,2.0,1598,
44,1393,,1465,,185,,107,3.0,795,3.0,363,,1661,3.0,573,5.0,207,3.0
145,1024,3.0,850,,498,,1317,3.0,936,4.0,1160,,1610,,253,4.0,1341,5.0
1,1168,5.0,1730,,1235,5.0,1619,5.0,887,4.0,1543,,1048,5.0,792,5.0,717,2.0
42,752,,144,3.0,897,3.0,1649,,545,,34,4.0,1012,3.0,1718,,1224,5.0
11,1153,5.0,242,,787,,1095,4.0,487,4.0,217,4.0,586,,1389,3.0,942,5.0
8,224,,689,,243,,1027,5.0,212,5.0,152,,573,5.0,1086,5.0,526,5.0
32,129,5.0,999,2.0,40,,1688,4.0,1674,5.0,234,,1421,5.0,94,,623,3.0
44,1456,,583,4.0,951,,728,,1658,4.0,156,4.0,1436,3.0,909,5.0,527,
428,965,5.0,1125,5.0,1493,,1591,5.0,167,5.0,1164,,1532,,1117,,1679,5.0
51,912,,434,5.0,1637,5.0,1157,,87,5.0,169,,843,5.0,1755,,1711,5.0
23,576,4.0,871,,1434,4.0,1482,,1468,2.0,941,,878,4.0,1726,5.0,431,
44,1330,,692,5.0,757,4.0,885,4.0,1589,4.0,1624,,1242,3.0,507,,684,
8,1504,4.0,1344,5.0,1205,5.0,1302,,822,4.0,199,5.0,1610,,1754,,397,
44,560,4.0,801,,913,3.0,401,,658,,1448,4.0,440,,1449,4.0,1374,4.0
43,816,5.0,644,4.0,1317,,885,,1719,,807,5.0,1642,5.0,330,5.0,735,5.0
37,816,3.0,897,,996,4.0,645,5.0,504,5.0,488,,1756,,1357,5.0,431,
129,849,3.0,1010,5.0,1267,3.0,1235,,515,,292,,197,3.0,283,5.0,621,5.0
23,352,,272,,97,5.0,243,5.0,67,,787,,907,3.0,575,5.0,527,5.0
49,515,5.0,742,4.0,615,5.0,43,,12,4.0,572,3.0,1757,3.0,1453,,1726,
23,837,4.0,1175,5.0,1255,4.0,1593,4.0,714,,10,,1389,4.0,1438,,79,
32,352,5.0,384,,611,,262,4.0,763,,924,5.0,846,,1647,3.0,751,5.0
85,353,5.0,434,5.0,1494,,566,4.0,1287,,1481,,251,3.0,1565,3.0,1118,
8,739,2.0,1587,5.0,243,,453,5.0,1209,5.0,330,5.0,538,,299,3.0,1599,5.0
146,35,,1157,1.0,1253,4.0,1224,,329,,1098,2.0,1420,4.0,109,3.0,127,
129,320,,440,,585,4.0,1258,4.0,651,5.0,43,4.0,220,5.0,1342,,190,
15,576,3.0,849,5.0,1393,,1058,5.0,1672,,1019,,1245,,254,3.0,894,5.0
85,432,,1264,5.0,1042,,453,4.0,1637,4.0,357,3.0,630,4.0,103,,1160,5.0
26,916,,469,,678,,375,5.0,393,5.0,906,4.0,459,4.0,429,5.0,254,4.0
23,721,,145,4.0,722,5.0,965,5.0,1686,3.0,1304,5.0,1577,5.0,1100,5.0,1502,
127,1425,4.0,865,5.0,996,5.0,1622,,679,4.0,1223,,1723,,1133,,1407,4.0
81,736,5.0,560,,1681,5.0,1571,3.0,1272,,188,5.0,365,,1598,4.0,463,
16,1472,4.0,561,5.0,453,4.0,134,5.0,1751,2.0,265,,1340,,813,4.0,622,3.0
11,353,,1249,4.0,36,,949,4.0,1351,5.0,1577,5.0,874,4.0,1260,3.0,1263,
16,912,3.0,1025,4.0,1586,5.0,675,,1592,3.0,1193,4.0,825,,1643,4.0,1567,
0,1330,,1444,4.0,325,5.0,805,,422,,182,3.0,1303,4.0,267,,1276,2.0
85,1506,4.0,933,,1077,4.0,1109,,677,4.0,470,,1577,5.0,1597,,1357,5.0
33,1154,4.0,1683,,1363,,1427,,820,3.0,1111,3.0,329,3.0,1450,4.0,1087,4.0
246,80,,208,,689,,20,4.0,1477,5.0,1143,,937,4.0,1358,5.0,287,5.0
69,736,4.0,1703,,999,5.0,952,2.0,410,,460,4.0,284,,1214,,1583,3.0
23,128,,16,5.0,1682,4.0,114,4.0,789,,247,,1099,4.0,1660,4.0,1311,
62,1137,,1201,5.0,294,3.0,953,3.0,1466,2.0,810,,1150,,46,,1662,5.0
15,642,,1525,4.0,1590,,633,,1210,3.0,411,5.0,1260,5.0,972,4.0,623,2.0
62,816,4.0,768,5.0,146,4.0,627,,1495,5.0,1064,,476,,1133,,1342,5.0
81,20,5.0,965,3.0,245,,327,,233,,874,3.0,13,5.0,269,5.0,1549,
23,1362,5.0,626,,547,5.0,420,3.0,1333,5.0,55,,473,5.0,1483,,717,5.0
26,688,,1552,5.0,1284,4.0,392,4.0,1545,,1097,,859,,1019,5.0,62,4.0
145,1333,4.0,54,4.0,486,3.0,648,,1689,,251,2.0,189,,1310,,575,3.0
38,1264,,419,5.0,1075,,1510,,231,2.0,103,5.0,1479,5.0,1480,5.0,205,5.0
85,34,3.0,1203,5.0,1460,4.0,1524,4.0,1606,5.0,1737,3.0,409,4.0,206,,1406,
44,1106,,662,5.0,854,2.0,617,3.0,1434,,1498,,588,4.0,1534,,1278,5.0
16,689,,1027,4.0,388,,100,3.0,1061,2.0,1495,,503,,89,3.0,399,4.0
76,1297,,851,,884,4.0,133,5.0,1223,3.0,1463,4.0,247,,236,2.0,1564,5.0
297,1472,,1748,,996,3.0,726,4.0,806,5.0,1415,5.0,872,,75,,30,5.0
62,464,,53,5.0,375,,344,,378,4.0,507,1.0,1563,5.0,444,5.0,973,
16,288,3.0,851,,179,,374,2.0,1655,,424,2.0,1098,5.0,650,5.0,542,3.0
16,864,,1248,5.0,1441,,449,4.0,421,,1559,1.0,1257,,1756,2.0,1423,4.0
15,320,,531,3.0,1571,,1667,,1686,5.0,776,,779,5.0,1356,3.0,1660,5.0
129,753,5.0,930,,277,5.0,1494,5.0,326,,1622,5.0,267,,365,5.0,350,
11,1088,,1153,5.0,1347,,1668,5.0,453,5.0,135,,456,2.0,1080,,191,3.0
81,690,4.0,1027,5.0,419,4.0,1668,,1574,,55,5.0,8,4.0,1322,,541,
16,1040,5.0,464,3.0,243,5.0,51,3.0,649,,684,5.0,1420,4.0,638,4.0,1183,4.0
44,1585,,545,,210,,962,5.0,867,5.0,870,4.0,922,3.0,221,5.0,1679,
44,402,4.0,1284,,1732,3.0,1061,,70,,1111,,1079,4.0,1433,4.0,686,4.0
11,448,4.0,784,,7,,647,4.0,201,,91,4.0,651,,860,4.0,703,4.0
81,257,,450,5.0,3,,115,5.0,597,5.0,1159,5.0,1672,,312,,1566,5.0
200,624,,1234,5.0,1362,,835,4.0,1495,5.0,797,,1054,5.0,494,4.0,1102,3.0
43,1377,2.0,579,3.0,1094,5.0,1592,,552,5.0,1673,,60,5.0,1278,3.0,1534,5.0
11,1600,2.0,674,5.0,1171,5.0,645,,1318,5.0,489,3.0,1005,4.0,989,,1678,
11,308,5.0,1253,4.0,1257,,891,,61,5.0,221,5.0,1661,4.0,1006,4.0,143,5.0
16,720,,1696,4.0,1284,,1030,,345,,283,4.0,1547,3.0,317,4.0,831,5.0
51,496,,583,5.0,359,5.0,568,,1643,5.0,588,5.0,925,4.0,639,,863,
8,1281,,1093,5.0,1272,,489,5.0,682,,954,5.0,1275,,795,5.0,828,5.0
119,544,,1249,,337,4.0,211,4.0,244,4.0,1364,4.0,788,,1588,4.0,1207,
81,1696,5.0,759,3.0,794,5.0,890,,44,5.0,1213,,1373,4.0,1487,,959,5.0
8,1728,,1521,,34,5.0,372,5.0,853,5.0,25,,1181,4.0,158,5.0,1694,5.0
23,1313,4.0,1665,,1442,,34,4.0,616,5.0,475,5.0,1325,,125,5.0,1503,3.0
49,1667,,1683,,1507,4.0,1188,3.0,412,,525,5.0,717,4.0,1534,5.0,958,
23,784,,356,5.0,536,,41,,154,,1180,4.0,621,4.0,142,5.0,1711,4.0
11,945,,690,4.0,1268,,1172,3.0,133,4.0,1750,,183,5.0,1433,3.0,431,4.0
76,165,3.0,70,,679,5.0,87,,713,,202,,987,5.0,783,5.0,1327,4.0
23,1490,4.0,1028,,1509,,1223,5.0,347,5.0,715,,1388,5.0,573,4.0,973,5.0
109,994,,914,,227,5.0,1350,,182,,520,4.0,616,3.0,281,4.0,937,5.0
15,864,4.0,1712,5.0,307,1.0,1444,,599,,1352,,1064,,61,5.0,479,5.0
11,1392,,1648,,1249,4.0,211,,773,5.0,1276,4.0,1709,,1101,5.0,1679,3.0
42,544,,1138,,276,4.0,997,,949,3.0,1158,4.0,330,4.0,1356,,1470,3.0
15,49,,1044,4.0,566,5.0,520,4.0,1513,4.0,1465,3.0,28,,1357,,1054,4.0
85,1328,3.0,1649,3.0,1073,1.0,339,1.0,758,,87,2.0,1145,,1004,,351,5.0
40,1121,,770,,132,5.0,680,3.0,633,2.0,986,,109,5.0,637,,1646,4.0
8,755,4.0,1108,5.0,1095,,1143,,952,,504,3.0,505,5.0,607,5.0,1407,5.0
127,1729,,902,,1015,5.0,1399,4.0,924,4.0,1581,4.0,782,4.0,575,,655,
26,881,,1425,4.0,851,5.0,521,5.0,890,,187,,77,4.0,942,4.0,607,5.0
71,48,,226,,1108,,311,4.0,1181,5.0,797,4.0,1597,,334,5.0,1695,5.0
183,432,,976,4.0,1476,4.0,1672,,585,3.0,1293,,558,5.0,878,,1647,3.0
105,434,4.0,595,,1027,1.0,22,,1110,5.0,1081,,1226,,698,3.0,1279,3.0
44,786,,533,,502,4.0,1463,4.0,1754,5.0,426,4.0,1067,5.0,1278,5.0,639,5.0
208,403,,870,,1704,,1417,3.0,1674,4.0,1260,4.0,1661,4.0,974,5.0,1342,
180,1025,4.0,1713,3.0,722,3.0,338,,290,4.0,629,,405,4.0,759,3.0,14,4.0
49,1651,5.0,1269,5.0,1541,5.0,1607,4.0,281,3.0,186,5.0,970,5.0,267,,1452,
16,1264,,1504,,147,4.0,756,4.0,315,4.0,1181,5.0,557,4.0,1661,,1279,
37,657,5.0,804,,709,5.0,1144,3.0,169,,106,3.0,939,,669,,831,4.0
81,1728,,1491,,1686,5.0,838,,439,4.0,136,4.0,1691,,605,4.0,1023,4.0
81,305,,1074,,547,5.0,311,4.0,472,5.0,120,,683,4.0,910,,47,5.0
11,882,,1347,,963,5.0,996,4.0,37,5.0,727,,1099,4.0,526,5.0,1390,
129,499,,484,5.0,900,,1205,5.0,967,5.0,922,,1436,3.0,412,5.0,1407,
51,1313,5.0,1714,,1253,4.0,1638,4.0,615,,1703,,472,5.0,1066,3.0,1500,
180,225,4.0,1729,,897,3.0,1060,5.0,1173,,53,,601,,126,3.0,831,4.0
208,1651,4.0,295,,1303,4.0,185,,1385,4.0,427,,1451,,141,4.0,638,4.0
81,768,,1025,5.0,51,5.0,647,4.0,105,,553,,684,5.0,573,4.0,989,
16,961,3.0,322,,514,,1253,4.0,134,5.0,920,4.0,808,,1229,,1246,4.0
44,1152,,480,5.0,272,,1376,,816,3.0,1653,4.0,958,4.0,1310,4.0,1007,
23,224,,752,,258,1.0,1042,4.0,1175,5.0,1019,,863,5.0,1471,4.0,287,
26,305,,1329,5.0,706,,692,,501,,197,4.0,1561,5.0,623,3.0,863,5.0
11,820,5.0,22,5.0,1047,5.0,1175,5.0,331,5.0,188,,205,,1486,,1455,
44,1184,,1488,4.0,1088,,1010,4.0,1747,5.0,1256,,393,,125,5.0,638,4.0
8,515,,372,5.0,773,5.0,54,5.0,679,3.0,839,5.0,1626,,44,,556,
69,1313,5.0,1474,,1252,5.0,1095,5.0,439,,923,,1181,3.0,366,,558,4.0
81,464,,68,,791,4.0,1495,5.0,1432,5.0,330,5.0,1131,,315,5.0,1695,
8,1009,5.0,1442,,228,4.0,822,4.0,870,5.0,1511,,1737,,1674,5.0,1530,
183,304,,865,5.0,1009,,408,,906,4.0,732,4.0,365,5.0,910,4.0,1742,
145,1537,,258,4.0,1635,1.0,696,3.0,968,,922,4.0,1564,3.0,622,2.0,1118,
8,1185,,1619,5.0,275,,1557,5.0,1096,,665,4.0,217,5.0,650,5.0,509,
0,545,,1747,4.0,1444,4.0,1626,,186,,1418,4.0,427,5.0,1324,,558,4.0
16,912,3.0,1072,4.0,1266,5.0,853,5.0,455,2.0,1080,,505,5.0,655,,79,
0,1056,,99,3.0,389,,262,4.0,1590,,1306,4.0,333,4.0,1150,4.0,1263,
129,1169,5.0,338,,965,5.0,762,4.0,444,,1436,3.0,317,,1053,4.0,783,
268,1522,,1747,3.0,420,1.0,1285,,1606,2.0,520,2.0,569,,1019,,830,3.0
51,176,5.0,370,,306,5.0,551,5.0,407,,983,5.0,601,,234,,1228,5.0
208,1136,,772,4.0,1702,,1239,4.0,90,5.0,1308,,1388,,974,5.0,671,2.0
105,1601,3.0,978,,850,3.0,1651,,709,,758,5.0,761,,395,4.0,363,5.0
49,1648,5.0,305,,499,4.0,1300,4.0,917,,392,5.0,58,4.0,683,,1663,5.0
83,656,,499,,631,4.0,554,,1722,4.0,1131,5.0,1052,4.0,1084,4.0,399,
105,1280,1.0,501,2.0,373,,329,1.0,426,,349,,1421,,1358,3.0,1695,2.0
44,609,,178,,149,5.0,761,5.0,921,3.0,1065,,121,4.0,697,4.0,1453,5.0
81,1121,5.0,693,5.0,759,3.0,183,,455,,568,,106,5.0,430,4.0,1039,4.0
11,257,,788,4.0,292,,566,4.0,1415,,1322,,202,5.0,987,5.0,92,3.0
81,1361,,914,,115,5.0,932,5.0,1421,5.0,158,,414,5.0,687,,1391,5.0
11,193,4.0,1706,,826,4.0,779,,124,4.0,812,,604,4.0,173,,1101,5.0
11,97,4.0,1203,,483,4.0,1668,5.0,1589,,1048,5.0,313,,447,5.0,1103,4.0
49,723,,901,4.0,1671,5.0,583,3.0,664,,1049,,973,4.0,397,5.0,942,
16,706,4.0,259,5.0,1747,,835,,1577,5.0,586,,1020,4.0,76,5.0,1039,
255,166,4.0,54,4.0,743,,504,,859,4.0,780,,1340,,445,4.0,783,4.0
193,593,,1329,,516,,1638,3.0,376,,220,5.0,589,5.0,1374,2.0,319,5.0
23,384,5.0,113,,1237,,632,3.0,761,,681,5.0,603,5.0,220,5.0,127,
49,945,,514,,498,4.0,1587,4.0,388,5.0,197,,469,5.0,1020,,1644,5.0
183,129,,225,,1539,4.0,979,3.0,1028,5.0,1494,,830,5.0,831,5.0,671,4.0
