item,user-1,rating-1,user-2,rating-2
1,445,2.0,1710,4.0
222,1257,4.0,1549,3.0
415,1537,4.0,1010,5.0
23,932,5.0,1429,1.0
16,119,5.0,606,5.0
54,1694,4.0,415,5.0
109,885,3.0,972,4.0
83,229,4.0,1114,5.0
83,357,3.0,1291,4.0
23,341,4.0,855,5.0
277,560,3.0,585,3.0
8,145,3.0,24,5.0
16,968,4.0,1738,2.0
48,1651,5.0,580,5.0
83,866,2.0,142,4.0
200,243,5.0,1572,4.0
724,801,4.0,836,5.0
606,801,5.0,1445,4.0
81,1587,5.0,343,1.0
23,736,5.0,1625,3.0
354,306,5.0,125,5.0
15,947,3.0,1596,5.0
44,669,3.0,1054,4.0
68,1303,3.0,842,3.0
234,1026,5.0,1103,5.0
83,1377,4.0,315,4.0
141,740,5.0,1644,4.0
8,1333,5.0,1183,5.0
99,1027,5.0,1017,5.0
10,1351,4.0,585,4.0
111,294,5.0,1559,4.0
62,917,5.0,1102,4.0
111,835,5.0,397,4.0
43,1403,5.0,47,4.0
31,100,4.0,1711,2.0
202,1144,4.0,1756,4.0
181,726,2.0,315,4.0
146,1655,4.0,1418,4.0
89,806,4.0,411,1.0
210,1024,4.0,1561,4.0
111,932,4.0,937,3.0
340,337,2.0,1250,3.0
119,71,3.0,1100,3.0
69,359,5.0,1581,5.0
16,315,4.0,766,5.0
488,999,2.0,1181,2.0
50,925,4.0,558,5.0
197,1410,3.0,156,3.0
462,1317,5.0,1301,3.0
193,818,2.0,1732,3.0
49,65,3.0,936,5.0
71,1651,5.0,686,4.0
153,853,3.0,153,4.0
234,1307,4.0,1548,4.0
26,1399,4.0,1534,4.0
124,1637,4.0,361,5.0
393,822,4.0,379,4.0
183,269,5.0,735,3.0
81,1098,4.0,894,3.0
223,602,2.0,475,3.0
43,336,5.0,61,4.0
193,1713,5.0,982,5.0
222,1276,4.0,1645,4.0
25,834,5.0,1282,4.0
23,262,5.0,151,5.0
48,1132,4.0,1310,5.0
18,1699,5.0,1535,2.0
81,509,5.0,1006,5.0
111,500,3.0,681,4.0
71,439,5.0,679,4.0
11,101,5.0,1513,5.0
26,947,4.0,631,5.0
81,1537,2.0,1282,5.0
1,1266,5.0,858,4.0
124,227,3.0,579,4.0
267,1713,3.0,965,3.0
54,194,5.0,453,4.0
129,1018,5.0,1614,5.0
44,994,3.0,1336,5.0
278,1537,5.0,232,3.0
127,1344,3.0,270,5.0
44,1254,5.0,943,5.0
149,1701,2.0,974,5.0
152,480,4.0,339,2.0
109,995,4.0,453,5.0
129,311,5.0,1390,3.0
198,133,5.0,615,5.0
81,624,4.0,1645,4.0
44,1639,4.0,153,4.0
33,167,3.0,170,5.0
127,1460,5.0,168,5.0
204,1314,4.0,1317,4.0
44,162,5.0,568,4.0
43,1072,5.0,671,4.0
471,645,3.0,622,3.0
0,337,4.0,1470,4.0
537,146,4.0,697,3.0
23,1123,5.0,777,4.0
246,193,4.0,107,4.0
533,580,3.0,471,3.0
257,1664,4.0,411,4.0
127,353,4.0,817,4.0
361,1160,1.0,1054,4.0
49,496,5.0,1030,4.0
85,165,4.0,566,4.0
36,3,3.0,109,3.0
15,1500,5.0,1069,5.0
227,230,1.0,281,3.0
203,1520,2.0,1026,5.0
15,136,5.0,1450,4.0
15,229,3.0,502,3.0
26,228,3.0,1160,5.0
129,1189,3.0,984,5.0
161,1110,5.0,535,2.0
401,1356,4.0,1647,4.0
105,881,2.0,580,4.0
430,1242,3.0,1420,1.0
1,419,2.0,1065,3.0
119,1026,5.0,701,5.0
43,1381,5.0,1452,5.0
58,1130,3.0,191,4.0
37,1700,2.0,215,5.0
33,726,4.0,1194,4.0
222,901,4.0,1358,4.0
42,528,4.0,717,4.0
193,955,3.0,428,4.0
16,928,3.0,165,1.0
208,1307,4.0,207,3.0
8,811,5.0,1054,5.0
23,1364,5.0,616,5.0
255,1075,3.0,262,4.0
129,1450,5.0,1020,5.0
8,1586,3.0,796,5.0
8,1057,4.0,493,4.0
11,308,5.0,971,3.0
22,1188,3.0,542,3.0
144,1612,4.0,1181,3.0
68,1190,3.0,520,3.0
33,1692,5.0,927,1.0
222,1297,3.0,468,5.0
117,853,4.0,1084,4.0
537,1655,4.0,1096,4.0
119,1041,4.0,758,5.0
119,417,3.0,1029,5.0
108,758,5.0,639,5.0
85,962,5.0,734,4.0
43,1658,5.0,1100,3.0
130,602,2.0,1374,3.0
54,1026,5.0,530,4.0
193,1638,3.0,61,5.0
157,744,4.0,1097,4.0
49,452,5.0,486,4.0
430,604,3.0,1020,3.0
15,438,4.0,263,5.0
352,1136,5.0,280,3.0
202,1588,4.0,397,4.0
228,1044,2.0,618,3.0
135,1073,3.0,1144,4.0
223,532,4.0,615,3.0
200,17,4.0,1480,5.0
266,985,3.0,875,3.0
377,752,4.0,717,4.0
81,1130,5.0,1583,5.0
430,961,4.0,1058,3.0
16,961,3.0,1514,3.0
1,901,4.0,903,5.0
62,947,5.0,238,2.0
413,977,1.0,520,2.0
336,935,5.0,967,2.0
61,1185,5.0,1421,4.0
314,851,5.0,740,5.0
213,917,4.0,405,2.0
276,1093,4.0,378,2.0
85,294,5.0,268,3.0
62,1169,4.0,338,4.0
15,1561,5.0,1484,5.0
61,1426,5.0,836,5.0
208,759,5.0,319,5.0
44,1571,2.0,1310,4.0
8,352,4.0,1691,5.0
105,822,4.0,332,1.0
208,1410,4.0,490,1.0
127,1611,5.0,175,5.0
23,1644,5.0,1581,4.0
49,1399,5.0,968,5.0
129,1012,4.0,501,4.0
44,996,4.0,411,3.0
149,619,3.0,732,3.0
40,1170,4.0,26,4.0
127,1186,5.0,1439,3.0
183,1606,5.0,1294,4.0
276,500,5.0,190,3.0
85,644,5.0,415,4.0
132,820,2.0,535,3.0
226,1730,5.0,1677,3.0
153,200,2.0,1021,3.0
69,1128,2.0,1242,5.0
49,1381,5.0,1717,4.0
11,342,4.0,1098,4.0
15,1746,3.0,1175,2.0
85,1026,5.0,1112,5.0
28,1585,5.0,1651,4.0
11,1237,5.0,1199,5.0
33,1699,4.0,126,3.0
292,693,4.0,1004,5.0
234,483,4.0,1606,5.0
50,419,4.0,822,4.0
16,1719,3.0,1708,3.0
42,508,4.0,1341,4.0
280,1609,3.0,251,4.0
232,730,2.0,427,4.0
307,146,3.0,615,3.0
23,1157,4.0,1574,5.0
11,996,4.0,470,3.0
16,1473,4.0,647,5.0
192,162,4.0,330,4.0
180,117,5.0,1534,3.0
72,344,4.0,591,4.0
16,906,4.0,1677,3.0
15,998,4.0,1663,4.0
51,882,4.0,18,4.0
81,203,5.0,1437,4.0
438,897,5.0,1274,4.0
513,1660,4.0,607,4.0
105,628,3.0,1036,1.0
81,1481,4.0,1564,4.0
43,1616,4.0,785,5.0
42,1155,5.0,1609,4.0
96,949,4.0,1193,4.0
23,529,5.0,279,5.0
43,1072,5.0,1076,4.0
160,1398,3.0,1534,3.0
209,1084,2.0,1711,4.0
201,468,3.0,136,4.0
202,555,4.0,815,3.0
714,968,3.0,1513,3.0
63,1669,4.0,537,5.0
165,873,1.0,351,1.0
281,1074,4.0,859,2.0
49,724,5.0,415,3.0
44,1600,4.0,1099,3.0
8,853,5.0,731,4.0
61,122,4.0,235,3.0
113,9,3.0,1194,4.0
64,469,1.0,922,2.0
11,503,5.0,796,5.0
138,309,2.0,1432,3.0
129,1720,4.0,1709,5.0
81,1095,5.0,1371,5.0
109,337,4.0,453,5.0
214,1462,5.0,987,5.0
229,1056,3.0,186,5.0
127,913,2.0,215,5.0
45,1635,5.0,842,3.0
99,883,5.0,533,2.0
349,994,2.0,943,2.0
15,162,5.0,626,3.0
62,1449,4.0,604,3.0
538,594,4.0,1082,3.0
11,772,4.0,422,3.0
54,18,3.0,67,5.0
19,1745,3.0,277,4.0
38,231,2.0,1020,2.0
200,770,4.0,616,4.0
209,311,2.0,78,3.0
22,1047,4.0,284,5.0
193,675,4.0,623,3.0
415,453,4.0,906,4.0
518,1606,4.0,623,4.0
15,133,4.0,731,4.0
149,681,4.0,1070,4.0
68,176,4.0,1358,4.0
11,913,3.0,166,5.0
313,951,4.0,477,2.0
85,1242,2.0,1580,5.0
274,1056,2.0,332,4.0
202,722,4.0,119,4.0
16,227,4.0,639,4.0
40,821,4.0,415,3.0
16,186,4.0,431,4.0
16,1291,4.0,767,3.0
76,1026,4.0,1335,4.0
22,489,4.0,106,3.0
186,1182,4.0,143,3.0
119,896,4.0,416,5.0
69,1699,1.0,1052,4.0
85,505,4.0,1711,3.0
68,816,3.0,251,2.0
222,1621,5.0,141,5.0
51,737,5.0,52,5.0
0,243,4.0,967,4.0
153,1461,2.0,1402,2.0
52,1253,3.0,358,2.0
105,123,2.0,1694,4.0
44,1148,4.0,1407,5.0
81,1312,5.0,804,5.0
288,101,2.0,859,5.0
20,1429,3.0,1607,2.0
51,453,4.0,460,5.0
218,424,4.0,537,4.0
137,1664,4.0,281,2.0
86,860,4.0,670,3.0
21,905,4.0,281,2.0
23,1312,4.0,1732,5.0
83,1314,4.0,866,2.0
253,1001,3.0,1627,3.0
1,1078,4.0,458,4.0
119,377,4.0,63,5.0
129,1144,3.0,572,5.0
71,1606,5.0,717,5.0
183,372,5.0,758,4.0
38,321,3.0,1333,3.0
274,1600,1.0,1344,4.0
311,1552,4.0,960,4.0
73,1098,3.0,555,4.0
208,227,3.0,345,4.0
16,1334,4.0,602,2.0
428,186,5.0,1663,4.0
98,1277,4.0,109,4.0
183,1187,5.0,1479,1.0
23,562,5.0,172,5.0
109,1638,4.0,1210,1.0
274,1096,3.0,78,4.0
530,681,5.0,159,4.0
120,520,1.0,172,5.0
23,212,5.0,1638,4.0
1,259,3.0,254,3.0
181,897,2.0,769,3.0
58,1047,3.0,1130,3.0
44,1428,4.0,1673,3.0
29,913,3.0,186,3.0
97,1284,2.0,103,3.0
375,1253,4.0,294,5.0
163,1169,4.0,1006,4.0
425,1251,5.0,603,3.0
375,1177,3.0,988,1.0
97,306,5.0,974,4.0
24,1093,3.0,1047,2.0
38,1094,3.0,1036,3.0
110,146,3.0,136,5.0
62,871,5.0,152,5.0
354,400,5.0,411,5.0
91,1093,3.0,697,4.0
54,897,3.0,1380,5.0
190,1698,4.0,166,4.0
107,64,3.0,133,4.0
106,1409,5.0,697,3.0
143,68,4.0,879,4.0
35,683,4.0,799,4.0
190,1010,3.0,1544,3.0
33,1466,3.0,1100,4.0
480,932,5.0,468,4.0
105,1176,5.0,1273,4.0
202,1638,2.0,1644,4.0
42,456,1.0,921,2.0
26,455,4.0,1407,5.0
44,657,5.0,1128,4.0
81,1270,3.0,186,4.0
193,865,5.0,711,5.0
37,1397,4.0,1707,5.0
278,24,4.0,238,2.0
292,471,5.0,1021,3.0
23,1494,5.0,1593,4.0
342,999,3.0,936,4.0
39,592,5.0,500,5.0
209,982,4.0,571,4.0
26,396,4.0,607,5.0
181,309,3.0,315,4.0
44,176,4.0,1422,3.0
109,1072,5.0,351,5.0
208,997,4.0,617,5.0
266,293,3.0,985,3.0
23,1047,5.0,394,4.0
61,755,3.0,1589,4.0
588,865,5.0,722,2.0
86,330,4.0,602,4.0
76,521,5.0,1518,5.0
149,1635,2.0,246,5.0
26,1621,5.0,856,4.0
419,697,2.0,826,3.0
43,1717,1.0,789,4.0
42,1253,2.0,47,5.0
42,1488,3.0,486,4.0
8,4,3.0,269,5.0
296,1364,4.0,717,4.0
106,212,4.0,828,3.0
84,577,3.0,1053,5.0
26,374,5.0,1227,5.0
190,1458,3.0,444,3.0
0,133,3.0,1205,4.0
54,1699,4.0,1176,5.0
16,609,3.0,1611,3.0
223,1269,4.0,1550,3.0
11,32,5.0,446,5.0
11,1057,3.0,194,5.0
222,454,5.0,1643,1.0
134,453,4.0,221,3.0
487,1698,5.0,406,4.0
19,1747,4.0,227,2.0
52,1092,2.0,598,4.0
256,71,3.0,623,4.0
242,609,2.0,1364,5.0
452,1410,4.0,1479,4.0
26,1685,5.0,261,2.0
377,439,4.0,1275,2.0
119,1239,4.0,955,5.0
238,1334,5.0,330,4.0
225,1158,5.0,1500,5.0
43,1682,5.0,263,5.0
23,706,5.0,281,4.0
292,229,4.0,840,4.0
518,244,4.0,1035,5.0
1,1313,4.0,1252,3.0
110,166,5.0,1689,4.0
37,1235,2.0,218,3.0
180,1698,4.0,1546,4.0
42,1205,4.0,1110,4.0
129,1490,5.0,1310,5.0
119,816,5.0,1154,4.0
179,1603,3.0,316,2.0
128,136,5.0,1294,5.0
46,937,5.0,364,4.0
69,384,5.0,91,4.0
86,1072,3.0,451,4.0
152,759,5.0,1611,4.0
172,837,3.0,639,4.0
346,453,2.0,603,3.0
466,34,2.0,254,3.0
162,513,5.0,885,2.0
11,982,5.0,109,4.0
38,263,3.0,397,5.0
24,834,4.0,999,1.0
169,48,5.0,44,3.0
377,1664,3.0,1523,4.0
193,1014,3.0,936,5.0
173,1600,4.0,937,3.0
10,128,4.0,1437,4.0
30,1433,4.0,858,5.0
153,1205,3.0,334,2.0
11,467,4.0,103,4.0
113,1160,4.0,585,5.0
1,723,4.0,617,4.0
127,449,4.0,758,5.0
186,1025,4.0,632,4.0
27,658,1.0,1125,5.0
273,306,3.0,435,3.0
358,1026,5.0,1122,2.0
0,448,3.0,1111,4.0
129,1718,5.0,1676,4.0
278,324,4.0,924,3.0
129,197,3.0,1433,5.0
26,1317,4.0,1561,5.0
167,1235,5.0,1193,4.0
323,1539,3.0,456,1.0
274,1668,4.0,190,3.0
1,212,4.0,1402,3.0
8,372,5.0,1402,4.0
69,996,3.0,759,4.0
281,988,1.0,1567,3.0
23,963,4.0,702,5.0
96,281,3.0,411,3.0
26,690,4.0,111,3.0
61,1057,3.0,1321,5.0
48,535,3.0,218,4.0
350,227,1.0,1071,1.0
16,1698,3.0,1341,5.0
177,1282,5.0,922,4.0
234,1270,4.0,894,5.0
183,256,5.0,122,4.0
135,613,5.0,809,5.0
76,1707,3.0,1357,4.0
11,136,4.0,600,4.0
37,1169,4.0,1240,5.0
161,1259,2.0,190,4.0
228,1168,5.0,888,4.0
205,1664,4.0,623,5.0
38,806,2.0,1209,5.0
11,612,4.0,1366,4.0
76,906,3.0,508,4.0
85,1025,4.0,571,5.0
61,772,4.0,120,5.0
180,1654,4.0,1182,4.0
61,290,4.0,862,4.0
51,435,3.0,462,5.0
119,560,4.0,1172,3.0
85,988,1.0,942,4.0
129,1121,5.0,521,5.0
44,194,4.0,1342,4.0
43,1668,5.0,603,4.0
213,456,3.0,1209,5.0
415,34,3.0,1334,3.0
49,721,5.0,184,5.0
54,74,5.0,219,5.0
16,1732,3.0,458,5.0
769,786,4.0,971,5.0
21,1747,5.0,623,5.0
127,832,4.0,1387,5.0
129,802,5.0,537,4.0
22,178,5.0,679,5.0
39,1314,5.0,1417,4.0
49,918,3.0,1432,4.0
532,609,5.0,78,3.0
23,1508,4.0,847,4.0
68,1028,5.0,605,5.0
236,842,4.0,874,4.0
293,1608,3.0,568,2.0
19,1600,4.0,985,3.0
839,1552,1.0,202,2.0
471,644,4.0,985,5.0
389,1664,4.0,1539,4.0
23,1110,5.0,381,5.0
169,1654,4.0,1722,3.0
51,1169,5.0,1630,5.0
142,1241,5.0,331,3.0
197,406,4.0,607,4.0
11,830,3.0,207,5.0
68,1460,3.0,429,4.0
197,1491,4.0,607,4.0
245,78,4.0,351,4.0
11,172,5.0,717,5.0
377,211,3.0,1049,2.0
8,352,4.0,670,2.0
44,278,3.0,1754,5.0
314,288,4.0,1748,3.0
25,1505,4.0,1021,4.0
219,773,1.0,406,4.0
19,594,3.0,855,5.0
105,548,2.0,1351,2.0
107,461,4.0,1327,4.0
15,1618,2.0,45,4.0
49,1601,3.0,602,4.0
8,795,5.0,1630,3.0
198,897,4.0,78,3.0
129,1090,5.0,924,5.0
220,1618,3.0,221,3.0
49,13,3.0,559,5.0
8,530,4.0,750,5.0
129,1084,5.0,1726,5.0
203,1075,4.0,618,3.0
19,276,5.0,943,3.0
40,1504,4.0,917,4.0
577,502,2.0,1564,2.0
313,262,4.0,1181,4.0
110,977,5.0,905,4.0
0,1570,3.0,740,4.0
107,1552,4.0,1144,5.0
105,384,3.0,491,4.0
0,1638,2.0,824,2.0
49,473,4.0,442,3.0
416,1264,3.0,571,4.0
133,217,3.0,1325,1.0
339,480,4.0,834,3.0
234,91,5.0,462,4.0
11,978,4.0,444,4.0
40,741,5.0,1757,4.0
8,1399,4.0,1615,5.0
1,176,4.0,101,3.0
86,865,5.0,31,5.0
153,853,3.0,1183,5.0
11,609,5.0,674,5.0
149,1318,4.0,632,3.0
39,881,5.0,751,1.0
183,690,4.0,1676,1.0
122,168,4.0,1692,5.0
76,50,5.0,1638,4.0
336,406,2.0,280,4.0
109,1424,2.0,444,5.0
193,311,5.0,360,5.0
1,820,4.0,585,2.0
68,758,4.0,1479,2.0
30,707,4.0,1675,2.0
688,834,2.0,1093,4.0
334,313,3.0,1066,5.0
85,1638,4.0,1574,5.0
123,1026,4.0,585,3.0
59,604,3.0,382,3.0
61,471,4.0,1501,5.0
185,1699,3.0,1333,5.0
26,981,3.0,925,5.0
161,657,3.0,731,3.0
170,311,5.0,967,4.0
44,420,2.0,453,4.0
274,618,3.0,1661,2.0
16,1057,4.0,1052,4.0
334,1584,3.0,1615,3.0
129,1490,5.0,1270,3.0
39,1539,4.0,212,5.0
33,193,4.0,1141,4.0
438,101,4.0,104,3.0
11,1463,4.0,936,4.0
181,1421,5.0,622,3.0
37,1200,5.0,165,5.0
15,288,4.0,444,3.0
129,1488,5.0,1048,5.0
24,539,3.0,1341,3.0
154,1638,4.0,1068,3.0
209,216,3.0,1162,4.0
11,1717,4.0,263,5.0
40,518,5.0,471,5.0
140,997,3.0,294,2.0
238,1619,4.0,1364,3.0
42,1478,3.0,921,2.0
282,352,5.0,731,5.0
149,1635,2.0,636,3.0
661,1315,4.0,820,4.0
8,1611,5.0,1341,5.0
129,872,4.0,138,5.0
95,985,4.0,429,5.0
200,227,5.0,567,4.0
44,707,5.0,189,2.0
183,8,4.0,1450,5.0
62,1561,5.0,1004,5.0
26,1579,5.0,892,5.0
510,865,4.0,1314,4.0
23,145,4.0,91,4.0
83,1426,3.0,218,3.0
51,1696,5.0,452,5.0
314,1753,3.0,622,4.0
355,996,4.0,654,2.0
110,1066,3.0,602,1.0
81,176,3.0,505,4.0
172,1420,2.0,1357,4.0
219,1410,3.0,424,4.0
216,537,5.0,732,3.0
190,59,4.0,333,4.0
110,1345,3.0,281,3.0
7,0,4.0,574,5.0
40,353,5.0,477,4.0
16,208,4.0,143,4.0
1,306,4.0,167,5.0
0,193,3.0,580,4.0
26,1488,5.0,1699,4.0
85,1474,4.0,357,3.0
145,897,3.0,1111,3.0
49,955,5.0,1564,5.0
51,1252,5.0,87,5.0
86,1172,3.0,1182,4.0
262,1654,5.0,585,3.0
105,1586,2.0,1432,4.0
76,1269,5.0,906,3.0
49,576,5.0,321,4.0
146,1093,4.0,1096,5.0
44,701,5.0,1422,3.0
343,1286,4.0,1071,4.0
37,165,5.0,1433,5.0
49,289,3.0,269,4.0
143,912,3.0,1679,2.0
218,1473,5.0,617,1.0
245,1282,5.0,1334,5.0
16,1603,5.0,1044,4.0
193,711,5.0,892,5.0
16,1588,3.0,1406,4.0
15,1399,3.0,731,4.0
400,873,4.0,351,4.0
51,1377,5.0,820,4.0
38,1664,4.0,793,5.0
44,1664,4.0,1735,1.0
43,1059,5.0,990,5.0
571,357,3.0,1517,4.0
225,396,5.0,1455,4.0
30,1415,3.0,858,5.0
202,853,4.0,811,4.0
149,834,4.0,1021,5.0
152,1303,3.0,1181,4.0
8,1432,5.0,1131,5.0
197,34,5.0,1160,4.0
313,1034,5.0,1738,4.0
40,453,4.0,103,4.0
183,977,5.0,567,3.0
199,820,3.0,735,2.0
37,1205,4.0,1615,3.0
23,936,5.0,313,4.0
63,621,5.0,1757,2.0
216,709,3.0,987,3.0
0,1093,5.0,1195,3.0
272,1248,5.0,1637,4.0
190,1428,4.0,1005,4.0
81,1169,4.0,1647,5.0
377,1129,2.0,506,4.0
49,1025,2.0,101,2.0
145,883,2.0,773,3.0
604,1253,3.0,1158,4.0
34,1200,3.0,806,4.0
44,791,4.0,109,4.0
629,658,4.0,1602,2.0
23,1602,4.0,1637,4.0
54,758,5.0,1609,2.0
525,187,4.0,1006,4.0
15,834,3.0,133,4.0
164,1105,4.0,157,4.0
11,16,4.0,46,4.0
127,306,3.0,262,4.0
230,353,4.0,744,4.0
113,361,3.0,927,3.0
442,1314,2.0,1667,3.0
439,1632,3.0,1364,5.0
106,1177,4.0,924,3.0
81,582,4.0,639,5.0
62,998,5.0,730,1.0
24,877,1.0,735,3.0
266,684,4.0,845,2.0
190,603,4.0,860,3.0
2,1642,4.0,1278,4.0
23,332,4.0,604,4.0
81,215,3.0,540,5.0
208,1664,4.0,1480,1.0
76,884,4.0,1326,5.0
11,565,5.0,331,5.0
49,1203,4.0,1327,4.0
8,602,5.0,90,5.0
340,1475,1.0,702,3.0
8,512,4.0,313,5.0
222,1344,4.0,1107,5.0
143,530,3.0,708,5.0
110,1314,5.0,1290,5.0
106,1588,3.0,846,3.0
15,337,4.0,439,5.0
222,1100,3.0,1164,4.0
63,448,4.0,1577,5.0
108,425,5.0,319,4.0
54,1552,4.0,311,4.0
15,82,4.0,12,4.0
150,1106,2.0,1004,2.0
274,583,3.0,473,4.0
274,1694,4.0,894,3.0
49,1654,4.0,86,5.0
428,1399,4.0,968,5.0
217,530,3.0,1047,4.0
129,1309,3.0,1598,4.0
8,1698,5.0,460,5.0
76,146,5.0,519,4.0
99,408,5.0,1534,3.0
193,1745,5.0,360,5.0
272,700,4.0,845,4.0
37,1594,4.0,462,4.0
704,1393,1.0,269,4.0
26,1559,5.0,1017,4.0
19,1153,4.0,958,4.0
152,1047,4.0,1563,5.0
92,1577,4.0,943,4.0
0,914,3.0,37,5.0
16,218,2.0,1210,3.0
81,929,5.0,1381,5.0
197,1600,4.0,1564,3.0
774,405,3.0,1054,4.0
15,962,5.0,1135,4.0
97,500,5.0,505,5.0
174,293,3.0,332,3.0
105,992,5.0,1041,4.0
44,1539,5.0,701,5.0
54,614,4.0,1548,4.0
0,1122,2.0,1251,5.0
328,1093,2.0,650,5.0
23,640,5.0,1625,3.0
375,1303,3.0,1372,4.0
1,535,4.0,1647,4.0
149,1043,3.0,1652,4.0
290,1433,2.0,859,1.0
343,1329,3.0,506,4.0
358,816,4.0,1084,3.0
105,853,5.0,397,4.0
248,352,5.0,271,3.0
44,569,2.0,1514,3.0
661,1025,3.0,428,3.0
92,1651,5.0,659,5.0
354,1006,4.0,607,4.0
183,500,5.0,791,4.0
136,354,5.0,1173,1.0
83,572,3.0,1343,4.0
81,1428,4.0,937,4.0
124,1637,4.0,1530,4.0
49,1223,4.0,489,5.0
26,452,4.0,1291,4.0
172,283,4.0,622,1.0
223,1303,4.0,1479,4.0
157,1364,5.0,101,2.0
205,233,5.0,62,4.0
146,471,3.0,1721,5.0
587,1235,3.0,1594,3.0
337,410,3.0,781,1.0
183,1668,4.0,1309,4.0
76,193,5.0,455,2.0
202,227,3.0,263,4.0
11,372,4.0,557,4.0
68,309,4.0,397,4.0
415,1056,4.0,1604,3.0
68,949,4.0,102,5.0
85,1344,5.0,25,4.0
1,598,2.0,970,5.0
585,502,3.0,444,3.0
280,43,4.0,1374,2.0
0,539,4.0,459,2.0
162,1070,4.0,143,5.0
183,1463,4.0,1694,4.0
127,1169,2.0,382,4.0
44,64,4.0,124,4.0
207,374,2.0,254,1.0
16,837,5.0,1049,4.0
44,227,5.0,1254,5.0
246,390,3.0,648,3.0
321,594,4.0,1642,3.0
177,949,4.0,1429,4.0
26,709,4.0,395,4.0
93,1649,5.0,259,4.0
81,1237,5.0,990,4.0
25,146,3.0,107,4.0
44,273,3.0,537,3.0
49,1252,3.0,1581,3.0
749,966,4.0,1017,2.0
16,1346,2.0,616,4.0
85,913,3.0,159,5.0
27,963,4.0,259,3.0
106,323,3.0,1588,3.0
