item,user-1,rating-1,user-2,rating-2,user-3,rating-3,user-4,rating-4,user-5,rating-5,user-6,rating-6
145,1060,,454,5.0,762,4.0,571,4.0,1307,2.0,319,4.0
38,912,,934,,759,2.0,1065,5.0,251,5.0,990,5.0
44,1603,4.0,1512,4.0,1609,5.0,1548,,1436,3.0,1533,4.0
23,1076,5.0,7,,1704,3.0,1259,3.0,1035,,429,5.0
76,357,3.0,1319,,1399,4.0,1724,5.0,653,2.0,575,
23,1590,,567,4.0,538,5.0,315,,1133,5.0,13,5.0
54,1168,4.0,833,,1601,4.0,1013,5.0,1414,4.0,1047,
129,883,,212,5.0,1300,5.0,1333,4.0,1674,5.0,156,
83,576,5.0,1377,4.0,1218,,217,2.0,890,2.0,1614,
83,960,,1651,4.0,820,3.0,325,,445,4.0,910,5.0
208,68,,1638,4.0,887,5.0,91,4.0,814,,207,3.0
16,160,,1254,3.0,25,5.0,1193,4.0,1277,,526,4.0
33,1056,5.0,1586,3.0,964,,1751,,1754,4.0,860,5.0
11,1379,,502,5.0,903,5.0,345,5.0,591,3.0,495,
23,163,4.0,1315,,1239,4.0,1098,3.0,1018,4.0,989,
149,1521,,723,4.0,1157,4.0,344,,824,4.0,461,3.0
32,834,5.0,99,3.0,165,5.0,262,4.0,1147,,1405,
230,500,4.0,1060,4.0,1621,2.0,861,,1647,5.0,1631,
185,832,4.0,1334,,215,4.0,1401,,124,3.0,717,5.0
61,1010,4.0,1524,5.0,328,,633,4.0,1386,4.0,62,5.0
11,1331,,1172,3.0,565,5.0,920,4.0,1720,4.0,1562,
180,1667,4.0,25,4.0,1450,4.0,1741,,1517,,1711,3.0
190,690,3.0,819,4.0,677,,283,4.0,603,4.0,12,
225,560,4.0,416,,1666,,1301,2.0,1642,5.0,383,4.0
40,467,3.0,965,4.0,1301,,585,3.0,969,5.0,539,
23,384,5.0,1377,4.0,1697,4.0,546,,20,5.0,1174,
54,802,5.0,1252,5.0,1415,,1117,,1421,5.0,31,5.0
44,100,,294,5.0,104,,1050,2.0,639,5.0,1407,5.0
8,112,4.0,1425,3.0,489,5.0,378,5.0,941,,1438,
23,528,5.0,1041,5.0,1201,,1604,,263,5.0,1242,5.0
73,226,,162,3.0,522,,634,2.0,444,3.0,732,2.0
190,1058,4.0,1747,5.0,1380,4.0,662,,73,,831,5.0
113,949,3.0,519,5.0,314,5.0,461,4.0,863,,143,3.0
149,1328,,337,4.0,1606,5.0,87,4.0,571,4.0,1583,
49,1507,4.0,227,5.0,1095,4.0,1385,,1179,5.0,1163,
16,498,3.0,1206,,103,4.0,584,,1529,5.0,507,4.0
44,1142,,1735,1.0,791,4.0,508,4.0,1532,,333,4.0
69,498,,146,5.0,469,,1718,5.0,185,3.0,937,5.0
113,981,,520,3.0,890,3.0,267,,1260,5.0,1358,4.0
44,1330,,103,5.0,603,4.0,1468,4.0,716,3.0,77,
33,353,2.0,435,3.0,99,,788,4.0,653,,717,5.0
81,739,,1076,5.0,1349,4.0,633,5.0,1692,5.0,908,
16,608,4.0,1250,5.0,51,3.0,1434,4.0,1405,,1215,
11,336,,322,3.0,135,,589,5.0,46,4.0,190,5.0
49,419,4.0,1444,,101,2.0,1222,5.0,1209,5.0,1390,
33,722,3.0,851,3.0,293,4.0,374,4.0,1606,4.0,1434,
8,816,3.0,436,2.0,1317,5.0,1414,,875,,1052,5.0
190,130,,1075,4.0,1253,4.0,1144,4.0,874,4.0,1403,
26,867,5.0,231,5.0,1128,5.0,109,3.0,1534,4.0,431,
11,1600,2.0,690,4.0,707,5.0,963,5.0,520,5.0,669,
49,1570,5.0,1123,4.0,1175,4.0,728,,1516,,1662,5.0
8,800,,592,,1158,4.0,1417,5.0,169,5.0,1194,5.0
200,98,,122,3.0,364,5.0,172,5.0,1533,2.0,61,
222,546,,788,4.0,1365,,693,5.0,1223,4.0,363,3.0
16,1731,1.0,1315,,1701,3.0,1510,,489,4.0,843,4.0
81,1168,5.0,1316,,439,4.0,1692,5.0,1151,4.0,1679,
11,193,4.0,773,5.0,950,4.0,904,,425,,153,4.0
15,752,5.0,258,5.0,1253,2.0,1398,5.0,187,,271,3.0
68,1122,2.0,1570,,1028,5.0,697,4.0,10,,1564,1.0
180,1472,4.0,1136,5.0,1122,3.0,1270,3.0,1001,4.0,927,3.0
33,1027,5.0,1747,,996,5.0,1131,5.0,381,,637,3.0
129,17,3.0,614,,1369,,1017,4.0,540,5.0,1533,4.0
208,977,4.0,1171,4.0,885,,198,,1657,5.0,78,3.0
129,34,,615,5.0,1738,4.0,1322,2.0,1019,,604,5.0
229,1699,5.0,1241,,971,4.0,1099,,316,5.0,14,5.0
26,1601,4.0,370,5.0,1076,4.0,1412,,217,,1565,4.0
129,81,,134,,1403,4.0,62,4.0,415,5.0,1263,4.0
49,1248,,322,4.0,1717,4.0,648,5.0,746,,1564,5.0
1,1728,,161,4.0,706,4.0,772,2.0,101,3.0,1510,
44,659,,580,4.0,484,5.0,1016,,137,3.0,860,5.0
81,34,4.0,294,5.0,1371,5.0,1100,4.0,60,,1053,
15,4,,507,4.0,1691,4.0,206,5.0,110,,415,3.0
81,610,,450,5.0,263,3.0,1577,5.0,1516,,972,4.0
127,1072,4.0,945,,411,4.0,1581,4.0,31,5.0,1343,
109,1552,,263,5.0,746,4.0,156,4.0,670,5.0,1391,
25,288,,560,1.0,1745,4.0,468,4.0,1271,3.0,489,2.0
81,849,3.0,533,,1751,,1692,5.0,573,4.0,878,5.0
81,1168,5.0,1361,,1314,4.0,246,,999,5.0,1485,5.0
177,592,5.0,611,,1270,5.0,230,,1641,5.0,1706,4.0
44,1057,,722,5.0,133,4.0,1657,5.0,717,5.0,1038,
208,594,5.0,1522,4.0,259,,132,4.0,505,4.0,332,4.0
42,1698,5.0,1033,,602,1.0,1403,3.0,1643,4.0,844,
181,546,,1092,,311,4.0,1196,2.0,1341,2.0,974,4.0
8,352,4.0,1685,4.0,1319,,520,4.0,762,4.0,143,
81,1056,5.0,1061,5.0,1477,,406,5.0,1705,4.0,479,
375,752,3.0,594,,1078,4.0,423,,892,3.0,125,1.0
44,1425,5.0,34,5.0,931,,246,5.0,1723,,523,3.0
208,256,5.0,337,,468,4.0,420,5.0,1669,,1415,5.0
208,529,,1733,,1093,5.0,263,5.0,1450,4.0,684,4.0
23,656,4.0,1456,,166,5.0,135,,235,4.0,126,5.0
49,115,,227,5.0,471,5.0,183,5.0,1672,,1050,3.0
222,288,3.0,880,5.0,1617,,20,5.0,1628,,1374,2.0
44,849,4.0,1331,,1176,4.0,760,,1241,3.0,623,5.0
208,1490,1.0,1333,5.0,423,,1272,,345,4.0,1327,5.0
81,1012,5.0,1061,5.0,999,5.0,631,4.0,967,5.0,1438,2.0
8,82,5.0,357,5.0,1079,4.0,1052,5.0,350,,1102,4.0
1,498,,1378,4.0,532,3.0,746,,459,2.0,411,4.0
11,1171,5.0,1561,5.0,122,5.0,1147,,1532,,831,4.0
81,1042,,1718,4.0,278,3.0,567,4.0,152,5.0,750,5.0
219,1025,1.0,326,,183,4.0,875,,1580,4.0,286,4.0
81,1168,5.0,1621,5.0,1100,4.0,1326,,94,5.0,223,
680,1603,5.0,116,,167,4.0,1241,,1132,4.0,1181,5.0
1,1729,,146,2.0,1138,,20,4.0,532,3.0,1722,4.0
23,675,4.0,998,5.0,1145,,843,5.0,366,,78,4.0
49,736,4.0,1475,5.0,724,5.0,1718,,266,,333,5.0
38,1089,,1300,4.0,501,3.0,1333,3.0,102,,1255,3.0
86,816,,309,5.0,1637,4.0,1688,1.0,1151,,607,5.0
129,864,,561,3.0,868,5.0,901,,876,4.0,877,3.0
23,963,4.0,243,5.0,296,,1673,5.0,217,5.0,827,
222,1122,4.0,1493,,1658,4.0,858,3.0,1228,3.0,383,5.0
44,329,4.0,1067,5.0,796,5.0,813,,653,,831,5.0
314,1122,2.0,291,2.0,355,,565,,1564,3.0,1535,4.0
54,1280,5.0,1426,5.0,1749,,1589,4.0,1511,4.0,894,5.0
16,432,,1094,3.0,379,,1020,4.0,943,3.0,351,3.0
296,1536,5.0,594,,357,4.0,679,5.0,89,,1738,4.0
44,944,,848,3.0,1362,,789,4.0,1626,3.0,1310,4.0
50,1411,,724,4.0,1467,5.0,683,,717,5.0,559,3.0
11,1728,4.0,144,5.0,246,5.0,360,,1048,5.0,109,4.0
49,1681,,1684,4.0,404,5.0,520,5.0,1002,,138,4.0
358,1632,4.0,1057,4.0,834,4.0,1494,5.0,1271,,295,
212,1745,4.0,405,3.0,21,,1175,2.0,1447,,1341,3.0
49,178,,839,5.0,985,5.0,990,4.0,350,5.0,1439,
192,1425,,280,3.0,602,1.0,1403,,1020,3.0,332,3.0
208,611,,227,3.0,662,5.0,793,,858,5.0,330,5.0
64,1552,3.0,1681,4.0,1250,,1703,,1437,3.0,478,3.0
49,1584,5.0,1601,3.0,983,4.0,11,2.0,331,,669,
16,929,,1011,4.0,789,5.0,1722,5.0,523,3.0,1197,
26,709,4.0,886,,214,5.0,205,4.0,1662,4.0,1391,
23,1200,,101,4.0,279,5.0,520,5.0,795,5.0,159,
44,1570,,1541,3.0,1591,3.0,489,4.0,76,5.0,830,
83,387,3.0,1253,4.0,1448,5.0,1672,,1598,3.0,1150,
16,1156,3.0,1590,,1704,,1564,3.0,1054,5.0,735,3.0
44,756,3.0,997,4.0,744,5.0,409,,1722,4.0,1405,
8,1555,5.0,901,3.0,793,2.0,1741,,686,5.0,174,
44,560,4.0,1041,4.0,1300,,502,4.0,1480,3.0,991,
1,480,5.0,1570,,242,,1011,3.0,54,4.0,783,4.0
532,721,,1285,,326,4.0,1270,4.0,91,4.0,557,4.0
16,1073,,1698,3.0,2,,212,5.0,191,3.0,1327,4.0
38,1552,4.0,244,4.0,118,3.0,183,3.0,520,,205,5.0
43,225,5.0,1060,5.0,1671,1.0,1641,,366,,942,5.0
51,929,,978,5.0,1220,1.0,425,4.0,411,,460,5.0
23,1430,,314,4.0,1018,4.0,1739,,907,3.0,303,5.0
51,1733,2.0,679,5.0,1469,,573,5.0,1534,4.0,1535,
180,1235,3.0,387,,169,,1594,4.0,1418,4.0,988,5.0
23,96,,640,5.0,1129,5.0,27,,1692,5.0,1246,5.0
208,1490,1.0,786,,1654,4.0,717,5.0,141,4.0,1693,
62,276,4.0,55,,1611,5.0,124,,1694,4.0,430,3.0
23,704,5.0,1265,5.0,931,,597,,826,5.0,652,5.0
44,1491,4.0,1667,4.0,1013,5.0,453,4.0,1080,,1084,3.0
43,32,3.0,213,,646,4.0,842,,605,3.0,879,5.0
49,1504,4.0,1329,,1127,1.0,568,,1642,5.0,559,5.0
49,226,5.0,1154,3.0,579,,1673,4.0,1386,,13,3.0
342,1362,,1621,3.0,1254,3.0,502,1.0,1370,,251,3.0
16,819,2.0,484,,121,,985,3.0,444,4.0,732,3.0
0,1699,,1398,4.0,1383,,1513,4.0,1099,5.0,1036,4.0
129,19,5.0,1188,5.0,309,,1562,,1583,4.0,1439,5.0
11,1025,5.0,88,,1433,3.0,298,4.0,1213,4.0,925,2.0
8,496,5.0,915,4.0,421,,1269,5.0,330,5.0,140,4.0
81,19,,1267,5.0,1683,,1635,5.0,1625,3.0,1642,3.0
16,1461,,1529,5.0,1708,3.0,206,4.0,1646,,223,3.0
278,1108,,1637,4.0,325,4.0,790,,25,4.0,1388,4.0
122,547,5.0,915,5.0,1461,,309,5.0,678,4.0,815,4.0
81,473,5.0,1177,5.0,1387,,924,5.0,1134,,1422,4.0
208,657,4.0,550,4.0,439,,92,,1086,5.0,1263,4.0
16,1617,,434,5.0,1524,5.0,245,4.0,1015,,62,4.0
209,1680,3.0,1072,3.0,1328,,1488,4.0,738,,1241,3.0
61,468,4.0,69,5.0,455,4.0,1466,,1372,,844,4.0
51,1024,5.0,738,5.0,120,1.0,1481,5.0,1114,,845,
37,499,,1364,4.0,965,5.0,5,3.0,537,4.0,1467,
1,1536,5.0,1253,4.0,822,4.0,679,2.0,204,,351,3.0
40,18,5.0,83,,627,2.0,132,5.0,486,,969,5.0
23,1073,5.0,1187,,1221,,119,4.0,586,4.0,1631,1.0
23,193,5.0,1266,,1318,4.0,216,3.0,585,5.0,410,
15,162,5.0,723,3.0,1188,5.0,1175,2.0,104,3.0,186,4.0
190,1377,4.0,68,,747,3.0,1516,4.0,1741,,1102,2.0
11,1218,,722,3.0,1333,5.0,587,,796,5.0,1135,4.0
54,3,5.0,4,5.0,789,,1032,,11,4.0,1182,5.0
81,1651,5.0,1352,,1128,5.0,265,4.0,587,4.0,863,4.0
49,1348,,1621,,102,5.0,1542,4.0,86,5.0,761,3.0
23,726,4.0,535,,600,4.0,1116,,1164,4.0,94,4.0
8,1447,,9,4.0,714,3.0,251,5.0,604,5.0,476,5.0
85,436,,1383,4.0,185,3.0,619,5.0,443,2.0,431,
208,1730,,978,4.0,804,4.0,1627,5.0,1565,3.0,1327,5.0
193,306,3.0,1314,5.0,967,4.0,1224,,523,4.0,93,
51,1265,5.0,681,5.0,1643,5.0,939,5.0,603,5.0,1628,4.0
15,193,,641,,1699,5.0,1129,4.0,1418,5.0,106,5.0
42,162,,1524,,1141,4.0,357,3.0,1611,2.0,1246,4.0
8,880,5.0,1154,4.0,755,4.0,759,4.0,1097,,299,3.0
317,1088,,1441,,18,3.0,85,4.0,280,3.0,1066,4.0
274,1603,5.0,307,,1203,4.0,20,5.0,821,4.0,1510,
11,1425,4.0,1411,3.0,1128,5.0,1592,3.0,891,,1533,3.0
51,224,,592,,820,4.0,758,5.0,1334,4.0,685,4.0
83,1012,5.0,1433,4.0,345,4.0,1065,4.0,1498,,1452,
49,224,,390,5.0,1111,4.0,1400,5.0,618,4.0,188,
129,576,5.0,391,,1720,4.0,460,,1534,5.0,1455,5.0
11,856,5.0,1723,,428,5.0,188,,1518,3.0,703,4.0
33,1668,4.0,1671,4.0,904,,712,,571,4.0,1631,4.0
86,405,3.0,999,2.0,1143,,791,3.0,794,,831,4.0
222,1520,4.0,1186,4.0,323,3.0,548,,90,,1374,2.0
209,817,2.0,744,5.0,521,4.0,1210,2.0,1294,,1519,
11,485,4.0,1351,5.0,1707,4.0,1372,,604,4.0,748,
225,133,4.0,1398,,328,,761,5.0,361,4.0,462,4.0
277,1569,,1538,,708,2.0,490,4.0,717,4.0,1375,5.0
54,1216,,1104,,4,5.0,1304,4.0,1480,2.0,780,5.0
43,802,,1202,,1284,3.0,1047,4.0,461,5.0,717,5.0
11,1172,3.0,695,4.0,1624,,585,2.0,1577,5.0,1388,3.0
44,610,2.0,1091,4.0,118,,1559,3.0,1177,,909,5.0
62,1536,2.0,453,3.0,23,2.0,684,,110,1.0,1695,
