item,user-1,rating-1,user-2,rating-2,user-3,rating-3,user-4,rating-4,user-5,rating-5,user-6,rating-6,user-7,rating-7
8,144,4.0,1427,,356,2.0,314,5.0,1036,5.0,1356,3.0,1327,5.0
38,912,,496,,211,,1285,3.0,1750,4.0,1337,5.0,1694,4.0
0,1104,,417,1.0,1442,2.0,1478,4.0,248,,1452,,829,2.0
223,1136,5.0,320,,357,5.0,501,3.0,773,2.0,1450,,685,
40,176,5.0,1729,,404,,22,5.0,1031,4.0,1162,,863,5.0
23,384,5.0,1728,5.0,1570,,341,4.0,917,,26,,126,5.0
81,1651,5.0,230,4.0,1416,,109,4.0,1534,5.0,1727,,1519,
49,502,2.0,726,4.0,185,3.0,1691,,189,5.0,30,5.0,574,4.0
26,1552,5.0,721,,323,4.0,1380,4.0,807,,1003,5.0,511,
238,529,,82,,1635,4.0,532,5.0,1492,,281,3.0,779,4.0
230,561,2.0,1011,,244,2.0,837,,1606,4.0,1530,4.0,671,
49,99,4.0,244,4.0,237,3.0,861,,894,5.0,495,,1103,4.0
166,243,,1508,,740,3.0,309,3.0,58,4.0,1354,3.0,428,
27,289,,963,4.0,1013,3.0,1125,5.0,456,,812,,1341,4.0
44,1361,5.0,1329,5.0,513,5.0,679,2.0,1511,,574,,1295,4.0
44,1664,4.0,928,,562,,1090,4.0,931,,101,4.0,1599,4.0
23,1428,5.0,693,,262,5.0,535,,152,5.0,907,3.0,1501,5.0
11,304,,353,,961,5.0,1442,3.0,150,3.0,1222,,1195,5.0
26,658,5.0,597,,1621,5.0,77,4.0,1102,5.0,190,,1503,4.0
49,864,4.0,786,5.0,754,4.0,1075,,1077,5.0,613,,991,
354,641,1.0,657,4.0,1607,,537,3.0,1211,,654,5.0,1134,
43,880,5.0,146,5.0,451,,1572,,677,5.0,1594,4.0,1757,
51,1744,,498,5.0,1381,5.0,1654,4.0,326,5.0,637,,351,3.0
15,1254,,38,5.0,840,5.0,1497,5.0,1722,,990,5.0,1166,
127,18,3.0,788,5.0,887,,1244,,1581,4.0,1485,,447,3.0
86,118,3.0,1606,5.0,870,4.0,1480,,1464,,1436,4.0,1341,
81,1489,,434,,50,5.0,617,,1146,5.0,602,2.0,251,4.0
81,1360,,1012,5.0,324,4.0,25,5.0,1531,4.0,956,5.0,941,
208,1539,5.0,1237,5.0,918,,858,5.0,315,5.0,1149,,781,4.0
113,1632,4.0,645,4.0,647,,249,,378,5.0,1293,,1278,3.0
43,736,,753,,391,4.0,1127,4.0,1112,5.0,60,5.0,285,
16,385,,306,4.0,1046,,1047,4.0,1032,3.0,156,,1694,4.0
11,929,,18,4.0,1107,,1027,5.0,85,,423,2.0,793,4.0
23,209,4.0,1226,3.0,730,2.0,427,,1611,4.0,878,4.0,1662,4.0
1,769,4.0,161,4.0,1698,4.0,227,5.0,452,5.0,281,4.0,380,
127,608,,960,,1606,5.0,695,4.0,1145,,58,4.0,556,4.0
69,881,5.0,227,5.0,118,,1020,,334,4.0,207,5.0,63,5.0
44,977,4.0,657,5.0,1026,5.0,436,,1004,4.0,142,,1375,3.0
200,1136,2.0,1682,4.0,1033,,649,5.0,761,3.0,1756,,1438,
23,339,,1156,5.0,262,5.0,1335,4.0,407,,1304,5.0,1132,4.0
129,212,5.0,1365,4.0,792,,281,3.0,684,3.0,1516,,1165,5.0
8,802,,306,5.0,835,4.0,131,,681,,188,4.0,1343,5.0
11,1216,,833,3.0,1442,3.0,1753,5.0,301,,334,3.0,318,
8,928,,1745,4.0,209,,1032,4.0,1753,5.0,1147,,958,4.0
23,1488,5.0,1152,,882,5.0,1012,5.0,534,,1674,5.0,1180,4.0
16,1680,2.0,705,4.0,98,5.0,482,,1572,,874,2.0,1643,4.0
33,640,,1298,,834,4.0,1654,3.0,475,4.0,1388,4.0,924,4.0
43,1536,5.0,122,4.0,602,3.0,1212,,13,,974,5.0,671,4.0
223,390,4.0,999,5.0,1463,4.0,299,4.0,427,,1053,,1277,
11,1472,4.0,1428,4.0,470,3.0,502,5.0,364,5.0,941,,847,3.0
11,1538,,1637,4.0,887,5.0,391,5.0,680,5.0,1465,,1261,
246,946,,1715,,1732,5.0,212,4.0,167,5.0,970,,415,4.0
193,1570,,228,2.0,1049,5.0,475,,315,4.0,1100,4.0,156,4.0
81,1603,5.0,196,,950,4.0,856,4.0,889,,1753,5.0,207,2.0
43,593,,242,,180,,244,3.0,1434,4.0,221,4.0,574,5.0
109,1602,,707,5.0,133,3.0,597,4.0,408,,792,,505,4.0
49,1553,,257,,1058,5.0,1716,2.0,1156,1.0,501,4.0,1518,
0,530,4.0,1682,,1654,4.0,488,,1128,4.0,876,3.0,924,4.0
40,833,,1009,5.0,1525,5.0,1336,,1387,5.0,124,4.0,1022,
225,435,,500,4.0,920,,1228,4.0,1628,1.0,1102,,1327,5.0
44,1282,5.0,1321,,505,,1049,4.0,1178,,107,3.0,699,5.0
51,1426,4.0,1427,,548,,726,4.0,1321,5.0,473,4.0,287,
105,1314,4.0,418,,628,3.0,1716,,1434,,106,1.0,1613,2.0
76,133,5.0,918,,8,4.0,521,5.0,125,1.0,350,,1374,
37,51,5.0,1093,4.0,1525,,630,,1357,5.0,221,4.0,1677,
1,1476,,1444,4.0,1254,3.0,1158,4.0,1611,4.0,207,3.0,991,
68,1169,1.0,1281,,915,4.0,326,,375,4.0,219,,686,4.0
161,1600,3.0,645,3.0,981,,294,4.0,1051,4.0,380,,700,4.0
81,1296,,1301,5.0,1157,5.0,438,4.0,1686,5.0,826,,1229,5.0
0,69,,517,2.0,822,,1639,5.0,330,4.0,1421,4.0,62,
213,480,4.0,629,,837,,1269,5.0,618,4.0,1180,,188,4.0
33,928,5.0,1041,3.0,1713,3.0,737,,1141,4.0,1466,3.0,463,
16,193,,818,,674,,3,5.0,692,4.0,647,5.0,1244,1.0
105,1283,,282,,1019,2.0,1515,,1307,2.0,62,3.0,1647,1.0
16,960,,481,3.0,737,,1041,4.0,905,4.0,316,,253,4.0
16,1264,,483,4.0,520,4.0,109,3.0,861,,1326,,1454,1.0
51,435,3.0,1331,,756,,1397,,454,5.0,906,4.0,604,4.0
317,1364,,980,3.0,1701,3.0,903,4.0,1207,,1112,5.0,1258,
193,643,5.0,515,,37,3.0,585,4.0,1098,5.0,810,,1020,3.0
8,1344,5.0,420,4.0,356,2.0,357,5.0,1077,5.0,265,,1663,4.0
8,881,4.0,820,5.0,452,5.0,1430,4.0,1286,,1131,5.0,1611,5.0
15,374,3.0,599,,104,3.0,1529,,1259,5.0,700,,1135,4.0
26,929,5.0,162,,148,,133,5.0,901,3.0,411,5.0,173,
1,1733,,1302,4.0,1354,,1740,,332,2.0,1006,3.0,1375,3.0
11,961,5.0,1169,,836,,1220,4.0,324,3.0,892,5.0,111,
85,805,,1222,3.0,40,,824,,840,4.0,619,5.0,1006,5.0
81,980,,1381,5.0,1733,3.0,1718,4.0,1341,,829,,814,4.0
11,1495,,360,,106,5.0,1391,3.0,559,5.0,31,5.0,575,
43,96,,144,,1153,4.0,1745,3.0,1016,5.0,1417,5.0,110,
23,1234,,676,5.0,341,4.0,1014,5.0,1096,2.0,664,5.0,1516,
49,896,,1664,5.0,1025,2.0,1635,4.0,1542,4.0,1135,,495,
16,273,3.0,2,,149,5.0,1718,,871,,248,3.0,78,3.0
8,1056,3.0,948,5.0,103,,1306,5.0,1085,,542,3.0,639,2.0
129,130,,306,5.0,418,5.0,275,,263,4.0,1194,,1071,5.0
15,128,,240,,41,5.0,586,5.0,1069,5.0,1663,4.0,111,4.0
43,1107,5.0,580,,807,5.0,167,5.0,1127,4.0,1403,5.0,1039,3.0
223,739,4.0,1527,,295,4.0,713,3.0,715,,1677,,989,4.0
229,1461,,1000,,456,4.0,1193,5.0,1322,,1020,3.0,301,5.0
83,1105,,1381,4.0,165,,1336,,1723,3.0,141,5.0,1743,5.0
230,1680,3.0,738,,1603,5.0,1091,,244,2.0,411,4.0,366,
222,323,3.0,1556,,101,4.0,1735,,841,1.0,444,4.0,1212,4.0
149,1201,4.0,594,5.0,1427,,355,,806,2.0,1548,,1278,4.0
119,576,4.0,640,,1648,,1680,3.0,1041,4.0,870,,1031,4.0
129,1188,5.0,965,5.0,197,3.0,1446,,23,,698,,1309,3.0
149,1250,4.0,563,4.0,1059,4.0,1492,,548,,1590,,781,4.0
127,1490,5.0,599,5.0,761,4.0,457,,473,5.0,926,,991,
129,520,4.0,1337,5.0,634,5.0,427,5.0,685,,1277,,862,
61,864,5.0,660,,103,4.0,359,4.0,184,3.0,1662,4.0,1487,
8,1554,4.0,1075,,405,3.0,1019,5.0,1118,,526,5.0,734,4.0
129,816,,113,,1571,5.0,212,5.0,1591,2.0,839,5.0,425,
127,584,,280,3.0,265,,619,3.0,875,5.0,348,,1182,5.0
11,913,3.0,488,,1513,5.0,233,,12,4.0,1564,4.0,1055,
26,657,5.0,1570,5.0,978,,1061,,455,4.0,862,5.0,1022,5.0
11,81,4.0,163,4.0,899,,793,4.0,1579,,109,4.0,494,3.0
8,1253,5.0,967,5.0,77,5.0,1613,,1230,,15,2.0,1167,4.0
23,1697,4.0,1365,4.0,1511,,1209,3.0,1338,,1742,,1551,5.0
200,1105,,1171,,228,1.0,1463,4.0,888,5.0,490,4.0,604,4.0
129,928,5.0,1249,,1522,5.0,826,5.0,1100,,1598,4.0,799,5.0
81,819,,1524,,1621,5.0,888,4.0,1100,4.0,1486,5.0,510,
183,336,4.0,567,3.0,1498,,797,4.0,990,4.0,207,5.0,1039,
26,1072,3.0,274,3.0,195,,788,4.0,789,3.0,748,4.0,255,
51,576,4.0,583,5.0,1576,5.0,728,,1449,5.0,1467,,252,
26,17,5.0,1155,,1462,5.0,1334,5.0,1496,,810,,620,5.0
49,240,5.0,1088,,116,4.0,692,,1386,,1565,4.0,159,5.0
209,177,,18,3.0,970,4.0,826,5.0,1707,,44,,1006,4.0
246,96,3.0,721,,1441,,33,,1394,4.0,821,4.0,623,5.0
180,1265,5.0,532,5.0,53,,406,3.0,312,,126,3.0,799,
11,224,,81,4.0,497,4.0,1718,,714,4.0,971,3.0,1725,
15,1072,4.0,1284,4.0,1557,5.0,1109,,921,4.0,1532,,973,5.0
54,97,5.0,1449,4.0,970,5.0,330,4.0,539,,893,,1135,
16,86,4.0,600,2.0,936,5.0,682,,1546,3.0,732,3.0,924,5.0
172,1680,2.0,1635,2.0,739,,1000,,489,3.0,1595,3.0,158,5.0
15,1536,,897,,1490,5.0,438,4.0,1500,5.0,29,4.0,334,2.0
26,480,,97,5.0,1556,5.0,150,,281,4.0,1052,5.0,316,4.0
246,521,5.0,1129,,1642,4.0,571,5.0,971,4.0,270,4.0,430,
81,387,5.0,1460,4.0,1189,5.0,10,,1467,,605,4.0,478,
38,997,5.0,950,,1289,3.0,361,5.0,1546,,955,4.0,1517,
1,673,,1587,5.0,1065,3.0,1433,3.0,1131,,715,,1518,2.0
23,1651,5.0,643,,1652,,774,5.0,311,5.0,220,5.0,1724,
44,466,4.0,772,5.0,469,,1253,4.0,582,,746,,1020,4.0
190,834,5.0,1334,4.0,1432,,1498,,1453,4.0,1741,,734,4.0
149,51,,1653,,183,3.0,1255,3.0,615,5.0,584,,283,5.0
22,738,2.0,243,,250,,331,,1084,3.0,1068,4.0,269,3.0
49,832,4.0,834,3.0,263,4.0,841,,284,5.0,156,,876,4.0
37,1267,,468,5.0,1029,,405,5.0,1225,,1578,5.0,30,5.0
43,1138,5.0,324,,1479,4.0,666,3.0,1403,5.0,1710,5.0,1294,4.0
129,1120,5.0,1155,3.0,436,,633,5.0,314,5.0,651,5.0,587,
181,433,,132,1.0,774,,1210,1.0,109,3.0,430,,735,3.0
197,306,2.0,532,3.0,805,,23,,280,4.0,1464,,973,3.0
0,1442,2.0,1075,,310,,329,3.0,859,1.0,718,,1375,4.0
127,1072,4.0,1474,,88,5.0,186,5.0,732,4.0,428,,1359,
238,1109,,1334,5.0,1560,,587,,1086,4.0,1182,4.0,63,5.0
38,1523,5.0,1699,4.0,1735,5.0,1255,3.0,493,,158,,1630,
145,18,3.0,1191,,1687,,536,,731,4.0,926,5.0,862,2.0
11,321,4.0,865,5.0,1506,,308,5.0,1447,,665,,202,5.0
26,1025,1.0,241,3.0,1637,5.0,1319,,953,5.0,1373,,591,4.0
11,1728,4.0,179,4.0,117,,1080,,1627,5.0,1052,5.0,1566,
54,1201,,500,5.0,999,5.0,1239,,1226,,1354,5.0,891,5.0
374,80,3.0,502,2.0,1287,,648,4.0,28,,397,4.0,750,
122,624,2.0,210,3.0,115,4.0,916,5.0,855,4.0,1050,,1468,
54,660,,967,5.0,104,5.0,729,,413,,1310,5.0,1423,5.0
11,400,2.0,864,4.0,1491,,1014,4.0,1725,,1357,4.0,414,
193,949,4.0,981,,1335,,218,4.0,124,3.0,508,,1565,3.0
0,1026,5.0,914,3.0,1589,,631,,713,3.0,875,4.0,46,4.0
49,740,5.0,214,4.0,758,4.0,460,5.0,573,3.0,1630,4.0,1215,
23,913,5.0,1505,,258,1.0,340,4.0,709,,1497,5.0,29,4.0
205,1377,5.0,898,,851,2.0,1254,3.0,731,,1308,,415,5.0
222,1681,3.0,1090,,265,,668,,125,4.0,542,3.0,1374,2.0
26,592,,821,4.0,567,4.0,1368,,1146,,1421,5.0,62,4.0
37,1488,4.0,720,,1716,3.0,791,,1463,4.0,888,5.0,1503,3.0
177,306,4.0,1028,5.0,773,,1048,,1049,4.0,219,,1276,4.0
8,208,4.0,193,,821,4.0,1223,4.0,890,4.0,1484,2.0,1277,
8,961,5.0,1250,5.0,436,2.0,343,,1532,,558,4.0,1135,
81,225,,403,,947,5.0,967,5.0,1239,3.0,137,,301,5.0
105,1171,,1605,1.0,1564,3.0,1277,,526,,1183,4.0,543,1.0
23,400,,1730,,1508,4.0,1432,5.0,744,,1596,5.0,220,5.0
81,642,,1410,4.0,1414,3.0,22,5.0,567,4.0,780,,941,
49,1716,2.0,104,4.0,1722,,123,4.0,683,,1709,,494,4.0
122,514,,454,5.0,264,,858,5.0,172,,109,3.0,1182,2.0
44,1632,5.0,1345,,290,5.0,851,5.0,403,,212,4.0,1002,
222,194,,613,5.0,631,4.0,796,4.0,397,4.0,1071,,1615,
23,864,4.0,1635,3.0,1509,,1253,2.0,1399,4.0,649,,1627,
11,832,3.0,114,,1429,,1269,4.0,935,5.0,843,5.0,493,4.0
68,848,4.0,1284,4.0,1190,3.0,314,,1595,,1566,5.0,1343,
379,738,,1350,5.0,806,5.0,233,3.0,185,,733,,909,1.0
48,1684,,244,3.0,1275,,1372,5.0,334,5.0,590,,1086,5.0
1,1026,5.0,1555,,999,2.0,218,2.0,859,3.0,1197,,1295,
181,304,,1440,3.0,962,,1157,4.0,935,,1193,4.0,14,3.0
1,849,,406,5.0,520,4.0,1132,3.0,142,2.0,510,,847,
1,976,3.0,97,3.0,1572,,314,,1675,4.0,364,4.0,991,
183,946,,197,3.0,726,4.0,1499,,59,,1228,5.0,1711,5.0
81,1200,,1140,,1030,4.0,203,5.0,939,3.0,252,,319,4.0
83,176,5.0,1141,,1193,,1196,3.0,1213,5.0,558,3.0,239,
292,164,5.0,260,3.0,52,,1028,1.0,1399,5.0,199,,1658,
167,608,3.0,803,,632,3.0,1209,3.0,748,,1070,3.0,879,
8,1152,,33,5.0,1234,,5,,828,5.0,351,3.0,239,5.0
127,386,,1250,3.0,1238,,1031,5.0,1559,5.0,631,,410,4.0
44,1456,,1153,,242,3.0,1122,5.0,755,5.0,568,4.0,12,
15,1056,4.0,1603,5.0,918,,168,5.0,1752,5.0,618,,907,
16,470,3.0,903,5.0,1511,,1079,,71,5.0,297,,1609,5.0
68,1365,,997,5.0,199,,1479,2.0,842,3.0,429,4.0,1438,
222,609,,818,4.0,516,,507,4.0,1692,4.0,1422,,1374,2.0
1,131,,1172,3.0,1496,,233,1.0,1722,4.0,1579,,316,4.0
81,210,,1382,,1032,,26,5.0,1708,5.0,1279,5.0,911,4.0
197,1025,2.0,1042,,322,4.0,1701,3.0,1624,,280,4.0,1119,
661,533,4.0,1445,,53,,599,,1307,3.0,909,5.0,623,4.0
377,1170,5.0,307,,901,4.0,133,4.0,633,,138,4.0,1434,
81,1107,,1652,4.0,1685,5.0,1061,5.0,1432,5.0,1246,5.0,367,
183,1265,5.0,338,3.0,633,5.0,91,4.0,955,,1629,,687,
43,1360,5.0,961,5.0,37,,56,,41,3.0,1675,4.0,543,
81,577,4.0,1666,,1492,5.0,1462,,1095,5.0,1067,5.0,302,
15,432,4.0,417,,1282,4.0,1459,,805,1.0,1209,5.0,714,
223,802,4.0,419,,1034,3.0,1466,5.0,203,,1531,3.0,364,5.0
8,706,,290,5.0,603,3.0,1243,,1148,,444,4.0,828,5.0
61,835,,1126,4.0,1256,3.0,1242,4.0,1658,4.0,1306,,300,
73,1664,3.0,1536,3.0,596,,820,,1349,1.0,1193,,619,5.0
49,1024,5.0,855,5.0,104,4.0,345,,1098,4.0,127,,911,
11,801,4.0,1427,,243,5.0,403,4.0,357,3.0,1349,4.0,863,
129,1090,5.0,690,4.0,804,5.0,164,,684,3.0,381,,894,5.0
49,0,,1393,5.0,483,4.0,312,,1450,3.0,1723,,527,4.0
83,704,,1543,,1640,,138,4.0,618,4.0,109,5.0,157,5.0
25,994,,789,4.0,917,4.0,357,2.0,1259,4.0,175,,1663,
557,480,4.0,1746,,501,3.0,1543,,971,4.0,76,,863,5.0
129,1697,4.0,1601,,947,5.0,419,5.0,393,,1308,,111,4.0
113,818,,1094,4.0,314,5.0,892,,974,3.0,1470,2.0,1535,4.0
15,753,,82,4.0,503,,1720,3.0,1224,5.0,988,5.0,1405,
15,1492,5.0,456,4.0,666,,44,,1276,5.0,1565,4.0,559,
1,1664,3.0,1169,4.0,419,2.0,387,,1255,,872,5.0,876,
208,97,4.0,1237,5.0,1113,4.0,985,4.0,1097,,1357,5.0,1375,3.0
49,594,4.0,914,,419,4.0,1573,,1110,5.0,568,,1577,5.0
146,722,3.0,1395,,1205,4.0,439,,1163,,1292,4.0,862,2.0
222,1008,,1505,3.0,995,,1046,,1223,4.0,1579,1.0,383,5.0
208,1568,,273,,1204,5.0,1541,4.0,1302,,1736,5.0,1295,3.0
1,736,5.0,1411,3.0,555,1.0,925,,1662,3.0,783,4.0,1247,
16,1680,2.0,100,3.0,805,,1078,5.0,72,3.0,1694,4.0,1343,
44,112,,689,,549,,1574,5.0,666,4.0,444,3.0,718,4.0
197,1651,,1603,4.0,133,4.0,1703,4.0,1481,,1391,4.0,767,
197,561,5.0,661,,885,4.0,1047,4.0,1054,3.0,1135,,1631,
54,928,5.0,802,5.0,276,5.0,617,,219,5.0,220,,605,
16,528,,1557,3.0,470,3.0,822,3.0,1451,,845,4.0,1086,
180,992,,1537,4.0,1170,4.0,420,,1638,4.0,234,,1564,3.0
43,480,5.0,1027,5.0,421,,919,,1581,,702,4.0,1183,5.0
61,864,5.0,1713,3.0,230,2.0,442,,906,4.0,558,5.0,1311,
54,1490,2.0,1027,4.0,1539,,1176,5.0,1721,3.0,1194,,669,
210,1009,,276,4.0,1269,4.0,1496,,1563,,396,5.0,607,3.0
54,816,,788,5.0,1654,4.0,1688,1.0,1610,4.0,204,,1694,4.0
375,692,,1269,4.0,585,4.0,170,,122,,990,5.0,1711,4.0
49,1200,4.0,737,,465,,870,,136,4.0,1338,4.0,1327,4.0
8,1104,,625,3.0,692,4.0,1685,4.0,1109,,1352,,526,5.0
149,288,4.0,1537,,818,,6,4.0,78,3.0,974,5.0,1327,5.0
190,64,3.0,417,1.0,531,,341,,888,5.0,1453,4.0,863,
11,1520,3.0,896,,1217,5.0,1589,,249,4.0,286,3.0,430,
0,1024,2.0,928,,1537,,1225,3.0,1513,4.0,830,4.0,254,2.0
49,304,,581,,1576,5.0,489,5.0,922,5.0,1131,3.0,1180,
26,1376,,578,,1586,5.0,147,,853,3.0,502,3.0,591,4.0
15,864,4.0,276,5.0,789,5.0,1126,,998,4.0,1175,2.0,1562,
281,688,,52,3.0,276,,456,2.0,1016,,650,4.0,1259,2.0
43,336,5.0,1105,,579,3.0,330,5.0,1579,,1630,4.0,526,5.0
33,1472,,66,,1603,4.0,406,4.0,1723,5.0,271,4.0,255,
129,802,5.0,722,5.0,291,,1107,,20,5.0,1623,4.0,1134,5.0
37,1298,,1378,,1395,5.0,21,,1591,1.0,1001,3.0,1020,5.0
61,1697,5.0,261,5.0,1446,,1303,4.0,1416,,1227,3.0,11,4.0
40,289,,772,5.0,1302,5.0,314,,1387,5.0,926,5.0,719,
8,33,5.0,67,4.0,518,,1371,,1084,4.0,220,,1551,4.0
62,998,5.0,680,3.0,874,2.0,1066,3.0,1546,,781,,1534,
51,352,,1426,4.0,1076,,1449,5.0,1276,5.0,1052,4.0,1582,
11,976,3.0,128,,579,3.0,1251,5.0,1364,3.0,1607,5.0,890,4.0
129,512,,1730,5.0,1173,,389,,664,5.0,1689,5.0,1181,5.0
11,355,5.0,646,,778,5.0,1611,4.0,860,4.0,1166,,895,
23,1714,4.0,706,5.0,375,,1176,,538,5.0,1706,,1166,5.0
223,838,,521,5.0,445,,1694,4.0,558,3.0,1086,5.0,1647,
