group,item,user-1,rating-1,user-2,rating-2
12,117,146,3.0,468,3.0
12,90,146,2.0,468,3.0
12,247,146,3.0,468,2.0
13,446,1253,2.0,1564,2.0
13,423,1253,4.0,1564,2.0
13,471,1253,3.0,1564,2.0
13,28,1253,2.0,1564,3.0
13,442,1253,4.0,1564,1.0
14,127,1642,4.0,1638,4.0
14,580,1642,1.0,1638,3.0
14,70,1642,3.0,1638,4.0
14,51,1642,5.0,1638,4.0
14,83,1642,4.0,1638,5.0
15,203,1253,2.0,166,3.0
15,99,1253,3.0,166,3.0
15,86,1253,4.0,166,1.0
15,375,1253,4.0,166,4.0
15,207,1253,3.0,166,5.0
16,676,311,4.0,967,3.0
16,756,311,3.0,967,2.0
16,357,311,3.0,967,5.0
16,86,311,4.0,967,5.0
16,244,311,5.0,967,5.0
17,643,351,1.0,397,2.0
17,614,351,3.0,397,5.0
17,299,351,1.0,397,3.0
17,16,351,3.0,397,5.0
17,392,351,5.0,397,5.0
18,161,405,4.0,1564,3.0
18,198,405,4.0,1564,2.0
18,296,405,4.0,1564,4.0
18,170,405,4.0,1564,4.0
18,515,405,1.0,1564,1.0
19,555,1694,4.0,406,5.0
19,294,1694,4.0,406,4.0
19,355,1694,3.0,406,5.0
19,228,1694,4.0,406,4.0
19,302,1694,1.0,406,2.0
20,333,967,3.0,806,2.0
20,380,967,4.0,806,4.0
20,152,967,5.0,806,4.0
20,424,967,3.0,806,3.0
20,238,967,5.0,806,2.0
21,720,1694,4.0,309,2.0
21,586,1694,4.0,309,3.0
21,34,1694,5.0,309,4.0
21,98,1694,4.0,309,3.0
21,135,1694,4.0,309,3.0
22,36,1093,3.0,834,5.0
22,216,1093,2.0,834,3.0
22,249,1093,1.0,834,2.0
22,564,1093,4.0,834,5.0
22,269,1093,1.0,834,5.0
23,487,1314,4.0,585,3.0
23,338,1314,2.0,585,2.0
23,146,1314,3.0,585,4.0
23,88,1314,4.0,585,1.0
23,387,1314,2.0,585,3.0
24,26,1254,5.0,468,5.0
24,482,1254,4.0,468,5.0
24,618,1254,5.0,468,3.0
24,161,1254,3.0,468,5.0
24,146,1254,4.0,468,4.0
25,280,1253,3.0,1314,3.0
25,592,1253,4.0,1314,2.0
25,379,1253,5.0,1314,5.0
25,54,1253,4.0,1314,2.0
25,849,1253,3.0,1314,2.0
26,704,254,3.0,1552,3.0
26,97,254,3.0,1552,3.0
26,530,254,5.0,1552,4.0
26,205,254,3.0,1552,4.0
26,427,254,4.0,1552,3.0
27,35,865,5.0,167,4.0
27,145,865,5.0,167,4.0
27,571,865,4.0,167,3.0
27,52,865,5.0,167,4.0
27,256,865,4.0,167,3.0
28,215,1006,4.0,1093,4.0
28,587,1006,3.0,1093,3.0
28,526,1006,4.0,1093,2.0
28,58,1006,4.0,1093,4.0
28,108,1006,5.0,1093,4.0
29,232,1093,4.0,166,5.0
29,430,1093,2.0,166,2.0
29,361,1093,3.0,166,1.0
29,283,1093,4.0,166,4.0
29,274,1093,3.0,166,4.0
30,658,585,2.0,1006,4.0
30,73,585,4.0,1006,5.0
30,185,585,3.0,1006,5.0
30,220,585,4.0,1006,4.0
30,0,585,3.0,1006,5.0
31,452,1100,3.0,1006,4.0
31,177,1100,4.0,1006,5.0
31,416,1100,3.0,1006,4.0
31,215,1100,4.0,1006,4.0
31,389,1100,3.0,1006,3.0
32,538,1314,3.0,1638,3.0
32,713,1314,4.0,1638,4.0
32,119,1314,3.0,1638,3.0
32,673,1314,5.0,1638,2.0
32,427,1314,5.0,1638,5.0
33,49,1364,3.0,1259,5.0
33,38,1364,4.0,1259,5.0
33,428,1364,4.0,1259,1.0
33,362,1364,4.0,1259,4.0
33,593,1364,4.0,1259,1.0
34,208,967,4.0,500,5.0
34,7,967,4.0,500,1.0
34,108,967,4.0,500,3.0
34,146,967,5.0,500,5.0
34,634,967,4.0,500,4.0
35,133,1017,4.0,453,3.0
35,175,1017,5.0,453,2.0
35,197,1017,4.0,453,2.0
35,618,1017,4.0,453,4.0
35,6,1017,3.0,453,4.0
36,230,1642,3.0,532,4.0
36,661,1642,1.0,532,3.0
36,187,1642,1.0,532,3.0
36,895,1642,3.0,532,4.0
36,51,1642,5.0,532,4.0
37,22,520,5.0,483,5.0
37,416,520,2.0,483,3.0
37,452,520,3.0,483,4.0
37,422,520,4.0,483,4.0
37,408,520,4.0,483,5.0
38,169,166,4.0,1253,5.0
38,656,166,3.0,1253,3.0
38,410,166,5.0,1253,4.0
38,680,166,4.0,1253,4.0
38,49,166,5.0,1253,4.0
39,481,166,1.0,1552,3.0
39,381,166,4.0,1552,4.0
39,526,166,4.0,1552,4.0
39,513,166,1.0,1552,4.0
39,172,166,3.0,1552,4.0
40,206,397,2.0,453,4.0
40,190,397,4.0,453,4.0
40,471,397,3.0,453,4.0
40,354,397,5.0,453,5.0
40,62,397,5.0,453,3.0
41,594,585,2.0,101,1.0
41,282,585,3.0,101,2.0
41,190,585,1.0,101,2.0
41,390,585,2.0,101,3.0
41,180,585,3.0,101,4.0
42,537,988,1.0,309,3.0
42,193,988,1.0,309,5.0
42,108,988,1.0,309,5.0
42,334,988,5.0,309,4.0
42,174,988,5.0,309,3.0
43,357,1093,4.0,1314,2.0
43,116,1093,2.0,1314,5.0
43,413,1093,3.0,1314,2.0
43,201,1093,1.0,1314,1.0
43,51,1093,5.0,1314,4.0
44,869,251,4.0,1314,3.0
44,122,251,3.0,1314,5.0
44,116,251,3.0,1314,5.0
44,181,251,4.0,1314,4.0
44,39,251,5.0,1314,5.0
45,560,1314,3.0,967,5.0
45,214,1314,3.0,967,4.0
45,442,1314,2.0,967,4.0
45,452,1314,4.0,967,4.0
45,81,1314,4.0,967,5.0
46,85,468,5.0,254,4.0
46,89,468,4.0,254,2.0
46,280,468,4.0,254,2.0
46,319,468,4.0,254,2.0
46,286,468,3.0,254,2.0
47,2,726,4.0,254,3.0
47,751,726,4.0,254,4.0
47,219,726,4.0,254,4.0
47,742,726,3.0,254,4.0
47,397,726,4.0,254,3.0
48,110,351,4.0,1564,3.0
48,718,351,1.0,1564,1.0
48,256,351,3.0,1564,2.0
48,163,351,3.0,1564,4.0
48,15,351,4.0,1564,4.0
49,43,254,3.0,585,5.0
49,273,254,1.0,585,3.0
49,198,254,3.0,585,5.0
49,49,254,4.0,585,4.0
49,67,254,1.0,585,2.0
50,155,166,5.0,1093,4.0
50,801,166,4.0,1093,3.0
50,86,166,1.0,1093,4.0
50,87,166,1.0,1093,2.0
50,563,166,1.0,1093,1.0
51,152,806,4.0,834,4.0
51,135,806,3.0,834,3.0
51,44,806,3.0,834,5.0
51,138,806,3.0,834,3.0
51,11,806,4.0,834,4.0
52,496,254,4.0,1334,4.0
52,113,254,4.0,1334,3.0
52,220,254,3.0,1334,4.0
52,427,254,4.0,1334,4.0
52,136,254,2.0,1334,3.0
53,792,254,2.0,623,3.0
53,318,254,2.0,623,2.0
53,288,254,3.0,623,3.0
53,239,254,4.0,623,4.0
53,537,254,3.0,623,2.0
54,287,254,2.0,101,1.0
54,192,254,2.0,101,2.0
54,177,254,2.0,101,4.0
54,568,254,3.0,101,1.0
54,466,254,3.0,101,3.0
55,27,468,3.0,585,2.0
55,814,468,4.0,585,2.0
55,348,468,4.0,585,4.0
55,201,468,3.0,585,3.0
55,76,468,4.0,585,3.0
56,144,1136,3.0,1564,3.0
56,297,1136,5.0,1564,4.0
56,307,1136,3.0,1564,1.0
56,32,1136,5.0,1564,4.0
56,293,1136,3.0,1564,3.0
57,427,1314,5.0,1253,4.0
57,246,1314,4.0,1253,4.0
57,418,1314,2.0,1253,1.0
57,323,1314,3.0,1253,2.0
57,522,1314,1.0,1253,1.0
58,385,1694,4.0,406,3.0
58,9,1694,3.0,406,4.0
58,132,1694,3.0,406,3.0
58,392,1694,5.0,406,5.0
58,119,1694,4.0,406,5.0
59,473,1694,4.0,1564,2.0
59,239,1694,4.0,1564,4.0
59,245,1694,4.0,1564,5.0
59,583,1694,4.0,1564,2.0
59,274,1694,4.0,1564,3.0
60,150,1253,1.0,623,2.0
60,197,1253,4.0,623,5.0
60,35,1253,1.0,623,5.0
60,667,1253,4.0,623,3.0
60,415,1253,4.0,623,3.0
61,774,690,2.0,1181,1.0
61,324,690,1.0,1181,1.0
61,587,690,3.0,1181,2.0
61,173,690,4.0,1181,4.0
61,402,690,3.0,1181,2.0
62,356,506,3.0,585,3.0
62,150,506,3.0,585,4.0
62,19,506,4.0,585,3.0
62,768,506,2.0,585,4.0
62,713,506,2.0,585,2.0
63,16,1642,4.0,532,3.0
63,690,1642,3.0,532,3.0
63,246,1642,4.0,532,4.0
63,49,1642,5.0,532,4.0
63,247,1642,1.0,532,4.0
64,127,1433,4.0,1564,3.0
64,358,1433,5.0,1564,4.0
64,4,1433,2.0,1564,1.0
64,469,1433,3.0,1564,1.0
64,126,1433,3.0,1564,1.0
65,250,1694,2.0,254,1.0
65,337,1694,3.0,254,1.0
65,8,1694,5.0,254,4.0
65,272,1694,4.0,254,3.0
65,181,1694,2.0,254,1.0
66,105,453,1.0,97,1.0
66,688,453,4.0,97,2.0
66,452,453,4.0,97,3.0
66,15,453,3.0,97,4.0
66,96,453,2.0,97,3.0
67,481,603,2.0,281,1.0
67,363,603,4.0,281,1.0
67,480,603,4.0,281,3.0
67,318,603,4.0,281,2.0
67,139,603,3.0,281,1.0
68,207,1421,5.0,1181,1.0
68,273,1421,4.0,1181,1.0
68,428,1421,5.0,1181,3.0
68,252,1421,3.0,1181,4.0
68,269,1421,4.0,1181,2.0
69,465,1694,4.0,1314,4.0
69,358,1694,4.0,1314,4.0
69,214,1694,4.0,1314,3.0
69,595,1694,3.0,1314,2.0
69,290,1694,2.0,1314,3.0
70,763,602,1.0,603,3.0
70,444,602,4.0,603,4.0
70,141,602,2.0,603,4.0
70,84,602,2.0,603,4.0
70,54,602,4.0,603,5.0
71,271,1314,3.0,967,2.0
71,339,1314,2.0,967,4.0
71,62,1314,5.0,967,5.0
71,285,1314,1.0,967,3.0
71,118,1314,1.0,967,3.0
72,308,623,2.0,865,5.0
72,498,623,4.0,865,4.0
72,127,623,5.0,865,5.0
72,415,623,3.0,865,5.0
72,487,623,4.0,865,5.0
73,961,483,3.0,585,1.0
73,924,483,3.0,585,2.0
73,282,483,4.0,585,3.0
73,266,483,4.0,585,5.0
73,539,483,3.0,585,2.0
74,187,1642,1.0,1017,3.0
74,431,1642,5.0,1017,4.0
74,71,1642,4.0,1017,3.0
74,553,1642,4.0,1017,4.0
74,89,1642,3.0,1017,4.0
75,598,281,4.0,1182,4.0
75,402,281,3.0,1182,4.0
75,266,281,3.0,1182,4.0
75,42,281,2.0,1182,4.0
75,357,281,2.0,1182,5.0
76,310,1606,4.0,254,3.0
76,545,1606,4.0,254,4.0
76,23,1606,5.0,254,5.0
76,537,1606,4.0,254,3.0
76,493,1606,4.0,254,5.0
77,157,166,5.0,309,5.0
77,429,166,5.0,309,5.0
77,633,166,3.0,309,3.0
77,173,166,1.0,309,3.0
77,73,166,5.0,309,3.0
78,143,294,1.0,1314,4.0
78,132,294,1.0,1314,3.0
78,182,294,1.0,1314,2.0
78,138,294,4.0,1314,2.0
78,185,294,4.0,1314,4.0
79,280,456,2.0,1093,3.0
79,286,456,1.0,1093,1.0
79,108,456,4.0,1093,4.0
79,801,456,2.0,1093,3.0
79,69,456,3.0,1093,5.0
80,317,453,4.0,1017,3.0
80,9,453,2.0,1017,2.0
80,525,453,3.0,1017,3.0
80,100,453,3.0,1017,3.0
80,296,453,4.0,1017,5.0
81,16,967,5.0,1084,2.0
81,464,967,3.0,1084,3.0
81,293,967,4.0,1084,3.0
81,456,967,5.0,1084,3.0
81,104,967,4.0,1084,3.0
82,535,1694,3.0,834,3.0
82,346,1694,3.0,834,5.0
82,332,1694,3.0,834,5.0
82,86,1694,4.0,834,1.0
82,594,1694,3.0,834,3.0
83,711,451,3.0,1093,1.0
83,125,451,4.0,1093,1.0
83,361,451,3.0,1093,3.0
83,790,451,3.0,1093,1.0
83,110,451,3.0,1093,5.0
84,209,806,4.0,1084,2.0
84,627,806,2.0,1084,3.0
84,158,806,3.0,1084,2.0
84,714,806,2.0,1084,3.0
84,1,806,4.0,1084,3.0
85,223,1017,3.0,97,5.0
85,62,1017,4.0,97,2.0
85,38,1017,4.0,97,5.0
85,703,1017,2.0,97,1.0
85,375,1017,4.0,97,4.0
86,405,806,2.0,520,4.0
86,840,806,3.0,520,4.0
86,31,806,3.0,520,2.0
86,427,806,5.0,520,4.0
86,228,806,4.0,520,5.0
87,33,1638,5.0,166,4.0
87,270,1638,4.0,166,5.0
87,532,1638,5.0,166,5.0
87,616,1638,3.0,166,4.0
87,205,1638,3.0,166,5.0
88,374,330,4.0,603,5.0
88,173,330,4.0,603,5.0
88,425,330,3.0,603,3.0
88,200,330,5.0,603,5.0
88,330,330,3.0,603,3.0
89,91,806,4.0,1253,4.0
89,30,806,2.0,1253,4.0
89,905,806,4.0,1253,5.0
89,32,806,3.0,1253,3.0
89,416,806,2.0,1253,4.0
90,282,1025,4.0,1158,3.0
90,284,1025,3.0,1158,5.0
90,780,1025,3.0,1158,3.0
90,238,1025,4.0,1158,5.0
90,341,1025,2.0,1158,3.0
91,269,1694,2.0,1314,1.0
91,71,1694,5.0,1314,4.0
91,89,1694,4.0,1314,3.0
91,231,1694,4.0,1314,4.0
91,590,1694,4.0,1314,3.0
92,137,1093,3.0,1694,4.0
92,361,1093,3.0,1694,3.0
92,402,1093,3.0,1694,3.0
92,404,1093,1.0,1694,2.0
92,270,1093,5.0,1694,3.0
93,355,1253,4.0,1006,2.0
93,58,1253,1.0,1006,4.0
93,378,1253,4.0,1006,5.0
93,52,1253,3.0,1006,3.0
93,813,1253,5.0,1006,4.0
94,652,1552,4.0,1182,3.0
94,100,1552,5.0,1182,3.0
94,479,1552,3.0,1182,3.0
94,144,1552,3.0,1182,4.0
94,301,1552,3.0,1182,4.0
95,217,1417,2.0,1006,3.0
95,537,1417,3.0,1006,3.0
95,698,1417,4.0,1006,4.0
95,72,1417,5.0,1006,5.0
95,220,1417,3.0,1006,4.0
96,268,1642,2.0,806,2.0
96,90,1642,4.0,806,3.0
96,231,1642,5.0,806,4.0
96,673,1642,3.0,806,3.0
96,454,1642,3.0,806,4.0
97,98,999,2.0,834,5.0
97,9,999,4.0,834,3.0
97,139,999,1.0,834,3.0
97,295,999,3.0,834,3.0
97,64,999,2.0,834,3.0
98,197,483,4.0,254,4.0
98,124,483,3.0,254,4.0
98,244,483,3.0,254,1.0
98,709,483,2.0,254,3.0
98,1,483,4.0,254,3.0
99,150,999,3.0,468,4.0
99,192,999,3.0,468,5.0
99,172,999,2.0,468,4.0
99,594,999,3.0,468,3.0
99,76,999,2.0,468,4.0
100,184,1314,3.0,1210,2.0
100,193,1314,5.0,1210,4.0
100,153,1314,2.0,1210,1.0
100,59,1314,4.0,1210,1.0
100,432,1314,3.0,1210,3.0
101,336,294,2.0,840,2.0
101,16,294,3.0,840,4.0
101,798,294,4.0,840,3.0
101,111,294,5.0,840,3.0
101,43,294,5.0,840,4.0
102,115,227,2.0,967,2.0
102,695,227,1.0,967,3.0
102,321,227,3.0,967,4.0
102,292,227,3.0,967,4.0
102,63,227,4.0,967,5.0
103,654,585,2.0,405,2.0
103,415,585,4.0,405,5.0
103,396,585,4.0,405,3.0
103,24,585,2.0,405,3.0
103,106,585,3.0,405,4.0
104,597,967,2.0,1093,3.0
104,373,967,3.0,1093,3.0
104,175,967,5.0,1093,4.0
104,587,967,3.0,1093,3.0
104,588,967,3.0,1093,2.0
105,268,1093,4.0,834,2.0
105,170,1093,4.0,834,2.0
105,605,1093,3.0,834,3.0
105,11,1093,5.0,834,4.0
105,564,1093,4.0,834,5.0
106,61,585,2.0,166,5.0
106,340,585,1.0,166,3.0
106,634,585,3.0,166,4.0
106,282,585,3.0,166,3.0
106,174,585,3.0,166,5.0
107,161,585,2.0,1084,2.0
107,64,585,3.0,1084,3.0
107,85,585,3.0,1084,3.0
107,121,585,3.0,1084,3.0
107,777,585,2.0,1084,1.0
108,838,1093,1.0,251,3.0
108,76,1093,4.0,251,4.0
108,533,1093,2.0,251,3.0
108,51,1093,5.0,251,5.0
108,654,1093,3.0,251,1.0
109,775,251,1.0,1084,2.0
109,310,251,3.0,1084,3.0
109,19,251,5.0,1084,4.0
109,134,251,3.0,1084,2.0
109,145,251,2.0,1084,3.0
110,522,576,2.0,254,2.0
110,169,576,3.0,254,3.0
110,230,576,5.0,254,3.0
110,28,576,5.0,254,3.0
110,618,576,3.0,254,2.0
111,398,585,2.0,294,2.0
111,166,585,2.0,294,5.0
111,703,585,3.0,294,3.0
111,208,585,3.0,294,5.0
111,558,585,2.0,294,1.0
112,108,167,4.0,1026,5.0
112,163,167,3.0,1026,5.0
112,54,167,4.0,1026,5.0
112,592,167,4.0,1026,3.0
112,0,167,2.0,1026,5.0
113,538,280,2.0,133,3.0
113,178,280,3.0,133,3.0
113,415,280,3.0,133,4.0
113,8,280,5.0,133,5.0
113,482,280,4.0,133,3.0
114,565,1253,1.0,1006,4.0
114,186,1253,4.0,1006,4.0
114,587,1253,3.0,1006,3.0
114,813,1253,5.0,1006,4.0
114,50,1253,4.0,1006,4.0
115,225,623,5.0,405,2.0
115,143,623,2.0,405,3.0
115,671,623,2.0,405,2.0
115,427,623,5.0,405,3.0
115,621,623,2.0,405,1.0
116,571,1025,3.0,1642,1.0
116,230,1025,2.0,1642,3.0
116,393,1025,1.0,1642,4.0
116,344,1025,3.0,1642,2.0
116,735,1025,1.0,1642,2.0
117,674,1253,5.0,623,2.0
117,435,1253,5.0,623,1.0
117,30,1253,4.0,623,3.0
117,44,1253,4.0,623,5.0
117,669,1253,4.0,623,5.0
118,307,405,2.0,1084,2.0
118,238,405,5.0,1084,3.0
118,0,405,3.0,1084,3.0
118,331,405,2.0,1084,3.0
118,299,405,2.0,1084,1.0
119,110,967,5.0,167,1.0
119,200,967,5.0,167,5.0
119,401,967,5.0,167,4.0
119,495,967,3.0,167,4.0
119,38,967,5.0,167,4.0
120,22,254,3.0,1364,4.0
120,149,254,4.0,1364,4.0
120,330,254,3.0,1364,5.0
120,334,254,3.0,1364,4.0
120,55,254,1.0,1364,4.0
121,96,1182,4.0,251,4.0
121,281,1182,4.0,251,3.0
121,472,1182,3.0,251,2.0
121,464,1182,4.0,251,3.0
121,480,1182,3.0,251,3.0
122,676,1364,1.0,967,3.0
122,21,1364,4.0,967,2.0
122,9,1364,3.0,967,4.0
122,529,1364,3.0,967,2.0
122,452,1364,5.0,967,4.0
123,728,1253,1.0,820,3.0
123,863,1253,1.0,820,1.0
123,733,1253,3.0,820,3.0
123,58,1253,1.0,820,3.0
123,146,1253,4.0,820,4.0
124,321,1694,3.0,1253,1.0
124,562,1694,4.0,1253,2.0
124,415,1694,4.0,1253,4.0
124,675,1694,2.0,1253,1.0
124,428,1694,5.0,1253,5.0
125,20,1433,1.0,64,2.0
125,201,1433,3.0,64,1.0
125,514,1433,2.0,64,1.0
125,332,1433,2.0,64,2.0
125,161,1433,3.0,64,1.0
126,631,585,3.0,1577,4.0
126,706,585,3.0,1577,4.0
126,336,585,3.0,1577,3.0
126,99,585,4.0,1577,5.0
126,202,585,3.0,1577,4.0
127,728,461,3.0,251,3.0
127,178,461,4.0,251,3.0
127,269,461,1.0,251,3.0
127,194,461,4.0,251,5.0
127,105,461,1.0,251,4.0
128,43,623,4.0,405,5.0
128,436,623,4.0,405,4.0
128,762,623,1.0,405,1.0
128,62,623,5.0,405,2.0
128,26,623,3.0,405,5.0
129,49,1253,4.0,166,5.0
129,713,1253,4.0,166,4.0
129,170,1253,3.0,166,5.0
129,547,1253,4.0,166,4.0
129,287,1253,1.0,166,5.0
130,197,1638,1.0,1642,2.0
130,328,1638,3.0,1642,4.0
130,158,1638,1.0,1642,3.0
130,334,1638,3.0,1642,3.0
130,401,1638,4.0,1642,4.0
131,96,20,4.0,1479,2.0
131,409,20,5.0,1479,3.0
131,210,20,5.0,1479,3.0
131,27,20,4.0,1479,3.0
131,319,20,3.0,1479,3.0
132,103,1694,3.0,166,3.0
132,364,1694,3.0,166,3.0
132,138,1694,3.0,166,4.0
132,30,1694,4.0,166,4.0
132,206,1694,2.0,166,5.0
133,201,1564,2.0,228,1.0
133,515,1564,1.0,228,3.0
133,662,1564,1.0,228,4.0
133,658,1564,2.0,228,1.0
133,559,1564,2.0,228,3.0
134,81,717,3.0,1182,5.0
134,223,717,3.0,1182,3.0
134,402,717,4.0,1182,4.0
134,443,717,4.0,1182,3.0
134,238,717,4.0,1182,4.0
135,61,309,4.0,34,1.0
135,447,309,2.0,34,2.0
135,109,309,4.0,34,5.0
135,463,309,5.0,34,3.0
135,0,309,3.0,34,2.0
136,356,967,4.0,227,5.0
136,109,967,5.0,227,5.0
136,11,967,5.0,227,5.0
136,404,967,2.0,227,4.0
136,798,967,4.0,227,3.0
137,897,254,2.0,1357,4.0
137,25,254,2.0,1357,4.0
137,114,254,3.0,1357,3.0
137,106,254,4.0,1357,4.0
137,26,254,4.0,1357,5.0
138,171,1093,4.0,1084,2.0
138,191,1093,4.0,1084,1.0
138,527,1093,1.0,1084,3.0
138,654,1093,3.0,1084,2.0
138,558,1093,2.0,1084,2.0
139,597,999,1.0,1006,2.0
139,212,999,3.0,1006,3.0
139,193,999,5.0,1006,4.0
139,342,999,3.0,1006,4.0
139,349,999,1.0,1006,4.0
140,181,1181,1.0,717,4.0
140,128,1181,5.0,717,4.0
140,573,1181,2.0,717,2.0
140,629,1181,3.0,717,4.0
140,134,1181,3.0,717,2.0
141,357,269,4.0,603,3.0
141,36,269,4.0,603,4.0
141,708,269,3.0,603,3.0
141,219,269,3.0,603,4.0
141,33,269,4.0,603,3.0
142,85,520,4.0,330,5.0
142,51,520,5.0,330,5.0
142,421,520,3.0,330,3.0
142,274,520,3.0,330,4.0
142,26,520,4.0,330,4.0
143,105,967,2.0,166,4.0
143,225,967,5.0,166,4.0
143,205,967,5.0,166,5.0
143,378,967,4.0,166,3.0
143,766,967,2.0,166,1.0
144,857,1253,1.0,988,1.0
144,198,1253,4.0,988,1.0
144,665,1253,4.0,988,1.0
144,9,1253,3.0,988,5.0
144,497,1253,4.0,988,4.0
145,227,1158,1.0,1642,1.0
145,379,1158,4.0,1642,2.0
145,361,1158,1.0,1642,1.0
145,310,1158,5.0,1642,2.0
145,36,1158,5.0,1642,4.0
146,205,996,4.0,967,5.0
146,242,996,4.0,967,5.0
146,6,996,4.0,967,4.0
146,147,996,3.0,967,5.0
146,35,996,4.0,967,5.0
147,69,1253,5.0,1314,5.0
147,381,1253,4.0,1314,3.0
147,162,1253,3.0,1314,3.0
147,375,1253,4.0,1314,4.0
147,680,1253,4.0,1314,3.0
148,581,1364,2.0,54,4.0
148,181,1364,4.0,54,3.0
148,456,1364,5.0,54,3.0
148,277,1364,3.0,54,2.0
148,397,1364,5.0,54,3.0
149,310,405,5.0,1314,4.0
149,71,405,3.0,1314,4.0
149,156,405,3.0,1314,4.0
149,169,405,5.0,1314,4.0
149,126,405,3.0,1314,1.0
150,714,722,2.0,254,2.0
150,111,722,4.0,254,3.0
150,313,722,3.0,254,4.0
150,436,722,5.0,254,3.0
150,54,722,4.0,254,2.0
151,362,78,3.0,1020,3.0
151,216,78,2.0,1020,2.0
151,247,78,1.0,1020,3.0
151,322,78,2.0,1020,4.0
151,120,78,2.0,1020,3.0
152,89,967,4.0,1006,4.0
152,50,967,5.0,1006,4.0
152,323,967,4.0,1006,3.0
152,347,967,4.0,1006,4.0
152,409,967,3.0,1006,3.0
153,238,1694,4.0,1098,5.0
153,193,1694,4.0,1098,5.0
153,270,1694,3.0,1098,4.0
153,818,1694,4.0,1098,3.0
153,92,1694,4.0,1098,4.0
154,207,1093,5.0,1364,1.0
154,42,1093,3.0,1364,2.0
154,689,1093,5.0,1364,4.0
154,273,1093,2.0,1364,4.0
154,676,1093,2.0,1364,1.0
155,128,405,3.0,254,5.0
155,621,405,1.0,254,2.0
155,438,405,5.0,254,3.0
155,23,405,3.0,254,5.0
155,411,405,2.0,254,1.0
156,288,1694,3.0,1093,3.0
156,172,1694,4.0,1093,1.0
156,206,1694,2.0,1093,3.0
156,108,1694,4.0,1093,4.0
156,693,1694,4.0,1093,4.0
157,52,820,3.0,1253,3.0
157,208,820,5.0,1253,3.0
157,234,820,4.0,1253,5.0
157,814,820,3.0,1253,1.0
157,562,820,2.0,1253,2.0
158,586,254,3.0,281,2.0
158,96,254,2.0,281,3.0
158,603,254,2.0,281,5.0
158,587,254,2.0,281,1.0
158,93,254,1.0,281,2.0
159,29,1182,2.0,1250,3.0
159,336,1182,2.0,1250,3.0
159,40,1182,4.0,1250,5.0
159,95,1182,4.0,1250,4.0
159,23,1182,5.0,1250,4.0
160,215,967,4.0,167,4.0
160,333,967,3.0,167,3.0
160,225,967,5.0,167,5.0
160,155,967,4.0,167,3.0
160,554,967,3.0,167,2.0
161,549,254,3.0,985,4.0
161,229,254,4.0,985,5.0
161,232,254,3.0,985,4.0
161,215,254,3.0,985,4.0
161,282,254,5.0,985,5.0
162,62,254,4.0,1364,5.0
162,754,254,5.0,1364,4.0
162,124,254,4.0,1364,4.0
162,621,254,2.0,1364,2.0
162,540,254,4.0,1364,4.0
163,42,834,5.0,999,2.0
163,249,834,2.0,999,1.0
163,468,834,4.0,999,3.0
163,373,834,5.0,999,3.0
163,96,834,3.0,999,4.0
164,877,717,2.0,254,3.0
164,207,717,5.0,254,1.0
164,557,717,5.0,254,5.0
164,266,717,2.0,254,3.0
164,377,717,4.0,254,4.0
165,99,254,2.0,937,4.0
165,25,254,2.0,937,3.0
165,46,254,4.0,937,5.0
